POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
51,Mohammed Siraj,4,25,3,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,07 May 2018
52,Mustafizur Rahman,4,24,3,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 April 2018
53,Bhuvneshwar Kumar,4,26,3,8,KKR,Eden Gardens,14 April 2018
54,Umesh Yadav,4,25,3,8,RR,Sawai Mansingh Stadium,19 May 2018
55,Jasprit Bumrah,4,15,3,8,PBKS,Wankhede Stadium,16 May 2018
56,Rashid Khan,4,19,3,8,KKR,Eden Gardens,25 May 2018
57,Krunal Pandya,4,28,3,8,RCB,Wankhede Stadium,17 April 2018
58,Hardik Pandya,2.4,25,2,8,RR,Sawai Mansingh Stadium,22 April 2018
59,Carlos Brathwaite,2.4,21,2,8,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2018
60,Dan Christian,3,35,2,9,MI,Wankhede Stadium,14 April 2018
61,Mitchell McClenaghan,3,24,2,9,RCB,Wankhede Stadium,17 April 2018
62,Shardul Thakur,3,33,2,9,PBKS,IS Bindra Stadium,15 April 2018
63,Hardik Pandya,3,16,2,9,KKR,Eden Gardens,09 May 2018
64,Shakib Al Hasan,3,18,2,9,PBKS,Rajiv Gandhi Intl. Cricket Stadium,26 April 2018
65,Ben Laughlin,3,35,2,9,KKR,Eden Gardens,23 May 2018
66,KM Asif,3,43,2,9,DC,Maharashtra Cricket Association's International Stadium,30 April 2018
67,Krunal Pandya,3,21,2,9,DC,Wankhede Stadium,14 April 2018
68,Krishnappa Gowtham,3,12,2,9,PBKS,Sawai Mansingh Stadium,08 May 2018
69,Ravichandran Ashwin,3,18,2,9,MI,Wankhede Stadium,16 May 2018
70,Tom Curran,3,39,2,9,CSK,Chidambaram,10 April 2018
71,Mayank Markande,3,15,2,9,SRH,Wankhede Stadium,24 April 2018
72,Trent Boult,3,26,2,9,RR,Arun Jaitley Stadium,02 May 2018
73,Shardul Thakur,3,18,2,9,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
74,Lungi Ngidi,3,14,2,9,DC,Arun Jaitley Stadium,18 May 2018
75,Umesh Yadav,3,15,2,9,CSK,Maharashtra Cricket Association's International Stadium,05 May 2018
76,Krishnappa Gowtham,3,15,2,9,KKR,Eden Gardens,23 May 2018
77,Mitchell McClenaghan,3,22,2,9,SRH,Wankhede Stadium,24 April 2018
78,Sandeep Sharma,3,30,2,9,CSK,Wankhede Stadium,22 May 2018
79,Andre Russell,3,13,2,9,RR,Eden Gardens,15 May 2018
80,Trent Boult,3,21,2,9,PBKS,Arun Jaitley Stadium,23 April 2018
81,Yuzvendra Chahal,3,22,2,9,DC,M. Chinnaswamy Stadium,21 April 2018
82,Hardik Pandya,3,20,2,9,SRH,Wankhede Stadium,24 April 2018
83,Krunal Pandya,3.1,12,2,9.5,KKR,Eden Gardens,09 May 2018
84,Chris Woakes,3.2,36,2,10,PBKS,M. Chinnaswamy Stadium,13 April 2018
