POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
58,Lockie Ferguson,4,4,13,93,3,2/7,31,7.15,26,0,0
59,Bipul Sharma,7,7,16.2,129,3,1/4,43,7.89,32.66,0,0
60,Dhawal Kulkarni,6,6,18.5,173,3,1/24,57.66,9.18,37.66,0,0
61,Adam Milne,4,4,14,134,3,2/27,44.66,9.57,28,0,0
62,Tim Southee,3,3,10,96,3,2/39,32,9.6,20,0,0
63,Corey Anderson,11,8,18.5,186,3,1/23,62,9.87,37.66,0,0
64,Harshal Patel,1,1,4,43,3,3/43,14.33,10.75,8,0,0
65,Mohammad Nabi,3,3,11,58,2,1/13,29,5.27,33,0,0
66,Rajat Bhatia,3,3,7,55,2,2/14,27.5,7.85,21,0,0
67,Ankit Soni,7,6,18.1,144,2,1/16,72,7.92,54.5,0,0
68,Rahul Chahar,3,2,7,58,2,1/26,29,8.28,21,0,0
69,Billy Stanlake,2,2,8,70,2,2/29,35,8.75,24,0,0
70,T Natarajan,6,6,12.4,115,2,1/26,57.5,9.07,38,0,0
71,Travis Head,7,5,8,81,2,2/30,40.5,10.12,24,0,0
72,Vinay Kumar,1,1,3,31,2,2/31,15.5,10.33,9,0,0
73,Marcus Stoinis,5,5,10.3,110,2,1/28,55,10.47,31.5,0,0
74,Deepak Hooda,10,3,4,42,2,1/7,21,10.5,12,0,0
75,Iqbal Abdulla,2,2,5,55,2,2/36,27.5,11,15,0,0
76,Dwayne Smith,12,9,13,148,2,1/10,74,11.38,39,0,0
77,Nathu Singh,2,2,4,15,1,1/7,15,3.75,24,0,0
78,Avesh Khan,1,1,4,23,1,1/23,23,5.75,24,0,0
79,Munaf Patel,2,2,7,57,1,1/35,57,8.14,42,0,0
80,Suresh Raina,14,6,12,102,1,1/11,102,8.5,72,0,0
81,Swapnil Singh,4,4,7,61,1,1/14,61,8.71,42,0,0
82,Chris Jordan,1,1,1,9,1,1/9,9,9,6,0,0
83,Ben Cutting,4,4,12.4,123,1,1/41,123,9.71,76,0,0
84,Yusuf Pathan,15,4,4,41,1,1/2,41,10.25,24,0,0
85,Moises Henriques,12,12,24,248,1,1/6,248,10.33,144,0,0
86,Shubham Agarwal,1,1,4,42,1,1/42,42,10.5,24,0,0
87,Deepak Chahar,3,3,7,74,1,1/35,74,10.57,42,0,0
88,Yuvraj Singh,12,2,2,22,1,1/6,22,11,12,0,0
89,Carlos Brathwaite,2,2,6,67,1,1/38,67,11.16,36,0,0
90,Ashok Dinda,3,3,10,119,1,1/26,119,11.9,60,0,0
91,Matt Henry,2,2,5,71,1,1/31,71,14.2,30,0,0
92,Jayant Yadav,2,2,6,42,0,0/16,0,7,0,0,0
93,Tejas Baroka,1,1,3.3,33,0,0/33,0,9.42,0,0,0
94,Ishant Sharma,6,6,18,179,0,0/12,0,9.94,0,0,0
95,Shakib Al Hasan,1,1,3,31,0,0/31,0,10.33,0,0,0
96,Shadab Jakati,2,2,5,52,0,0/22,0,10.4,0,0,0
97,Angelo Mathews,3,2,5,56,0,0/15,0,11.2,0,0,0
98,Marlon Samuels,5,2,3,34,0,0/12,0,11.33,0,0,0
99,Rahul Tripathi,14,1,1,12,0,0/12,0,12,0,0,0
100,Mustafizur Rahman,1,1,2.4,34,0,0/34,0,12.75,0,0,0
101,Anureet Singh,1,1,2,26,0,0/26,0,13,0,0,0
102,Irfan Pathan,1,1,2,26,0,0/26,0,13,0,0,0
103,Barinder Sran,1,1,2,29,0,0/29,0,14.5,0,0,0
104,Manpreet Gony,1,1,2,32,0,0/32,0,16,0,0,0
105,Ankit Sharma,1,1,1,16,0,0/16,0,16,0,0,0
106,Kieron Pollard,17,1,1.5,30,0,0/30,0,16.36,0,0,0
