POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
119,Shreyas Gopal,4,28,2,0,11,12,MI,Zayed Cricket Stadium,06 October 2020
120,Anrich Nortje,4,28,0,0,11,0,MI,Zayed Cricket Stadium,11 October 2020
121,Varun Chakaravarthy,4,28,0,0,11,0,RCB,Zayed Cricket Stadium,21 October 2020
122,Ravichandran Ashwin,4,29,3,0,11,8,MI,Dubai International Stadium,05 November 2020
123,Andre Russell,4,29,2,0,11,12,DC,Sharjah Cricket Stadium,03 October 2020
124,T Natarajan,4,29,0,0,11,0,MI,Sharjah Cricket Stadium,04 October 2020
125,Mohammad Shami,4,30,1,0,11,24,KKR,Zayed Cricket Stadium,10 October 2020
126,Navdeep Saini,3,23,1,0,11,18,KKR,Zayed Cricket Stadium,21 October 2020
127,Jofra Archer,4,31,2,0,11,12,MI,Zayed Cricket Stadium,25 October 2020
128,Deepak Chahar,4,31,2,0,11,12,SRH,Dubai International Stadium,02 October 2020
129,Anrich Nortje,4,33,3,0,11,8,RCB,Zayed Cricket Stadium,02 November 2020
130,Jason Holder,4,33,3,0,11,8,RR,Dubai International Stadium,22 October 2020
131,Anrich Nortje,4,33,3,0,11,8,KKR,Sharjah Cricket Stadium,03 October 2020
132,Anrich Nortje,4,33,0,0,11,0,PBKS,Dubai International Stadium,20 September 2020
133,Mohammed Siraj,4,34,2,0,11,12,DC,Dubai International Stadium,05 October 2020
134,Mohammad Shami,4,34,1,0,11,24,SRH,Dubai International Stadium,24 October 2020
135,Jofra Archer,4,34,1,0,11,24,MI,Zayed Cricket Stadium,06 October 2020
136,Deepak Chahar,4,34,0,0,11,0,MI,Sharjah Cricket Stadium,23 October 2020
137,Kartik Tyagi,4,35,1,0,11,24,CSK,Zayed Cricket Stadium,19 October 2020
138,Anrich Nortje,4,37,1,0,11,24,SRH,Dubai International Stadium,27 October 2020
139,Pat Cummins,4,38,0,0,11,0,RCB,Sharjah Cricket Stadium,12 October 2020
140,Lungi Ngidi,4,39,3,0,11,8,PBKS,Zayed Cricket Stadium,01 November 2020
141,Deepak Chahar,3,10,1,0,10,18,RCB,Dubai International Stadium,10 October 2020
142,Chris Morris,4,17,2,0,10,12,KKR,Sharjah Cricket Stadium,12 October 2020
143,Ravichandran Ashwin,4,17,1,0,10,24,RR,Dubai International Stadium,14 October 2020
144,Axar Patel,4,18,2,0,10,12,RCB,Dubai International Stadium,05 October 2020
145,Deepak Chahar,4,18,2,1,10,12,DC,Sharjah Cricket Stadium,17 October 2020
146,Ravichandran Ashwin,4,18,1,0,10,24,RCB,Zayed Cricket Stadium,02 November 2020
147,Axar Patel,4,18,1,0,10,24,CSK,Dubai International Stadium,25 September 2020
148,Mohammad Shami,3,14,1,0,10,18,RCB,Dubai International Stadium,24 September 2020
149,Washington Sundar,4,20,0,0,10,0,MI,Zayed Cricket Stadium,28 October 2020
150,Varun Chakaravarthy,4,23,1,0,10,24,MI,Zayed Cricket Stadium,16 October 2020
