POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
91,Shane Watson,4,19,3,12,4.75,8,MI,Wankhede Stadium,20 May 2011
92,Siddharth Trivedi,4,19,3,11,4.75,8,KTK,Sawai Mansingh Stadium,24 April 2011
93,Ravichandran Ashwin,4,19,2,12,4.75,12,PWI,Chidambaram,25 April 2011
94,Ravichandran Ashwin,4,19,2,12,4.75,12,DC,Chidambaram,12 May 2011
95,Zaheer Khan,4,19,2,15,4.75,12,CSK,M. Chinnaswamy Stadium,22 May 2011
96,Praveen Kumar,4,19,2,17,4.75,12,MI,IS Bindra Stadium,10 May 2011
97,Lasith Malinga,4,19,2,10,4.75,12,PBKS,Wankhede Stadium,02 May 2011
98,Iqbal Abdulla,4,19,2,14,4.75,12,PBKS,Eden Gardens,30 April 2011
99,Amit Mishra,4,19,2,11,4.75,12,KKR,Eden Gardens,11 April 2011
100,Shane Watson,4,19,1,9,4.75,24,PWI,Sawai Mansingh Stadium,01 May 2011
101,Johan Botha,4,19,1,10,4.75,24,KTK,Sawai Mansingh Stadium,24 April 2011
102,Lasith Malinga,4,19,1,10,4.75,24,KKR,Wankhede Stadium,25 May 2011
103,Albie Morkel,4,19,1,15,4.75,24,MI,Wankhede Stadium,22 April 2011
104,Chris Gayle,4,19,0,10,4.75,0,CSK,Wankhede Stadium,24 May 2011
105,Irfan Pathan,2.5,14,0,8,4.94,0,MI,Arun Jaitley Stadium,10 April 2011
106,Lakshmipathy Balaji,3,15,3,10,5,6,RR,Eden Gardens,17 April 2011
107,Yusuf Pathan,4,20,3,12,5,8,KTK,Eden Gardens,20 April 2011
108,Doug Bollinger,4,20,2,8,5,12,PWI,Chidambaram,25 April 2011
109,Sreenath Aravind,4,20,2,14,5,12,CSK,M. Chinnaswamy Stadium,22 May 2011
110,Sreenath Aravind,4,20,2,13,5,12,KTK,M. Chinnaswamy Stadium,08 May 2011
111,Ashok Menaria,4,20,2,10,5,12,MI,Sawai Mansingh Stadium,29 April 2011
112,Lasith Malinga,4,20,2,12,5,12,CSK,Wankhede Stadium,22 April 2011
113,Doug Bollinger,4,20,1,11,5,24,RCB,Wankhede Stadium,24 May 2011
114,Vinay Kumar,3,15,1,9,5,18,PWI,DY Patil Stadium,13 April 2011
115,Yusuf Pathan,2,10,1,3,5,12,RR,Eden Gardens,17 April 2011
116,Varun Aaron,4,20,1,11,5,24,CSK,Chidambaram,12 May 2011
117,Wayne Parnell,4,20,1,16,5,24,PBKS,DY Patil Stadium,10 April 2011
118,Lasith Malinga,4,20,1,14,5,24,RR,Sawai Mansingh Stadium,29 April 2011
119,Roelof van der Merwe,3,15,1,8,5,18,KTK,Arun Jaitley Stadium,02 May 2011
120,Syed Mohammad,4,20,1,12,5,24,KKR,Eden Gardens,22 April 2011
121,Kieron Pollard,2,10,1,5,5,12,DEC,Wankhede Stadium,14 May 2011
122,Shrikant Wagh,2,10,0,8,5,0,KTK,DY Patil Stadium,13 April 2011
123,Dhawal Kulkarni,4,20,0,12,5,0,PWI,DY Patil Stadium,04 May 2011
124,Munaf Patel,3,15,0,8,5,0,KTK,Wankhede Stadium,15 April 2011
125,Yuvraj Singh,2,10,0,3,5,0,RCB,M. Chinnaswamy Stadium,29 April 2011
126,Shane Watson,4,20,0,12,5,0,KKR,Eden Gardens,17 April 2011
127,Rajat Bhatia,2,10,0,3,5,0,CSK,Eden Gardens,07 May 2011
128,Alfonso Thomas,3,15,0,9,5,0,DC,Arun Jaitley Stadium,21 May 2011
129,Bhuvneshwar Kumar,2,10,0,7,5,0,DEC,DY Patil Stadium,16 May 2011
130,Mitchell Marsh,2.1,11,1,3,5.07,13,DC,Arun Jaitley Stadium,21 May 2011
131,Brett Lee,2.2,12,1,6,5.14,14,RR,Eden Gardens,17 April 2011
132,Roelof van der Merwe,3.5,20,3,9,5.21,7.66,KTK,Jawaharlal Nehru Stadium,30 April 2011
133,Munaf Patel,4,21,5,13,5.25,4.8,PBKS,IS Bindra Stadium,10 May 2011
134,Doug Bollinger,4,21,3,14,5.25,8,PWI,DY Patil Stadium,27 April 2011
135,Chris Gayle,4,21,3,7,5.25,8,PBKS,M. Chinnaswamy Stadium,06 May 2011
136,RP Singh,4,21,2,12,5.25,12,DEC,Jawaharlal Nehru Stadium,27 April 2011
137,Shakib Al Hasan,4,21,2,10,5.25,12,RR,Eden Gardens,17 April 2011
138,Shane Warne,4,21,2,13,5.25,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
139,Shadab Jakati,4,21,2,9,5.25,12,RCB,Chidambaram,28 May 2011
140,Vinay Kumar,4,21,1,10,5.25,24,KKR,Eden Gardens,20 April 2011
141,Ali Murtaza,4,21,1,13,5.25,24,DC,Arun Jaitley Stadium,10 April 2011
142,Ishant Sharma,4,21,1,14,5.25,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
143,Dwayne Bravo,4,21,0,12,5.25,0,RCB,M. Chinnaswamy Stadium,22 May 2011
144,P Parameswaran,4,21,0,9,5.25,0,KKR,Jawaharlal Nehru Stadium,05 May 2011
145,Shrikant Wagh,3,16,3,11,5.33,6,PBKS,DY Patil Stadium,10 April 2011
146,Jacques Kallis,3,16,2,8,5.33,9,RCB,M. Chinnaswamy Stadium,14 May 2011
147,Yusuf Pathan,3,16,1,6,5.33,18,KTK,Jawaharlal Nehru Stadium,05 May 2011
148,Suresh Raina,3,16,0,8,5.33,0,PWI,DY Patil Stadium,27 April 2011
149,Vinay Kumar,3,16,0,8,5.33,0,CSK,Jawaharlal Nehru Stadium,18 April 2011
150,Lasith Malinga,3.2,18,2,12,5.4,10,DC,Wankhede Stadium,07 May 2011
