POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
46,Robin Uthappa,34,20,170,0,3,DEC,Vidarbha Cricket Association Stadium,12 April 2010
47,Saurabh Tiwary,61,37,164.86,4,3,DC,Arun Jaitley Stadium,17 March 2010
48,Shikhar Dhawan,56,34,164.7,5,3,CSK,Brabourne Stadium,25 March 2010
49,Suresh Raina,57,35,162.85,3,3,MI,DY Patil Stadium,25 April 2010
50,Ambati Rayudu,34,21,161.9,1,3,DC,Arun Jaitley Stadium,17 March 2010
51,Albie Morkel,42,26,161.53,1,3,DEC,Chidambaram,14 March 2010
52,Shane Watson,58,36,161.11,3,3,DEC,Vidarbha Cricket Association Stadium,05 April 2010
53,Virender Sehwag,64,40,160,6,3,KKR,Eden Gardens,07 April 2010
54,Suresh Raina,83,52,159.61,7,3,MI,Brabourne Stadium,25 March 2010
55,Adam Gilchrist,54,35,154.28,3,3,KKR,DY Patil Stadium,12 March 2010
56,Rohit Sharma,45,30,150,3,3,DC,Barabati Stadium,21 March 2010
57,Manish Pandey,38,26,146.15,2,3,PBKS,M. Chinnaswamy Stadium,16 March 2010
58,Suresh Raina,49,34,144.11,3,3,DC,Arun Jaitley Stadium,19 March 2010
59,Harbhajan Singh,33,23,143.47,2,3,CSK,Chidambaram,06 April 2010
60,Rohit Sharma,49,35,140,2,3,RR,Narendra Modi Stadium,26 March 2010
61,Andrew Symonds,53,38,139.47,3,3,PBKS,Barabati Stadium,19 March 2010
62,Tirumalasetti Suman,43,31,138.7,3,3,PBKS,HPCA Stadium,16 April 2010
63,Tirumalasetti Suman,78,57,136.84,6,3,RCB,M. Chinnaswamy Stadium,08 April 2010
64,Mohnish Mishra,41,30,136.66,1,3,RCB,Vidarbha Cricket Association Stadium,12 April 2010
65,Owais Shah,58,46,126.08,3,3,DEC,DY Patil Stadium,12 March 2010
66,Saurabh Tiwary,44,35,125.71,1,3,DEC,Brabourne Stadium,03 April 2010
67,Paul Collingwood,51,42,121.42,1,3,DEC,Arun Jaitley Stadium,18 April 2010
68,Andrew Symonds,50,43,116.27,3,3,CSK,Chidambaram,14 March 2010
69,Cameron White,13,3,433.33,0,2,DEC,M. Chinnaswamy Stadium,08 April 2010
70,Adam Gilchrist,33,12,275,4,2,PBKS,Barabati Stadium,19 March 2010
71,Robin Uthappa,22,8,275,1,2,PBKS,IS Bindra Stadium,02 April 2010
