,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1943,Varun Chakaravarthy,4,14,1,0,16,24,RR,Sharjah Cricket Stadium,07-Oct-21
1944,Avesh Khan,4,15,3,0,16,8,MI,Sharjah Cricket Stadium,02-Oct-21
1945,Trent Boult,4,17,1,0,16,24,RCB,Dubai International Stadium,26-Sep-21
1946,Jayant Yadav,4,20,0,0,16,0,PBKS,Chidambaram,23-Apr-21
1947,Mohammed Siraj,4,27,3,0,16,8,RR,Wankhede Stadium,22-Apr-21
1948,Ravindra Jadeja,4,13,3,1,15,8,RCB,Wankhede Stadium,25-Apr-21
1949,Varun Chakaravarthy,4,13,3,0,15,8,RCB,Zayed Cricket Stadium,20-Sep-21
1950,Shivam Mavi,4,13,1,0,15,24,PBKS,Narendra Modi Stadium,26-Apr-21
1951,Jaydev Unadkat,4,15,3,0,15,8,DC,Wankhede Stadium,15-Apr-21
1952,Harpreet Brar,4,19,3,1,15,8,RCB,Narendra Modi Stadium,30-Apr-21
1953,Anrich Nortje,4,19,1,1,15,24,MI,Sharjah Cricket Stadium,02-Oct-21
1954,Pat Cummins,4,24,3,0,15,8,DC,Narendra Modi Stadium,29-Apr-21
1955,Lungi Ngidi,4,28,3,0,15,8,KKR,Wankhede Stadium,21-Apr-21
1956,Anrich Nortje,4,12,2,0,14,12,SRH,Dubai International Stadium,22-Sep-21
1957,Imran Tahir,4,16,2,0,14,12,RCB,Wankhede Stadium,25-Apr-21
1958,Ravindra Jadeja,4,19,0,0,14,0,PBKS,Wankhede Stadium,16-Apr-21
1959,Ravichandran Ashwin,4,20,1,0,14,24,RR,Zayed Cricket Stadium,25-Sep-21
1960,Bhuvneshwar Kumar,4,20,0,0,14,0,KKR,Dubai International Stadium,03-Oct-21
1961,Adam Milne,4,21,2,0,14,12,CSK,Dubai International Stadium,19-Sep-21
1962,Mohammad Shami,4,22,1,0,14,24,CSK,Dubai International Stadium,07-Oct-21
1963,Riley Meredith,3.4,21,0,0,14,0,CSK,Wankhede Stadium,16-Apr-21
1964,Sam Curran,4,24,2,0,14,12,RR,Wankhede Stadium,19-Apr-21
1965,Prasidh Krishna,4,24,1,0,14,24,RCB,Zayed Cricket Stadium,20-Sep-21
1966,Mohammed Siraj,4,25,2,1,14,12,SRH,Chidambaram,14-Apr-21
1967,Harpreet Brar,4,26,0,0,14,0,RCB,Sharjah Cricket Stadium,03-Oct-21
1968,Deepak Chahar,4,29,4,0,14,6,KKR,Wankhede Stadium,21-Apr-21
1969,Jimmy Neesham,4,12,3,0,13,8,RR,Sharjah Cricket Stadium,05-Oct-21
1970,Moises Henriques,4,12,3,0,13,8,RCB,Sharjah Cricket Stadium,03-Oct-21
1971,Krunal Pandya,4,13,1,0,13,24,KKR,Chidambaram,13-Apr-21
1972,Rahul Chahar,4,19,3,0,13,8,SRH,Chidambaram,17-Apr-21
1973,Deepak Chahar,4,19,2,0,13,12,MI,Dubai International Stadium,19-Sep-21
1974,Nathan Ellis,4,20,1,0,13,24,MI,Zayed Cricket Stadium,28-Sep-21
1975,Mohammad Shami,4,21,3,0,13,8,RR,Dubai International Stadium,21-Sep-21
1976,Chris Woakes,4,22,2,0,13,12,RR,Wankhede Stadium,15-Apr-21
1977,Mustafizur Rahman,4,22,1,0,13,24,KKR,Wankhede Stadium,24-Apr-21
1978,Fabian Allen,4,22,1,1,13,24,SRH,Chidambaram,21-Apr-21
1979,Kagiso Rabada,4,23,2,0,13,12,KKR,Sharjah Cricket Stadium,13-Oct-21
1980,Rashid Khan,4,23,1,0,13,24,KKR,Dubai International Stadium,03-Oct-21
1981,Trent Boult,4,23,0,0,13,0,DC,Chidambaram,20-Apr-21
1982,Josh Hazlewood,4,24,3,0,13,8,SRH,Sharjah Cricket Stadium,30-Sep-21
1983,Varun Chakaravarthy,4,26,2,0,13,12,SRH,Dubai International Stadium,03-Oct-21
1984,Kagiso Rabada,4,26,1,0,13,24,RR,Zayed Cricket Stadium,25-Sep-21
1985,Kyle Jamieson,4,27,1,0,13,24,MI,Chidambaram,09-Apr-21
1986,Umran Malik,4,27,0,0,13,0,KKR,Dubai International Stadium,03-Oct-21
1987,Avesh Khan,4,27,0,0,13,0,SRH,Dubai International Stadium,22-Sep-21
1988,Josh Hazlewood,4,29,2,0,13,12,DC,Dubai International Stadium,10-Oct-21
1989,Jason Holder,4,30,3,0,13,8,RCB,Chidambaram,14-Apr-21
1990,Chetan Sakariya,4,31,3,0,13,8,PBKS,Wankhede Stadium,12-Apr-21
1991,Kartik Tyagi,4,32,1,0,13,24,SRH,Arun Jaitley Stadium,02-May-21
1992,Mohammad Shami,4,33,2,0,13,12,RR,Wankhede Stadium,12-Apr-21
1993,Trent Boult,4,35,2,1,13,12,CSK,Dubai International Stadium,19-Sep-21
1994,Kagiso Rabada,4,37,3,0,13,8,SRH,Dubai International Stadium,22-Sep-21
1995,Sunil Narine,4,12,0,0,12,0,SRH,Dubai International Stadium,03-Oct-21
1996,Shardul Thakur,4,13,2,0,12,12,DC,Dubai International Stadium,04-Oct-21
1997,Jasprit Bumrah,4,14,1,0,12,24,SRH,Chidambaram,17-Apr-21
1998,Jasprit Bumrah,4,15,1,0,12,24,RR,Arun Jaitley Stadium,29-Apr-21
1999,Sam Curran,3,12,1,0,12,18,PBKS,Wankhede Stadium,16-Apr-21
2000,Anrich Nortje,4,18,2,0,12,12,RR,Zayed Cricket Stadium,25-Sep-21
2001,Nathan Coulter-Nile,4,19,1,0,12,24,DC,Sharjah Cricket Stadium,02-Oct-21
2002,Mustafizur Rahman,4,20,3,0,12,8,SRH,Arun Jaitley Stadium,02-May-21
2003,Sandeep Sharma,4,20,1,0,12,24,PBKS,Sharjah Cricket Stadium,25-Sep-21
2004,Mohammed Siraj,3,15,1,0,12,18,MI,Dubai International Stadium,26-Sep-21
2005,Sunil Narine,4,20,0,0,12,0,RCB,Zayed Cricket Stadium,20-Sep-21
2006,Kagiso Rabada,4,21,0,0,12,0,CSK,Dubai International Stadium,04-Oct-21
2007,Deepak Hooda,4,22,0,0,12,0,SRH,Chidambaram,21-Apr-21
2008,Mohammed Siraj,4,22,0,0,12,0,MI,Chidambaram,09-Apr-21
2009,Harpreet Brar,4,22,0,0,12,0,CSK,Dubai International Stadium,07-Oct-21
2010,Chetan Sakariya,4,23,1,0,12,24,KKR,Sharjah Cricket Stadium,07-Oct-21
2011,Pat Cummins,4,24,2,0,12,12,MI,Chidambaram,13-Apr-21
2012,Khaleel Ahmed,4,24,1,0,12,24,MI,Chidambaram,17-Apr-21
2013,Siddarth Kaul,4,24,1,1,12,24,RCB,Zayed Cricket Stadium,06-Oct-21
2014,Harshal Patel,4,27,5,0,12,4.8,MI,Chidambaram,09-Apr-21
2015,Trent Boult,4,27,2,0,12,12,KKR,Chidambaram,13-Apr-21
2016,Rashid Khan,4,27,1,0,12,24,CSK,Sharjah Cricket Stadium,30-Sep-21
2017,Ravichandran Ashwin,4,27,0,0,12,0,SRH,Chidambaram,25-Apr-21
2018,Chris Morris,4,28,1,0,12,24,KKR,Sharjah Cricket Stadium,07-Oct-21
2019,Kartik Tyagi,4,29,2,0,12,12,PBKS,Dubai International Stadium,21-Sep-21
2020,Shivam Mavi,4,29,2,0,12,12,SRH,Dubai International Stadium,03-Oct-21
2021,Prasidh Krishna,4,30,3,0,12,8,PBKS,Narendra Modi Stadium,26-Apr-21
2022,Kagiso Rabada,4,30,2,0,12,12,RR,Wankhede Stadium,15-Apr-21
2023,Sunil Narine,4,30,0,0,12,0,RR,Sharjah Cricket Stadium,07-Oct-21
2024,Trent Boult,3.4,28,3,0,12,7.33,SRH,Chidambaram,17-Apr-21
2025,Shivam Mavi,4,31,1,0,12,24,PBKS,Dubai International Stadium,01-Oct-21
2026,Ravichandran Ashwin,4,31,0,0,12,0,MI,Chidambaram,20-Apr-21
2027,Bhuvneshwar Kumar,4,34,0,0,12,0,CSK,Sharjah Cricket Stadium,30-Sep-21
2028,Avesh Khan,4,35,1,0,12,24,CSK,Dubai International Stadium,04-Oct-21
2029,Jasprit Bumrah,4,36,3,0,12,8,RCB,Dubai International Stadium,26-Sep-21
2030,Trent Boult,4,36,1,0,12,24,RCB,Chidambaram,09-Apr-21
2031,Moeen Ali,3,7,3,0,11,6,RR,Wankhede Stadium,19-Apr-21
2032,Rashid Khan,4,17,1,0,11,24,PBKS,Chidambaram,21-Apr-21
2033,Rashid Khan,4,17,1,0,11,24,PBKS,Sharjah Cricket Stadium,25-Sep-21
2034,Yuzvendra Chahal,4,18,2,0,11,12,RR,Dubai International Stadium,29-Sep-21
2035,Siddarth Kaul,3.4,17,1,0,11,22,KKR,Dubai International Stadium,03-Oct-21
2036,Sunil Narine,4,20,0,0,11,0,RR,Wankhede Stadium,24-Apr-21
2037,Sunil Narine,4,21,4,0,11,6,RCB,Sharjah Cricket Stadium,11-Oct-21
2038,Mohammad Shami,4,21,2,0,11,12,CSK,Wankhede Stadium,16-Apr-21
2039,Axar Patel,4,21,1,0,11,24,PBKS,Narendra Modi Stadium,02-May-21
2040,Umran Malik,4,21,1,0,11,24,RCB,Zayed Cricket Stadium,06-Oct-21
2041,Rashid Khan,4,22,0,0,11,0,MI,Chidambaram,17-Apr-21
2042,Mohammed Siraj,3,17,0,0,11,0,KKR,Chidambaram,18-Apr-21
2043,Mohammed Siraj,3,17,0,0,11,0,SRH,Zayed Cricket Stadium,06-Oct-21
2044,Avesh Khan,4,23,2,0,11,12,CSK,Wankhede Stadium,10-Apr-21
2045,Amit Mishra,4,24,4,0,11,6,MI,Chidambaram,20-Apr-21
2046,Lockie Ferguson,4,24,2,0,11,12,RCB,Zayed Cricket Stadium,20-Sep-21
2047,Jasprit Bumrah,4,24,2,0,11,12,PBKS,Zayed Cricket Stadium,28-Sep-21
2048,Chris Woakes,3,18,2,0,11,9,CSK,Wankhede Stadium,10-Apr-21
2049,Avesh Khan,4,24,1,0,11,24,RCB,Narendra Modi Stadium,27-Apr-21
2050,Daniel Sams,4,24,1,0,11,24,PBKS,Narendra Modi Stadium,30-Apr-21
2051,Dwayne Bravo,4,25,3,0,11,8,MI,Dubai International Stadium,19-Sep-21
2052,Mohammed Siraj,4,25,2,0,11,12,DC,Dubai International Stadium,08-Oct-21
2053,Bhuvneshwar Kumar,4,25,1,0,11,24,RCB,Zayed Cricket Stadium,06-Oct-21
2054,Jaydev Unadkat,4,25,1,0,11,24,KKR,Wankhede Stadium,24-Apr-21
2055,Axar Patel,4,26,2,0,11,12,SRH,Chidambaram,25-Apr-21
2056,Ishant Sharma,4,26,1,1,11,24,RCB,Narendra Modi Stadium,27-Apr-21
2057,Lockie Ferguson,4,26,1,0,11,24,DC,Sharjah Cricket Stadium,13-Oct-21
2058,Rahul Chahar,4,27,4,0,11,6,KKR,Chidambaram,13-Apr-21
2059,Jason Holder,4,27,1,0,11,24,RCB,Zayed Cricket Stadium,06-Oct-21
2060,Kyle Jamieson,4,28,1,0,11,24,RR,Wankhede Stadium,22-Apr-21
2061,Jhye Richardson,3,21,0,0,11,0,CSK,Wankhede Stadium,16-Apr-21
2062,Mustafizur Rahman,4,29,2,0,11,12,DC,Wankhede Stadium,15-Apr-21
2063,Mustafizur Rahman,3.3,26,1,0,11,21,SRH,Dubai International Stadium,27-Sep-21
2064,Shardul Thakur,4,30,2,0,11,12,RR,Zayed Cricket Stadium,02-Oct-21
2065,Avesh Khan,4,31,0,0,11,0,RCB,Dubai International Stadium,08-Oct-21
2066,Arshdeep Singh,4,32,5,0,11,4.8,RR,Dubai International Stadium,21-Sep-21
2067,Avesh Khan,4,32,3,0,11,8,RR,Wankhede Stadium,15-Apr-21
2068,Axar Patel,4,32,2,0,11,12,KKR,Narendra Modi Stadium,29-Apr-21
2069,Kyle Jamieson,4,32,1,0,11,24,DC,Narendra Modi Stadium,27-Apr-21
2070,Chris Morris,4,33,2,0,11,12,CSK,Wankhede Stadium,19-Apr-21
2071,Jasprit Bumrah,4,33,2,0,11,12,CSK,Dubai International Stadium,19-Sep-21
2072,Rahul Chahar,4,33,1,0,11,24,RCB,Dubai International Stadium,26-Sep-21
2073,Sam Curran,4,34,3,0,11,8,MI,Arun Jaitley Stadium,01-May-21
2074,Prasidh Krishna,4,35,2,0,11,12,SRH,Chidambaram,11-Apr-21
2075,Ravi Bishnoi,4,35,0,0,11,0,RCB,Sharjah Cricket Stadium,03-Oct-21
2076,Shardul Thakur,4,38,3,0,11,8,KKR,Dubai International Stadium,15-Oct-21
2077,Andre Russell,3,9,3,0,10,6,RCB,Zayed Cricket Stadium,20-Sep-21
2078,Ravi Bishnoi,4,17,2,0,10,12,RCB,Narendra Modi Stadium,30-Apr-21
2079,Dwayne Bravo,4,17,2,0,10,12,SRH,Sharjah Cricket Stadium,30-Sep-21
2080,Axar Patel,3,13,0,0,10,0,KKR,Sharjah Cricket Stadium,28-Sep-21
2081,Rashid Khan,4,18,2,0,10,12,RCB,Chidambaram,14-Apr-21
2082,Sunil Narine,4,18,2,0,10,12,DC,Sharjah Cricket Stadium,28-Sep-21
