,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1528,Shreyas Gopal,4,20,3,0,12,8,CSK,Maharashtra Cricket Association's International Stadium,20-Apr-18
1529,Trent Boult,4,20,2,0,12,12,CSK,Arun Jaitley Stadium,18-May-18
1530,Amit Mishra,4,20,2,0,12,12,CSK,Arun Jaitley Stadium,18-May-18
1531,Yuzvendra Chahal,4,22,2,0,12,12,RR,M. Chinnaswamy Stadium,15-Apr-18
1532,Murugan Ashwin,3,17,1,0,12,18,CSK,Maharashtra Cricket Association's International Stadium,05-May-18
1533,Krishnappa Gowtham,4,23,2,0,12,12,KKR,Sawai Mansingh Stadium,18-Apr-18
1534,Umesh Yadav,4,23,1,0,12,24,CSK,M. Chinnaswamy Stadium,25-Apr-18
1535,Hardik Pandya,4,24,3,0,12,8,CSK,Wankhede Stadium,07-Apr-18
1536,David Willey,4,24,1,0,12,24,RCB,Maharashtra Cricket Association's International Stadium,05-May-18
1537,Mohammed Siraj,4,25,3,0,12,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,07-May-18
1538,Umesh Yadav,4,25,3,1,12,8,RR,Sawai Mansingh Stadium,19-May-18
1539,Mujeeb Ur Rahman,4,25,2,0,12,12,DC,Arun Jaitley Stadium,23-Apr-18
1540,Jasprit Bumrah,4,25,0,0,12,0,CSK,Maharashtra Cricket Association's International Stadium,28-Apr-18
1541,Dhawal Kulkarni,2.5,18,0,0,12,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-18
1542,Lungi Ngidi,4,26,1,0,12,24,DC,Maharashtra Cricket Association's International Stadium,30-Apr-18
1543,Jaydev Unadkat,4,26,0,0,12,0,PBKS,Holkar Cricket Stadium,06-May-18
1544,Rashid Khan,4,27,3,0,12,8,RCB,M. Chinnaswamy Stadium,17-May-18
1545,Jasprit Bumrah,4,28,2,0,12,12,RCB,Wankhede Stadium,17-Apr-18
1546,Mitchell McClenaghan,4,28,0,0,12,0,RR,Wankhede Stadium,13-May-18
1547,Avesh Khan,4,29,2,0,12,12,KKR,Arun Jaitley Stadium,27-Apr-18
1548,Shane Watson,4,29,2,0,12,12,MI,Wankhede Stadium,07-Apr-18
1549,Sunil Narine,4,29,1,0,12,24,RR,Eden Gardens,15-May-18
1550,Mitchell Johnson,4,30,1,0,12,24,RCB,Eden Gardens,08-Apr-18
1551,Deepak Chahar,4,30,1,0,12,24,PBKS,Maharashtra Cricket Association's International Stadium,20-May-18
1552,Mitchell McClenaghan,4,31,1,0,12,24,PBKS,Holkar Cricket Stadium,04-May-18
1553,Deepak Chahar,4,31,1,0,12,24,SRH,Wankhede Stadium,22-May-18
1554,Rashid Khan,4,31,1,0,12,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,07-May-18
1555,Dhawal Kulkarni,4,32,2,0,12,12,MI,Sawai Mansingh Stadium,22-Apr-18
1556,Dwayne Bravo,4,33,2,1,12,12,RCB,M. Chinnaswamy Stadium,25-Apr-18
1557,Jofra Archer,4,33,2,0,12,12,KKR,Eden Gardens,23-May-18
1558,Piyush Chawla,4,35,2,0,12,12,CSK,Eden Gardens,03-May-18
1559,Billy Stanlake,4,38,0,0,12,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-18
1560,Jasprit Bumrah,4,15,3,0,11,8,PBKS,Wankhede Stadium,16-May-18
1561,Ish Sodhi,4,15,0,0,11,0,KKR,Eden Gardens,23-May-18
1562,Colin de Grandhomme,4,16,1,0,11,24,CSK,Maharashtra Cricket Association's International Stadium,05-May-18
1563,Sunil Narine,4,17,2,0,11,12,SRH,Eden Gardens,14-Apr-18
1564,Siddarth Kaul,4,17,2,0,11,12,RR,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-18
1565,Mujeeb Ur Rahman,4,17,1,0,11,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,26-Apr-18
1566,Rashid Khan,4,19,3,0,11,8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,26-Apr-18
1567,Jasprit Bumrah,4,19,1,0,11,24,PBKS,Holkar Cricket Stadium,04-May-18
1568,Kuldeep Yadav,4,20,1,0,11,24,RCB,M. Chinnaswamy Stadium,29-Apr-18
1569,Shakib Al Hasan,4,21,2,0,11,12,KKR,Eden Gardens,14-Apr-18
1570,Ish Sodhi,4,21,1,0,11,24,KKR,Eden Gardens,15-May-18
1571,Hardik Pandya,3,16,2,0,11,9,KKR,Eden Gardens,09-May-18
1572,Harbhajan Singh,4,22,2,0,11,12,RCB,Maharashtra Cricket Association's International Stadium,05-May-18
1573,Shreyas Gopal,4,22,2,0,11,12,RCB,M. Chinnaswamy Stadium,15-Apr-18
1574,Barinder Sran,4,22,0,0,11,0,SRH,IS Bindra Stadium,19-Apr-18
1575,Mayank Markande,4,23,4,0,11,6,SRH,Rajiv Gandhi Intl. Cricket Stadium,12-Apr-18
1576,Mayank Markande,4,23,3,0,11,8,CSK,Wankhede Stadium,07-Apr-18
1577,Rashid Khan,4,23,1,0,11,24,RR,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-18
1578,Krishnappa Gowtham,3,18,1,0,11,18,PBKS,Holkar Cricket Stadium,06-May-18
