,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
0,Sohail Tanvir,11,11,41.1,266,22,Jun-14,12.09,6.46,11.22,1,1
1,Shane Warne,15,15,52,404,19,Mar-19,21.26,7.76,16.42,0,0
2,Shanthakumaran Sreesanth,15,15,51.1,442,19,Mar-29,23.26,8.63,16.15,0,0
3,Shane Watson,15,15,54.1,383,17,03-Oct,22.52,7.07,19.11,0,0
4,Manpreet Gony,16,16,60,443,17,Mar-34,26.05,7.38,21.17,0,0
5,Piyush Chawla,15,15,46.5,389,17,Mar-25,22.88,8.3,16.52,0,0
6,Albie Morkel,13,13,48,399,17,Apr-32,23.47,8.31,16.94,1,0
7,Yo Mahesh,11,11,42.1,370,16,Apr-36,23.12,8.77,15.81,1,0
8,Irfan Pathan,14,14,53,350,15,Feb-18,23.33,6.6,21.2,0,0
9,MF Maharoof,10,10,36,249,15,Mar-34,16.6,6.91,14.4,0,0
10,RP Singh,14,14,51.2,442,15,Mar-35,29.46,8.61,20.53,0,0
11,Munaf Patel,15,15,55,420,14,Mar-17,30,7.63,23.57,0,0
12,Siddharth Trivedi,15,15,48,399,13,Feb-25,30.69,8.31,22.15,0,0
13,Zaheer Khan,11,11,42,357,13,Mar-38,27.46,8.5,19.38,0,0
14,Glenn McGrath,14,14,54,357,12,Apr-29,29.75,6.61,27,1,0
15,Ashish Nehra,14,14,44.5,348,12,Mar-13,29,7.76,22.41,0,0
16,Umar Gul,6,6,22.3,184,12,Apr-23,15.33,8.17,11.25,1,0
17,Shaun Pollock,13,13,46,301,11,03-Dec,27.36,6.54,25.09,0,0
18,Muttiah Muralitharan,15,15,58,404,11,Feb-39,36.72,6.96,31.63,0,0
19,Amit Mishra,6,6,19.5,142,11,May-17,12.9,7.15,10.81,0,1
20,Pragyan Ojha,13,12,37,284,11,Feb-18,25.81,7.67,20.18,0,0
21,Dhawal Kulkarni,10,10,29.3,236,11,Mar-33,21.45,8,16.09,0,0
22,Dwayne Bravo,9,9,28.3,232,11,Mar-24,21.09,8.14,15.54,0,0
23,Praveen Kumar,13,13,44.4,366,11,Mar-23,33.27,8.19,24.36,0,0
24,Lakshmipathy Balaji,9,9,33,286,11,May-24,26,8.66,18,0,1
25,Vikram Singh,13,13,48,420,11,Mar-29,38.18,8.75,26.18,0,0
26,Dale Steyn,10,10,38,252,10,Mar-27,25.2,6.63,22.8,0,0
27,Dilhara Fernando,5,5,20,160,10,Apr-18,16,8,12,1,0
28,Shahid Afridi,10,10,30,225,9,Mar-28,25,7.5,20,0,0
29,Ashok Dinda,13,12,38,258,8,Mar-33,32.25,6.78,28.5,0,0
30,Ishant Sharma,13,13,43.1,331,8,02-Sep,41.37,7.66,32.37,0,0
31,Ajit Agarkar,9,9,26,207,8,Mar-25,25.87,7.96,19.5,0,0
32,Yusuf Pathan,16,13,28.1,230,8,Mar-22,28.75,8.16,21.12,0,0
33,Mohammad Asif,8,8,32,296,8,Feb-19,37,9.25,24,0,0
34,Joginder Sharma,8,7,24.4,239,8,Feb-27,29.87,9.68,18.5,0,0
35,Makhaya Ntini,9,9,35,242,7,Apr-21,34.57,6.91,30,1,0
36,Anil Kumble,10,10,38.2,304,7,Mar-14,43.42,7.93,32.85,0,0
37,James Hopes,11,11,28,276,7,02-Feb,39.42,9.85,24,0,0
38,Palani Amarnath,6,6,22,236,7,Feb-29,33.71,10.72,18.85,0,0
39,Sourav Ganguly,13,7,20,128,6,Feb-21,21.33,6.4,20,0,0
40,Rajat Bhatia,9,9,22,183,6,Feb-17,30.5,8.31,22,0,0
41,Laxmi Ratan Shukla,13,9,12,124,6,03-Jun,20.66,10.33,12,0,0
42,Dwayne Smith,4,4,11,83,5,Mar-26,16.6,7.54,13.2,0,0
43,Shoaib Akhtar,3,3,7,54,5,04-Nov,10.8,7.71,8.4,1,0
44,Vinay Kumar,8,8,23,182,5,Mar-27,36.4,7.91,27.6,0,0
45,Harbhajan Singh,3,3,10,82,5,Mar-32,16.4,8.2,12,0,0
46,Rohan Raje,6,6,16.2,137,5,Feb-16,27.4,8.38,19.6,0,0
47,Chaminda Vaas,5,5,17,145,5,02-Sep,29,8.52,20.4,0,0
48,Pradeep Sangwan,7,7,24,215,5,Feb-29,43,8.95,28.8,0,0
49,Brett Lee,4,4,16,112,4,01-Sep,28,7,24,0,0
50,Sanath Jayasuriya,14,8,21,159,4,Mar-14,39.75,7.57,31.5,0,0
51,Paidikalva Vijaykumar,9,9,25.2,199,4,Jan-17,49.75,7.85,38,0,0
52,Sanjay Bangar,11,9,25,219,4,Feb-34,54.75,8.76,37.5,0,0
53,Jacques Kallis,11,11,34.2,311,4,Feb-39,77.75,9.05,51.5,0,0
54,Dominic Thornely,6,4,7,40,3,02-Jul,13.33,5.71,14,0,0
55,Scott Styris,8,8,27,199,3,Jan-24,66.33,7.37,54,0,0
56,Ramesh Powar,5,5,12,91,3,Feb-22,30.33,7.58,24,0,0
57,Murali Kartik,6,5,14.4,127,3,Mar-17,42.33,8.65,29.33,0,0
58,Yuvraj Singh,15,6,9,83,3,02-Dec,27.66,9.22,18,0,0
59,Jacob Oram,4,4,16,149,3,Mar-32,49.66,9.31,32,0,0
60,Gajendra Singh,4,4,14,141,3,Jan-33,47,10.07,28,0,0
61,Virender Sehwag,14,7,11,133,3,01-Feb,44.33,12.09,22,0,0
62,Daniel Vettori,2,2,8,54,2,Jan-19,27,6.75,24,0,0
63,Dimitri Mascarenhas,1,1,4,29,2,Feb-29,14.5,7.25,12,0,0
64,Balachandra Akhil,7,6,17.2,134,2,Feb-17,67,7.73,52,0,0
65,Virat Kohli,13,4,7.4,61,2,Feb-25,30.5,7.95,23,0,0
66,Nuwan Zoysa,3,3,11,99,2,Jan-30,49.5,9,33,0,0
67,Venugopal Rao,11,7,14,137,2,Feb-25,68.5,9.78,42,0,0
68,Siddharth Chitnis,3,2,6,60,2,Feb-40,30,10,18,0,0
69,Shoaib Malik,7,5,8.3,85,2,01-Jun,42.5,10,25.5,0,0
70,David Hussey,13,5,13,130,2,Jan-23,65,10,39,0,0
71,Musavir Khote,4,2,5,51,2,Feb-29,25.5,10.2,15,0,0
72,Doddapaneni Kalyankrishna,3,3,8,87,2,Jan-30,43.5,10.87,24,0,0
73,Tillakaratne Dilshan,7,1,1,3,1,01-Mar,3,3,6,0,0
74,Mohammad Hafeez,8,2,5,24,1,01-Aug,24,4.8,30,0,0
75,Ajantha Mendis,1,1,4,24,1,Jan-24,24,6,24,0,0
76,Rohit Sharma,13,1,4,25,1,Jan-25,25,6.25,24,0,0
77,PM Sarvesh Kumar,2,2,5,42,1,Jan-18,42,8.4,30,0,0
78,Sunil Joshi,4,4,9.1,82,1,Jan-27,82,8.94,55,0,0
79,Suresh Raina,16,2,3.2,30,1,Jan-20,30,9,20,0,0
80,Dwaraka Ravi Teja,7,1,2,19,1,Jan-19,19,9.5,12,0,0
81,Abhishek Nayar,14,5,7,68,1,Jan-18,68,9.71,42,0,0
82,Dinesh Salunkhe,6,5,7.5,78,1,Jan-21,78,9.95,47,0,0
83,Ashley Noffke,1,1,4,40,1,Jan-40,40,10,24,0,0
84,Andre Nel,1,1,3,31,1,Jan-31,31,10.33,18,0,0
85,Vidyut Sivaramakrishnan,9,1,2,22,1,Jan-22,22,11,12,0,0
86,Brett Geeves,2,2,8,91,1,Jan-50,91,11.37,48,0,0
87,Wilkin Mota,4,2,3,36,1,Jan-24,36,12,18,0,0
88,Iqbal Abdulla,1,1,3,22,0,0/22,0,7.33,0,0,0
89,Ravindra Jadeja,14,2,2.1,21,0,0/0,0,9.69,0,0,0
90,Pankaj Singh,5,5,12,129,0,0/12,0,10.75,0,0,0
91,Vikrant Yeligati,2,2,5,59,0,0/16,0,11.8,0,0,0
92,Karan Goel,7,1,2,25,0,0/25,0,12.5,0,0,0
93,Abdur Razzak,1,1,2,29,0,0/29,0,14.5,0,0,0
94,Andrew Symonds,4,3,6.5,101,0,0/20,0,14.78,0,0,0
95,Chamara Kapugedera,5,3,2.5,49,0,0/8,0,17.29,0,0,0
96,LPC Silva,3,1,1,21,0,0/21,0,21,0,0,0
97,Cameron White,8,1,1,24,0,0/24,0,24,0,0,0
98,RP Singh,16,16,59.4,417,23,Apr-22,18.13,6.98,15.56,1,0
99,Anil Kumble,16,16,59.1,347,21,05-May,16.52,5.86,16.9,1,1
100,Lasith Malinga,13,13,49.3,312,18,03-Nov,17.33,6.3,16.5,0,0
101,Pragyan Ojha,15,15,53.3,348,18,Mar-21,19.33,6.5,17.83,0,0
102,Irfan Pathan,14,14,50.2,390,17,Mar-35,22.94,7.74,17.76,0,0
103,Munaf Patel,11,11,34.5,241,16,Feb-14,15.06,6.91,13.06,0,0
104,Muttiah Muralitharan,13,13,50,261,14,03-Nov,18.64,5.22,21.42,0,0
105,Amit Mishra,11,11,42.1,294,14,Mar-14,21,6.97,18.07,0,0
106,Shane Warne,13,13,50,365,14,Mar-24,26.07,7.3,21.42,0,0
107,Yusuf Abdulla,9,9,28,241,14,Apr-31,17.21,8.6,12,2,0
108,Shadab Jakati,9,8,29,217,13,Apr-22,16.69,7.48,13.38,2,0
109,Praveen Kumar,13,13,49.4,394,13,Mar-30,30.3,7.93,22.92,0,0
110,Albie Morkel,12,12,40,324,13,Feb-13,24.92,8.1,18.46,0,0
111,Lakshmipathy Balaji,13,13,37.2,316,13,Apr-21,24.3,8.46,17.23,1,0
112,Harbhajan Singh,13,13,44,256,12,Apr-17,21.33,5.81,22,1,0
113,Piyush Chawla,14,14,44.5,308,12,Feb-22,25.66,6.86,22.41,0,0
114,Ishant Sharma,11,11,43,297,11,Feb-15,27,6.9,23.45,0,0
115,Ishant Sharma,11,11,43,297,11,Feb-15,27,6.9,23.45,0,0
116,Rohit Sharma,16,12,23,161,11,04-Jun,14.63,7,12.54,1,0
117,Dwayne Bravo,11,11,33.1,259,11,Mar-34,23.54,7.8,18.09,0,0
118,Amit Singh,5,5,17.3,95,9,Apr-19,10.55,5.42,11.66,1,0
119,Roelof van der Merwe,10,10,34,248,9,Feb-22,27.55,7.29,22.66,0,0
120,Vinay Kumar,11,11,32.2,271,9,Feb-30,30.11,8.38,21.55,0,0
121,Suresh Raina,14,10,27.4,164,7,Feb-17,23.42,5.92,23.71,0,0
122,Andrew Symonds,8,8,24,160,7,Feb-18,22.85,6.66,20.57,0,0
123,Yusuf Pathan,13,11,35,243,7,Mar-34,34.71,6.94,30,0,0
124,Brad Hodge,12,9,20,161,7,Mar-29,23,8.05,17.14,0,0
125,Sanath Jayasuriya,12,9,19,163,7,02-Mar,23.28,8.57,16.28,0,0
126,Ravindra Jadeja,13,10,23.2,151,6,Mar-15,25.16,6.47,23.33,0,0
127,Zaheer Khan,6,6,21,142,6,Mar-31,23.66,6.76,21,0,0
128,Dimitri Mascarenhas,5,5,19.2,132,6,Mar-20,22,6.82,19.33,0,0
129,Kamran Khan,5,5,17.4,124,6,Mar-18,20.66,7.01,17.66,0,0
130,Yuvraj Singh,14,9,20,142,6,Mar-13,23.66,7.1,20,0,0
131,Ryan Harris,8,8,31,230,6,Mar-27,38.33,7.41,31,0,0
132,Siddharth Trivedi,7,7,20,152,6,Feb-19,25.33,7.6,20,0,0
133,Jacques Kallis,15,14,46,353,6,Feb-18,58.83,7.67,46,0,0
134,Shanthakumaran Sreesanth,7,7,23,192,6,Feb-20,32,8.34,23,0,0
135,Ajit Agarkar,11,11,31,284,6,Feb-15,47.33,9.16,31,0,0
136,Brett Lee,5,5,20,111,5,Mar-15,22.2,5.55,24,0,0
137,Ramesh Powar,9,8,21,132,5,02-Nov,26.4,6.28,25.2,0,0
138,Sudeep Tyagi,8,8,19,136,5,Feb-18,27.2,7.15,22.8,0,0
139,Tirumalasetti Suman,12,5,15,108,5,Feb-14,21.6,7.2,18,0,0
140,Dhawal Kulkarni,8,8,26,206,5,Jan-21,41.2,7.92,31.2,0,0
141,Scott Styris,2,2,8,64,5,Mar-32,12.8,8,9.6,0,0
142,Jacob Oram,11,7,15.3,133,5,02-Dec,26.6,8.58,18.6,0,0
143,Shoaib Ahmed,7,7,17,152,5,Feb-20,30.4,8.94,20.4,0,0
144,Manpreet Gony,7,7,17,172,5,Feb-32,34.4,10.11,20.4,0,0
145,JP Duminy,13,6,17.3,93,4,Feb-15,23.25,5.31,26.25,0,0
146,Murali Kartik,10,10,34,201,4,Feb-28,50.25,5.91,51,0,0
147,Kevin Pietersen,6,4,13,85,4,Feb-31,21.25,6.53,19.5,0,0
148,Abhishek Nayar,13,4,12,84,4,Mar-13,21,7,18,0,0
149,Balachandra Akhil,6,5,11,80,4,Feb-18,20,7.27,16.5,0,0
150,Dillon du Preez,2,2,7,56,4,Mar-32,14,8,10.5,0,0
151,Ashok Dinda,9,8,24,193,4,Jan-24,48.25,8.04,36,0,0
152,Venugopal Rao,16,6,15,122,4,Feb-23,30.5,8.13,22.5,0,0
153,Chaminda Vaas,2,2,8,71,4,Feb-19,17.75,8.87,12,0,0
154,Charl Langeveldt,1,1,4,15,3,Mar-15,5,3.75,8,0,0
155,Johan Botha,3,3,12,74,3,Feb-19,24.66,6.16,24,0,0
156,Jesse Ryder,5,5,17,115,3,Feb-14,38.33,6.76,34,0,0
157,Wilkin Mota,8,5,9,61,3,01-Jun,20.33,6.77,18,0,0
158,Laxmi Ratan Shukla,9,5,14,100,3,Mar-25,33.33,7.14,28,0,0
159,Shane Harwood,3,3,10,73,3,Feb-25,24.33,7.3,20,0,0
160,Ajantha Mendis,4,4,16,117,3,Feb-19,39,7.31,32,0,0
161,Thilan Thushara,2,2,8,60,3,Feb-28,20,7.5,16,0,0
162,Harmeet Singh Bansal,7,7,22.5,192,3,Feb-23,64,8.4,45.66,0,0
163,Ravichandran Ashwin,2,1,4,13,2,Feb-13,6.5,3.25,12,0,0
164,Dale Steyn,3,3,9,62,2,Jan-21,31,6.88,27,0,0
165,Chetanya Nanda,3,3,8,57,2,01-Apr,28.5,7.12,24,0,0
166,KP Appanna,5,5,12,87,2,Jan-24,43.5,7.25,36,0,0
167,Sourav Ganguly,13,6,12,97,2,Feb-24,48.5,8.08,36,0,0
168,Joginder Sharma,4,4,7,57,2,01-Oct,28.5,8.14,21,0,0
169,Vikramjeet Malik,5,5,12,98,2,01-Dec,49,8.16,36,0,0
170,Moises Henriques,4,4,12.1,107,2,Jan-32,53.5,8.79,36.5,0,0
171,Pankaj Singh,3,3,7,65,2,Feb-31,32.5,9.28,21,0,0
172,Anureet Singh,3,2,5,47,2,Feb-35,23.5,9.4,15,0,0
173,Andrew Flintoff,3,3,11,105,2,01-Nov,52.5,9.54,33,0,0
174,Ajinkya Rahane,8,1,1,5,1,01-May,5,5,6,0,0
175,Lee Carseldine,5,1,1,6,1,01-Jun,6,6,6,0,0
176,Tyron Henderson,2,2,6,40,1,Jan-30,40,6.66,36,0,0
177,Graham Napier,1,1,4,27,1,Jan-27,27,6.75,24,0,0
178,Chris Gayle,7,7,18.5,144,1,Jan-21,144,7.64,113,0,0
179,Dwayne Smith,8,8,14,124,1,Jan-25,124,8.85,84,0,0
180,Vikram Singh,5,4,9,82,1,Jan-22,82,9.11,54,0,0
181,Rohan Raje,4,4,6.5,72,1,Jan-25,72,10.53,41,0,0
182,Ravi Bopara,5,2,1.2,5,0,0/1,0,3.75,0,0,0
183,Morne Morkel,2,2,7,40,0,0/20,0,5.71,0,0,0
184,Karan Goel,9,4,8,61,0,0/11,0,7.62,0,0,0
185,Virat Kohli,16,3,6,46,0,0/9,0,7.66,0,0,0
186,David Hussey,4,3,4,34,0,0/6,0,8.5,0,0,0
187,Abhishek Raut,9,4,4,36,0,0/6,0,9,0,0,0
188,Sachin Tendulkar,13,4,6,58,0,0/7,0,9.66,0,0,0
189,Abhimanyu Mithun,1,1,4,42,0,0/42,0,10.5,0,0,0
190,Jaskaran Singh,2,1,3,32,0,0/32,0,10.66,0,0,0
191,Rahil Shaikh,1,1,1,11,0,0/11,0,11,0,0,0
192,Ranadeb Bose,1,1,2,24,0,0/24,0,12,0,0,0
193,Ross Taylor,11,1,1,13,0,0/13,0,13,0,0,0
194,Angelo Mathews,1,1,2.2,31,0,0/31,0,13.28,0,0,0
195,Mashrafe Mortaza,1,1,4,58,0,0/58,0,14.5,0,0,0
196,Pragyan Ojha,16,16,58.5,429,21,Mar-26,20.42,7.29,16.8,0,0
197,Anil Kumble,16,16,63.2,407,17,Apr-16,23.94,6.42,22.35,1,0
198,Amit Mishra,14,14,53,363,17,Mar-25,21.35,6.84,18.7,0,0
199,Harbhajan Singh,15,14,53.3,377,17,Mar-31,22.17,7.04,18.88,0,0
200,Vinay Kumar,14,14,46.1,396,16,Apr-40,24.75,8.57,17.31,1,0
201,Muttiah Muralitharan,12,12,48,329,15,Mar-16,21.93,6.85,19.2,0,0
202,Dale Steyn,15,15,59,406,15,Mar-18,27.06,6.88,23.6,0,0
203,Lasith Malinga,13,13,49,344,15,Apr-22,22.93,7.02,19.6,1,0
204,Kieron Pollard,14,12,37,274,15,Mar-17,18.26,7.4,14.8,0,0
205,Zaheer Khan,14,14,48.2,376,15,Mar-21,25.06,7.77,19.33,0,0
206,Irfan Pathan,14,14,46.2,426,15,Mar-24,28.4,9.19,18.53,0,0
207,Ryan Harris,8,8,30.4,233,14,Mar-18,16.64,7.59,13.14,0,0
208,Ravichandran Ashwin,12,12,48,293,13,Mar-16,22.53,6.1,22.15,0,0
209,Shadab Jakati,11,11,38,291,13,Feb-17,22.38,7.65,17.53,0,0
210,Jacques Kallis,16,16,57,476,13,02-Mar,36.61,8.35,26.3,0,0
211,RP Singh,12,12,42,370,13,Mar-17,28.46,8.8,19.38,0,0
212,Doug Bollinger,8,8,31,207,12,Apr-13,17.25,6.67,15.5,1,0
213,Andrew Symonds,16,16,53,372,12,Mar-21,31,7.01,26.5,0,0
214,Piyush Chawla,14,14,49,367,12,Mar-24,30.58,7.48,24.5,0,0
215,Siddharth Trivedi,11,10,35.3,260,11,Mar-16,23.63,7.32,19.36,0,0
216,Shane Warne,14,14,50,381,11,Apr-21,34.63,7.62,27.27,1,0
217,Albie Morkel,14,14,47.4,405,11,Feb-23,36.81,8.49,26,0,0
218,Praveen Kumar,12,12,45,380,10,Mar-18,38,8.44,27,0,0
219,Shaun Tait,8,8,31.1,264,10,Mar-22,26.4,8.47,18.7,0,0
220,Chaminda Vaas,6,6,22,139,9,Mar-21,15.44,6.31,14.66,0,0
221,Murali Kartik,10,10,39,253,9,Feb-20,28.11,6.48,26,0,0
222,Ashok Dinda,7,7,23.1,152,9,Feb-15,16.88,6.56,15.44,0,0
223,Shane Bond,8,8,31,224,9,Feb-24,24.88,7.22,20.66,0,0
224,Pradeep Sangwan,8,8,31,258,9,Mar-22,28.66,8.32,20.66,0,0
225,Harmeet Singh Bansal,8,8,24,174,8,Feb-24,21.75,7.25,18,0,0
226,Angelo Mathews,14,12,37.3,314,8,Apr-19,39.25,8.37,28.12,1,0
227,MF Maharoof,7,7,24,206,8,Feb-13,25.75,8.58,18,0,0
228,Dirk Nannes,9,9,34.2,224,7,02-Dec,32,6.52,29.42,0,0
229,Dilhara Fernando,5,5,19,138,7,Feb-23,19.71,7.26,16.28,0,0
230,Lakshmipathy Balaji,7,7,23.2,207,7,02-Sep,29.57,8.87,20,0,0
231,Ishant Sharma,7,7,25,236,7,Feb-33,33.71,9.44,21.42,0,0
232,Ashish Nehra,4,4,14,96,6,Mar-26,16,6.85,14,0,0
233,Suresh Raina,16,12,23.5,178,6,1/0,29.66,7.46,23.83,0,0
234,Umesh Yadav,7,7,24,184,6,Feb-24,30.66,7.66,24,0,0
235,Juan Theron,7,7,24,187,6,Feb-17,31.16,7.79,24,0,0
236,Shane Watson,6,6,22,184,6,Mar-37,30.66,8.36,22,0,0
237,Shalabh Srivastava,8,8,27,255,6,Feb-23,42.5,9.44,27,0,0
238,Jaskaran Singh,6,6,14,139,6,Feb-18,23.16,9.92,14,0,0
239,Yuvraj Singh,14,10,23,152,5,Feb-21,30.4,6.6,27.6,0,0
240,Paul Collingwood,8,6,14.5,101,5,Feb-19,20.2,6.8,17.8,0,0
241,Thilan Thushara,4,4,14.3,101,5,Feb-16,20.2,6.96,17.4,0,0
242,Yusuf Pathan,14,11,34,246,5,02-Sep,49.2,7.23,40.8,0,0
243,Charl Langeveldt,3,3,11,88,5,Feb-26,17.6,8,13.2,0,0
244,Rahul Sharma,6,6,20.4,167,5,Feb-42,33.4,8.08,24.8,0,0
245,Ravi Bopara,10,5,13,127,5,Mar-31,25.4,9.76,15.6,0,0
246,Andrew McDonald,4,4,14,138,5,Feb-37,27.6,9.85,16.8,0,0
247,Aditya Dole,3,3,11,112,5,Feb-36,22.4,10.18,13.2,0,0
248,Sumit Narwal,5,5,15.4,185,5,Mar-36,37,11.8,18.8,0,0
249,Ryan McLaren,10,10,34,270,4,Feb-28,67.5,7.94,51,0,0
250,Dimitri Mascarenhas,2,2,8,65,4,Feb-31,16.25,8.12,12,0,0
251,Jaydev Unadkat,3,3,10.2,85,4,Mar-26,21.25,8.22,15.5,0,0
252,Dwayne Bravo,10,10,26.1,228,4,02-Nov,57,8.71,39.25,0,0
253,Ajit Agarkar,7,7,22,203,4,Feb-32,50.75,9.22,33,0,0
254,Chris Gayle,9,6,16,152,4,01-Sep,38,9.5,24,0,0
255,Sarabjit Ladda,5,5,15,143,4,Feb-44,35.75,9.53,22.5,0,0
256,Virender Sehwag,14,3,5.4,23,3,Feb-18,7.66,4.05,11.33,0,0
257,Ramesh Powar,7,7,23,160,3,Feb-28,53.33,6.95,46,0,0
258,JM Kemp,5,5,7.2,54,3,03-Dec,18,7.36,14.66,0,0
259,Ali Murtaza,3,3,12,91,3,Feb-18,30.33,7.58,24,0,0
260,Kevin Pietersen,7,6,10,77,3,01-Oct,25.66,7.7,20,0,0
261,Rajat Bhatia,5,5,16,132,3,Jan-24,44,8.25,32,0,0
262,Tillakaratne Dilshan,6,4,8.1,70,3,01-Jul,23.33,8.57,16.33,0,0
263,Kamran Khan,3,3,6,53,3,Feb-13,17.66,8.83,12,0,0
264,Laxmi Ratan Shukla,4,4,12,106,3,Jan-30,35.33,8.83,24,0,0
265,Love Ablish,2,2,4,36,3,Feb-17,12,9,8,0,0
266,Munaf Patel,4,4,13,118,3,Jan-20,39.33,9.07,26,0,0
267,Bipul Sharma,5,4,10,94,3,Jan-19,31.33,9.4,20,0,0
268,Shanthakumaran Sreesanth,6,6,19,191,3,Feb-24,63.66,10.05,38,0,0
269,Roelof van der Merwe,1,1,4,27,2,Feb-27,13.5,6.75,12,0,0
270,Sanath Jayasuriya,4,4,9,68,2,Feb-17,34,7.55,27,0,0
271,Rohit Sharma,16,9,19,153,2,Jan-19,76.5,8.05,57,0,0
272,Brad Hodge,4,4,5,41,2,01-Apr,20.5,8.2,15,0,0
273,Ajantha Mendis,2,2,8,66,2,Feb-22,33,8.25,24,0,0
274,Daniel Vettori,3,3,11.4,97,2,Jan-30,48.5,8.31,35,0,0
275,Mitchell Marsh,3,3,10,88,2,Jan-19,44,8.8,30,0,0
276,Pankaj Singh,2,2,8,81,2,Feb-27,40.5,10.12,24,0,0
277,Rajagopal Sathish,12,4,8,81,2,01-Nov,40.5,10.12,24,0,0
278,Amit Uniyal,2,2,6,66,2,Feb-41,33,11,18,0,0
279,Joginder Sharma,3,3,8,89,2,Jan-23,44.5,11.12,24,0,0
280,Nayan Doshi,1,1,4,17,1,Jan-17,17,4.25,24,0,0
281,JP Duminy,7,2,5.3,37,1,Jan-15,37,6.72,33,0,0
282,Iqbal Abdulla,3,3,8.3,61,1,Jan-28,61,7.17,51,0,0
283,KP Appanna,2,2,7,51,1,Jan-24,51,7.28,42,0,0
284,Yo Mahesh,1,1,3,23,1,Jan-23,23,7.66,18,0,0
285,Vikramjeet Malik,3,3,7.1,62,1,Jan-23,62,8.65,43,0,0
286,Moises Henriques,1,1,4,35,1,Jan-35,35,8.75,24,0,0
287,Dwayne Smith,3,2,3.5,36,1,Jan-22,36,9.39,23,0,0
288,Yusuf Abdulla,2,2,6.5,66,1,Jan-30,66,9.65,41,0,0
289,Dhawal Kulkarni,1,1,4,40,1,Jan-40,40,10,24,0,0
290,Sudeep Tyagi,6,6,15.5,159,1,Jan-20,159,10.04,95,0,0
291,Manoj Tiwary,13,1,1,11,1,01-Nov,11,11,6,0,0
292,Manpreet Gony,3,3,8,92,1,Jan-33,92,11.5,48,0,0
293,Abhimanyu Mithun,1,1,3,39,1,Jan-39,39,13,18,0,0
294,Shrikant Wagh,1,1,1,16,1,Jan-16,16,16,6,0,0
295,Aaron Finch,1,1,1.1,5,0,0/5,0,4.28,0,0,0
296,Balachandra Akhil,1,1,1,6,0,0/6,0,6,0,0,0
297,Karan Goel,6,1,1,7,0,0/7,0,7,0,0,0
298,David Hussey,6,5,10,80,0,0/7,0,8,0,0,0
299,Rohan Gavaskar,2,1,1,8,0,0/8,0,8,0,0,0
300,Adam Voges,9,7,9,76,0,0/5,0,8.44,0,0,0
301,Stuart Binny,1,1,1,9,0,0/9,0,9,0,0,0
302,Virat Kohli,16,4,5.2,50,0,0/1,0,9.37,0,0,0
303,Morne Morkel,2,2,7,66,0,0/32,0,9.42,0,0,0
304,Kemar Roach,2,2,8,80,0,0/32,0,10,0,0,0
305,Faiz Fazal,10,2,2,20,0,0/6,0,10,0,0,0
306,Venugopal Rao,6,1,1,10,0,0/10,0,10,0,0,0
307,Brett Lee,4,4,14.3,149,0,0/24,0,10.27,0,0,0
308,Sourav Ganguly,14,3,4,43,0,0/12,0,10.75,0,0,0
309,Abhishek Jhunjhunwala,13,5,6.1,69,0,0/2,0,11.18,0,0,0
310,Sridharan Sriram,1,1,2,24,0,0/24,0,12,0,0,0
311,Tirumalasetti Suman,14,2,2,24,0,0/8,0,12,0,0,0
312,Chandrasekar Ganapathy,1,1,1,13,0,0/13,0,13,0,0,0
313,Thisara Perera,1,1,1,19,0,0/19,0,19,0,0,0
314,Cameron White,7,1,1,19,0,0/19,0,19,0,0,0
315,Lasith Malinga,16,16,63,375,28,May-13,13.39,5.95,13.5,0,1
316,Munaf Patel,15,15,54.2,358,22,May-21,16.27,6.58,14.81,0,1
317,Sreenath Aravind,13,13,46,368,21,Apr-14,17.52,8,13.14,1,0
318,Ravichandran Ashwin,16,16,63,388,20,Mar-16,19.4,6.15,18.9,0,0
319,Amit Mishra,14,14,53.2,358,19,04-Sep,18.84,6.71,16.84,1,0
320,Doug Bollinger,13,13,47,329,17,Mar-21,19.35,7,16.58,0,0
321,Rahul Sharma,14,14,50,273,16,Mar-13,17.06,5.46,18.75,0,0
322,Iqbal Abdulla,15,15,50,305,16,Mar-24,19.06,6.1,18.75,0,0
323,Ryan Harris,13,13,47,382,16,Mar-28,23.87,8.12,17.62,0,0
324,Piyush Chawla,12,12,41.2,336,16,Apr-17,21,8.12,15.5,1,0
325,Albie Morkel,15,14,45,382,15,Mar-29,25.46,8.48,18,0,0
326,Dale Steyn,12,12,45.3,299,14,Mar-16,21.35,6.57,19.5,0,0
327,Harbhajan Singh,15,15,53,370,14,May-18,26.42,6.98,22.71,0,1
328,Zaheer Khan,15,15,59,455,14,Mar-32,32.5,7.71,25.28,0,0
329,Yusuf Pathan,15,14,39,238,13,Mar-20,18.3,6.1,18,0,0
330,Shane Warne,13,12,47,297,13,Mar-16,22.84,6.31,21.69,0,0
331,RP Singh,14,14,50,345,13,Apr-25,26.53,6.9,23.07,1,0
332,Morne Morkel,11,11,43,325,13,Mar-18,25,7.55,19.84,0,0
333,Daniel Vettori,13,13,51.4,311,12,Mar-19,25.91,6.01,25.83,0,0
334,Vinay Kumar,13,13,44.4,335,12,Mar-25,27.91,7.5,22.33,0,0
