,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
977,Shahbaz Nadeem,4,4,15,127,2,Feb-23,63.5,8.46,45,0,0
978,Shadab Jakati,6,6,20,178,2,Jan-13,89,8.9,60,0,0
979,Varun Aaron,8,8,23.4,227,2,Feb-37,113.5,9.59,71,0,0
980,Mitchell Johnson,3,3,11,106,2,Jan-35,53,9.63,33,0,0
981,James Faulkner,7,7,17,167,2,Jan-23,83.5,9.82,51,0,0
982,Kyle Abbott,5,5,16,177,2,Jan-38,88.5,11.06,48,0,0
983,Albie Morkel,2,2,5,66,2,Feb-36,33,13.2,15,0,0
984,Yusuf Pathan,15,4,6,33,1,01-Jun,33,5.5,36,0,0
985,Ankit Sharma,3,3,11,84,1,Jan-27,84,7.63,66,0,0
986,Stuart Binny,14,11,17,134,1,Jan-17,134,7.88,102,0,0
987,Parveez Rasool,4,4,14,129,1,Jan-31,129,9.21,84,0,0
988,Pawan Negi,8,5,9,84,1,Jan-19,84,9.33,54,0,0
989,Trent Boult,1,1,4,39,1,Jan-39,39,9.75,24,0,0
990,Rajagopal Sathish,4,3,6,59,1,Jan-20,59,9.83,36,0,0
991,Ashish Reddy,4,2,3.5,39,1,Jan-14,39,10.17,23,0,0
992,Harshal Patel,5,5,14,147,1,Jan-46,147,10.5,84,0,0
993,Adam Milne,1,1,4,43,1,Jan-43,43,10.75,24,0,0
994,Nitish Rana,4,1,1,3,0,0/3,0,3,0,0,0
995,Shreyas Gopal,1,1,3,18,0,0/18,0,6,0,0,0
996,Kane Williamson,6,1,1,7,0,0/7,0,7,0,0,0
997,Anureet Singh,2,2,6,43,0,0/15,0,7.16,0,0,0
998,Colin Munro,4,2,2,15,0,0/7,0,7.5,0,0,0
999,Irfan Pathan,4,3,8,61,0,0/7,0,7.62,0,0,0
1000,Murali Vijay,14,1,1,8,0,0/8,0,8,0,0,0
1001,Deepak Chahar,2,2,5,41,0,0/13,0,8.2,0,0,0
1002,Suresh Raina,15,4,10,82,0,0/15,0,8.2,0,0,0
1003,Yuvraj Singh,10,5,6.1,52,0,0/7,0,8.43,0,0,0
1004,Dale Steyn,1,1,2,17,0,0/17,0,8.5,0,0,0
1005,Glenn Maxwell,11,7,9,80,0,0/3,0,8.88,0,0,0
1006,Swapnil Singh,1,1,3,29,0,0/29,0,9.66,0,0,0
1007,Karn Sharma,5,5,16.2,171,0,0/24,0,10.46,0,0,0
1008,Sarabjit Ladda,1,1,2,21,0,0/21,0,10.5,0,0,0
1009,David Wiese,1,1,4,49,0,0/49,0,12.25,0,0,0
1010,Pradeep Sangwan,2,2,4,49,0,0/21,0,12.25,0,0,0
1011,Virat Kohli,16,1,1,13,0,0/13,0,13,0,0,0
1012,Kieron Pollard,13,4,6,81,0,0/11,0,13.5,0,0,0
1013,Jagadeesha Suchith,1,1,2,31,0,0/31,0,15.5,0,0,0
