,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1791,Mohammad Nabi,4,24,1,9,6,24,MI,Wankhede Stadium,02-May-19
1792,Ishant Sharma,4,24,1,10,6,24,CSK,ACA-VDCA Stadium,10-May-19
1793,Nitish Rana,2,12,1,2,6,12,DC,Eden Gardens,12-Apr-19
1794,Krunal Pandya,2,12,0,6,6,0,CSK,Wankhede Stadium,03-Apr-19
1795,Ravindra Jadeja,4,24,0,7,6,0,PBKS,Chidambaram,06-Apr-19
1796,Ravindra Jadeja,2,12,0,3,6,0,MI,Rajiv Gandhi Intl. Cricket Stadium,12-May-19
1797,Mitchell McClenaghan,4,24,0,12,6,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,12-May-19
1798,Navdeep Saini,4,24,0,16,6,0,CSK,Chidambaram,23-Mar-19
1799,Dwayne Bravo,3,18,0,6,6,0,DC,Chidambaram,01-May-19
1800,Rashid Khan,4,7,3,17,1.75,8,DC,Dubai International Stadium,27-Oct-20
1801,Mohammed Siraj,4,8,3,16,2,8,KKR,Zayed Cricket Stadium,21-Oct-20
1802,T Natarajan,4,11,1,16,2.75,24,RCB,Sharjah Cricket Stadium,31-Oct-20
1803,Rashid Khan,4,12,3,13,3,8,PBKS,Dubai International Stadium,08-Oct-20
1804,Adam Zampa,4,12,1,14,3,24,SRH,Zayed Cricket Stadium,06-Nov-20
1805,Washington Sundar,4,12,1,13,3,24,MI,Dubai International Stadium,28-Sep-20
1806,Yuzvendra Chahal,4,12,1,13,3,24,KKR,Sharjah Cricket Stadium,12-Oct-20
1807,Rashid Khan,4,12,0,16,3,0,CSK,Dubai International Stadium,02-Oct-20
1808,Ravi Bishnoi,4,13,1,14,3.25,24,SRH,Dubai International Stadium,24-Oct-20
1809,Deepak Chahar,3,10,1,10,3.33,18,RCB,Dubai International Stadium,10-Oct-20
1810,Jasprit Bumrah,4,14,4,17,3.5,6,DC,Dubai International Stadium,05-Nov-20
1811,Rashid Khan,4,14,3,13,3.5,8,DC,Zayed Cricket Stadium,29-Sep-20
1812,Jasprit Bumrah,4,14,3,15,3.5,8,RCB,Zayed Cricket Stadium,28-Oct-20
1813,Rashid Khan,4,14,2,15,3.5,12,PBKS,Dubai International Stadium,24-Oct-20
1814,Axar Patel,4,14,1,11,3.5,24,PBKS,Dubai International Stadium,20-Sep-20
1815,Shreyas Gopal,4,14,1,12,3.5,24,CSK,Zayed Cricket Stadium,19-Oct-20
1816,Washington Sundar,4,14,1,14,3.5,24,KKR,Zayed Cricket Stadium,21-Oct-20
1817,Ravindra Jadeja,2,7,0,6,3.5,0,RCB,Dubai International Stadium,10-Oct-20
1818,Mohammad Shami,4,15,3,15,3.75,8,DC,Dubai International Stadium,20-Sep-20
1819,Lockie Ferguson,4,15,3,13,3.75,8,SRH,Zayed Cricket Stadium,18-Oct-20
1820,Yuzvendra Chahal,4,15,2,13,3.75,12,KKR,Zayed Cricket Stadium,21-Oct-20
1821,Shivam Mavi,4,15,2,14,3.75,12,RR,Dubai International Stadium,01-Nov-20
1822,Axar Patel,2,8,1,6,4,12,RR,Sharjah Cricket Stadium,09-Oct-20
1823,Chris Morris,4,16,0,15,4,0,KKR,Zayed Cricket Stadium,21-Oct-20
1824,Axar Patel,4,16,0,11,4,0,MI,Dubai International Stadium,10-Nov-20
1825,Chris Jordan,4,17,3,12,4.25,8,SRH,Dubai International Stadium,24-Oct-20
1826,Pat Cummins,4,17,3,16,4.25,8,DC,Zayed Cricket Stadium,24-Oct-20
1827,Jasprit Bumrah,4,17,3,15,4.25,8,DC,Dubai International Stadium,31-Oct-20
1828,Chris Morris,4,17,2,10,4.25,12,KKR,Sharjah Cricket Stadium,12-Oct-20
1829,Lockie Ferguson,4,17,1,14,4.25,24,RCB,Zayed Cricket Stadium,21-Oct-20
1830,Ravichandran Ashwin,4,17,1,10,4.25,24,RR,Dubai International Stadium,14-Oct-20
1831,Murugan Ashwin,4,17,0,8,4.25,0,CSK,Zayed Cricket Stadium,01-Nov-20
1832,Pat Cummins,3,13,1,12,4.33,18,RR,Dubai International Stadium,30-Sep-20
1833,Krunal Pandya,3,13,0,9,4.33,0,DC,Dubai International Stadium,31-Oct-20
1834,Trent Boult,4,18,4,17,4.5,6,CSK,Sharjah Cricket Stadium,23-Oct-20
1835,Yuzvendra Chahal,4,18,3,11,4.5,8,SRH,Dubai International Stadium,21-Sep-20
1836,Rahul Chahar,4,18,2,13,4.5,12,KKR,Zayed Cricket Stadium,16-Oct-20
1837,Jofra Archer,4,18,2,14,4.5,12,KKR,Dubai International Stadium,30-Sep-20
1838,Axar Patel,4,18,2,10,4.5,12,RCB,Dubai International Stadium,05-Oct-20
1839,Deepak Chahar,4,18,2,10,4.5,12,DC,Sharjah Cricket Stadium,17-Oct-20
1840,Jasprit Bumrah,4,18,2,13,4.5,12,PBKS,Zayed Cricket Stadium,01-Oct-20
1841,Deepak Chahar,4,18,2,17,4.5,12,RR,Zayed Cricket Stadium,19-Oct-20
1842,Trent Boult,2,9,2,9,4.5,6,DC,Dubai International Stadium,05-Nov-20
1843,Axar Patel,4,18,1,10,4.5,24,CSK,Dubai International Stadium,25-Sep-20
1844,Ravichandran Ashwin,4,18,1,10,4.5,24,RCB,Zayed Cricket Stadium,02-Nov-20
1845,Jofra Archer,4,18,1,15,4.5,24,RCB,Zayed Cricket Stadium,03-Oct-20
1846,Rahul Tewatia,4,18,1,11,4.5,24,CSK,Zayed Cricket Stadium,19-Oct-20
1847,Navdeep Saini,4,18,0,16,4.5,0,CSK,Dubai International Stadium,10-Oct-20
1848,Ravichandran Ashwin,4,18,0,11,4.5,0,MI,Dubai International Stadium,31-Oct-20
1849,Mohammad Shami,3,14,1,10,4.66,18,RCB,Dubai International Stadium,24-Sep-20
1850,Jofra Archer,4,19,3,14,4.75,8,DC,Dubai International Stadium,14-Oct-20
1851,Chris Morris,4,19,3,14,4.75,8,CSK,Dubai International Stadium,10-Oct-20
1852,Sandeep Sharma,4,19,2,13,4.75,12,CSK,Dubai International Stadium,13-Oct-20
1853,Shahbaz Nadeem,4,19,2,11,4.75,12,MI,Sharjah Cricket Stadium,03-Nov-20
1854,Jofra Archer,4,19,1,15,4.75,24,KKR,Dubai International Stadium,01-Nov-20
1855,Josh Hazlewood,4,19,1,14,4.75,24,RR,Zayed Cricket Stadium,19-Oct-20
1856,Pat Cummins,4,19,1,11,4.75,24,SRH,Zayed Cricket Stadium,26-Sep-20
1857,Varun Chakaravarthy,4,20,5,9,5,4.8,DC,Zayed Cricket Stadium,24-Oct-20
1858,Jasprit Bumrah,4,20,4,14,5,6,RR,Zayed Cricket Stadium,06-Oct-20
1859,Sandeep Sharma,4,20,2,9,5,12,RCB,Sharjah Cricket Stadium,31-Oct-20
1860,Shivam Dube,3,15,2,7,5,9,SRH,Dubai International Stadium,21-Sep-20
1861,Washington Sundar,4,20,2,8,5,12,KKR,Sharjah Cricket Stadium,12-Oct-20
1862,Shivam Mavi,4,20,2,13,5,12,RR,Dubai International Stadium,30-Sep-20
1863,Varun Chakaravarthy,4,20,2,13,5,12,CSK,Dubai International Stadium,29-Oct-20
1864,Varun Chakaravarthy,4,20,2,9,5,12,RR,Dubai International Stadium,01-Nov-20
1865,Ravi Bishnoi,4,20,2,11,5,12,KKR,Sharjah Cricket Stadium,26-Oct-20
1866,Shardul Thakur,2,10,1,4,5,12,SRH,Dubai International Stadium,13-Oct-20
1867,Glenn Maxwell,2,10,1,5,5,12,RCB,Dubai International Stadium,24-Sep-20
1868,Jofra Archer,4,20,1,11,5,24,CSK,Zayed Cricket Stadium,19-Oct-20
1869,Vijay Shankar,3,15,1,8,5,18,RR,Dubai International Stadium,22-Oct-20
1870,Rahul Tewatia,4,20,1,11,5,24,DC,Sharjah Cricket Stadium,09-Oct-20
1871,Vijay Shankar,4,20,1,13,5,24,KKR,Zayed Cricket Stadium,18-Oct-20
1872,Rashid Khan,4,20,1,9,5,24,RR,Dubai International Stadium,22-Oct-20
1873,Sheldon Cottrell,4,20,1,14,5,24,MI,Zayed Cricket Stadium,01-Oct-20
1874,Washington Sundar,4,20,0,9,5,0,DC,Dubai International Stadium,05-Oct-20
1875,Washington Sundar,4,20,0,8,5,0,RR,Zayed Cricket Stadium,03-Oct-20
1876,Washington Sundar,4,20,0,10,5,0,MI,Zayed Cricket Stadium,28-Oct-20
1877,Trent Boult,4,21,3,16,5.25,8,DC,Dubai International Stadium,31-Oct-20
1878,Kagiso Rabada,4,21,2,11,5.25,12,SRH,Zayed Cricket Stadium,29-Sep-20
1879,Jofra Archer,4,21,2,16,5.25,12,SRH,Dubai International Stadium,22-Oct-20
1880,Anrich Nortje,4,21,2,12,5.25,12,CSK,Dubai International Stadium,25-Sep-20
1881,Piyush Chawla,4,21,1,11,5.25,24,MI,Zayed Cricket Stadium,19-Sep-20
1882,Yuzvendra Chahal,4,21,1,7,5.25,24,CSK,Dubai International Stadium,25-Oct-20
1883,Sandeep Sharma,4,21,0,9,5.25,0,RCB,Zayed Cricket Stadium,06-Nov-20
1884,Navdeep Saini,4,21,0,14,5.25,0,PBKS,Sharjah Cricket Stadium,15-Oct-20
1885,Washington Sundar,3,16,2,7,5.33,9,CSK,Dubai International Stadium,10-Oct-20
