,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
0,Mohammad Hafeez,4,8,1,14,2,24,DEC,Eden Gardens,20-Apr-08
1,Ishant Sharma,4,9,2,14,2.25,12,RCB,M. Chinnaswamy Stadium,18-Apr-08
2,Brett Lee,4,9,1,17,2.25,24,MI,IS Bindra Stadium,25-Apr-08
3,Shaun Pollock,4,9,1,17,2.25,24,CSK,Wankhede Stadium,14-May-08
4,Dominic Thornely,3,7,2,12,2.33,9,KKR,Wankhede Stadium,16-May-08
5,Sourav Ganguly,3,7,1,10,2.33,18,RCB,Eden Gardens,08-May-08
6,Sohail Tanvir,4,10,3,18,2.5,8,RCB,Sawai Mansingh Stadium,17-May-08
7,Irfan Pathan,4,10,1,17,2.5,24,RR,IS Bindra Stadium,28-May-08
8,Siddharth Trivedi,3,8,1,10,2.66,18,DEC,Sawai Mansingh Stadium,09-May-08
9,Manpreet Gony,4,11,2,13,2.75,12,RCB,Chidambaram,21-May-08
10,MF Maharoof,4,11,2,10,2.75,12,RR,Arun Jaitley Stadium,19-Apr-08
11,Shaun Pollock,4,12,3,17,3,8,KKR,Wankhede Stadium,16-May-08
12,Chaminda Vaas,3,9,2,11,3,9,KKR,Eden Gardens,20-Apr-08
13,Ishant Sharma,3,9,1,12,3,18,DEC,Eden Gardens,20-Apr-08
14,Ashok Dinda,4,12,1,15,3,24,MI,Eden Gardens,29-Apr-08
15,Yusuf Pathan,3,9,0,10,3,0,MI,Sawai Mansingh Stadium,26-May-08
16,Muttiah Muralitharan,4,12,0,14,3,0,KKR,Chidambaram,26-Apr-08
17,Glenn McGrath,4,12,0,16,3,0,RR,Sawai Mansingh Stadium,11-May-08
18,Shane Watson,2,6,0,7,3,0,RCB,Sawai Mansingh Stadium,17-May-08
19,MF Maharoof,4,13,2,11,3.25,12,RCB,M. Chinnaswamy Stadium,19-May-08
20,Shane Watson,3,10,3,12,3.33,6,DC,Wankhede Stadium,30-May-08
21,Sohail Tanvir,4,14,6,16,3.5,4,CSK,Sawai Mansingh Stadium,04-May-08
22,Sohail Tanvir,4,14,4,15,3.5,6,MI,Sawai Mansingh Stadium,26-May-08
23,Sanath Jayasuriya,4,14,3,14,3.5,8,KKR,Eden Gardens,29-Apr-08
24,Anil Kumble,4,14,3,13,3.5,8,CSK,Chidambaram,21-May-08
25,Manpreet Gony,4,14,2,16,3.5,12,PBKS,Wankhede Stadium,31-May-08
26,Ashok Dinda,2,7,1,7,3.5,12,RCB,M. Chinnaswamy Stadium,18-Apr-08
27,Dale Steyn,4,14,1,17,3.5,24,MI,M. Chinnaswamy Stadium,28-May-08
28,Shoaib Akhtar,3,11,4,12,3.66,4.5,DC,Eden Gardens,13-May-08
29,Glenn McGrath,4,15,2,16,3.75,12,RCB,M. Chinnaswamy Stadium,19-May-08
30,RP Singh,4,15,2,14,3.75,12,MI,DY Patil Stadium,27-Apr-08
31,Vikram Singh,4,15,1,10,3.75,24,RCB,IS Bindra Stadium,12-May-08
32,Jacques Kallis,4,15,0,13,3.75,0,CSK,Chidambaram,21-May-08
33,Irfan Pathan,3.2,13,1,14,3.9,20,RCB,M. Chinnaswamy Stadium,05-May-08
34,Shanthakumaran Sreesanth,4,16,2,17,4,12,RCB,M. Chinnaswamy Stadium,05-May-08
35,Munaf Patel,4,16,2,12,4,12,CSK,Sawai Mansingh Stadium,04-May-08
36,Piyush Chawla,4,16,2,15,4,12,MI,IS Bindra Stadium,25-Apr-08
37,RP Singh,3,12,2,10,4,9,CSK,Chidambaram,06-May-08
38,Shaun Pollock,4,16,2,15,4,12,DC,DY Patil Stadium,04-May-08
39,Dale Steyn,4,16,0,14,4,0,PBKS,M. Chinnaswamy Stadium,05-May-08
40,Sanath Jayasuriya,2,8,0,5,4,0,RR,Sawai Mansingh Stadium,26-May-08
41,Sohail Tanvir,3.1,13,0,13,4.1,0,MI,DY Patil Stadium,07-May-08
42,Amit Mishra,4,17,5,11,4.25,4.8,DEC,Arun Jaitley Stadium,15-May-08
43,Munaf Patel,4,17,3,16,4.25,8,DC,Wankhede Stadium,30-May-08
44,Zaheer Khan,4,17,2,13,4.25,12,MI,Wankhede Stadium,20-Apr-08
45,Rajat Bhatia,4,17,2,12,4.25,12,RR,Arun Jaitley Stadium,19-Apr-08
46,Shaun Pollock,4,17,0,10,4.25,0,RCB,Wankhede Stadium,20-Apr-08
47,Manpreet Gony,4,17,0,13,4.25,0,KKR,Eden Gardens,18-May-08
48,Ashish Nehra,3,13,3,12,4.33,6,RR,DY Patil Stadium,07-May-08
49,Dwayne Bravo,3,13,2,12,4.33,9,KKR,Wankhede Stadium,16-May-08
50,Amit Mishra,3,13,0,7,4.33,0,KKR,Eden Gardens,13-May-08
51,Dilhara Fernando,4,18,4,16,4.5,6,RCB,M. Chinnaswamy Stadium,28-May-08
52,Pragyan Ojha,4,18,2,11,4.5,12,KKR,Eden Gardens,20-Apr-08
53,Anil Kumble,4,18,2,12,4.5,12,DC,M. Chinnaswamy Stadium,19-May-08
54,Irfan Pathan,4,18,2,15,4.5,12,KKR,IS Bindra Stadium,03-May-08
55,Manpreet Gony,4,18,1,14,4.5,24,MI,Chidambaram,23-Apr-08
56,Yusuf Pathan,2,9,0,6,4.5,0,CSK,Sawai Mansingh Stadium,04-May-08
57,Lakshmipathy Balaji,2,9,0,9,4.5,0,MI,Wankhede Stadium,14-May-08
58,Murali Kartik,3.4,17,3,14,4.63,7.33,DEC,Eden Gardens,20-Apr-08
59,Shaun Pollock,3,14,1,10,4.66,18,PBKS,Wankhede Stadium,21-May-08
60,Jacques Kallis,3,14,0,5,4.66,0,PBKS,M. Chinnaswamy Stadium,05-May-08
61,Shane Warne,4,19,3,11,4.75,8,PBKS,Sawai Mansingh Stadium,21-Apr-08
62,Dale Steyn,4,19,2,12,4.75,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,25-May-08
63,Mohammad Asif,4,19,2,16,4.75,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-08
64,Irfan Pathan,4,19,2,15,4.75,12,MI,IS Bindra Stadium,25-Apr-08
65,Daniel Vettori,4,19,1,8,4.75,24,RCB,Arun Jaitley Stadium,30-Apr-08
66,Muttiah Muralitharan,4,19,1,12,4.75,24,PBKS,Wankhede Stadium,31-May-08
67,Shane Watson,4,19,1,17,4.75,24,CSK,Sawai Mansingh Stadium,04-May-08
68,Muttiah Muralitharan,4,19,1,11,4.75,24,RCB,Chidambaram,21-May-08
69,Scott Styris,4,19,0,14,4.75,0,KKR,Eden Gardens,20-Apr-08
70,Shane Warne,4,20,2,9,5,12,DEC,Sawai Mansingh Stadium,09-May-08
71,Shane Watson,4,20,2,15,5,12,RCB,M. Chinnaswamy Stadium,26-Apr-08
72,Muttiah Muralitharan,4,20,1,13,5,24,RR,Sawai Mansingh Stadium,04-May-08
73,Manpreet Gony,3,15,1,9,5,18,DEC,Chidambaram,06-May-08
74,RP Singh,3,15,1,9,5,18,KKR,Eden Gardens,20-Apr-08
75,Ramesh Powar,4,20,1,12,5,24,DEC,IS Bindra Stadium,23-May-08
76,RP Singh,3,15,0,9,5,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,25-May-08
77,Ashok Dinda,2,10,0,5,5,0,CSK,Eden Gardens,18-May-08
78,Dhawal Kulkarni,3,15,0,7,5,0,KKR,Eden Gardens,29-Apr-08
79,Shahid Afridi,2,10,0,5,5,0,RR,Sawai Mansingh Stadium,09-May-08
80,Vinay Kumar,3,15,0,8,5,0,KKR,Eden Gardens,08-May-08
81,Dale Steyn,4,20,0,13,5,0,DEC,M. Chinnaswamy Stadium,03-May-08
82,Sunil Joshi,2,10,0,5,5,0,MI,Wankhede Stadium,20-Apr-08
83,Dwayne Bravo,2.2,12,2,6,5.14,7,RR,DY Patil Stadium,07-May-08
84,Makhaya Ntini,4,21,4,14,5.25,6,KKR,Eden Gardens,18-May-08
85,Shane Watson,4,21,2,11,5.25,12,DC,Sawai Mansingh Stadium,11-May-08
86,Shane Warne,4,21,2,11,5.25,12,DC,Wankhede Stadium,30-May-08
87,Munaf Patel,4,21,2,12,5.25,12,RCB,Sawai Mansingh Stadium,17-May-08
88,Sourav Ganguly,4,21,2,11,5.25,12,RCB,M. Chinnaswamy Stadium,18-Apr-08
89,Glenn McGrath,4,21,1,11,5.25,24,CSK,Chidambaram,02-May-08
90,Irfan Pathan,4,21,1,11,5.25,24,RR,Sawai Mansingh Stadium,21-Apr-08
91,Glenn McGrath,4,21,1,16,5.25,24,RR,Arun Jaitley Stadium,19-Apr-08
92,Pradeep Sangwan,4,21,1,9,5.25,24,MI,DY Patil Stadium,04-May-08
93,Manpreet Gony,4,21,1,12,5.25,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,27-May-08
94,Makhaya Ntini,4,21,0,11,5.25,0,RR,DY Patil Stadium,01-Jun-08
95,Scott Styris,3,16,0,6,5.33,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,27-May-08
96,Yusuf Pathan,4,22,3,10,5.5,8,CSK,DY Patil Stadium,01-Jun-08
97,Praveen Kumar,4,22,2,13,5.5,12,PBKS,M. Chinnaswamy Stadium,05-May-08
98,Munaf Patel,4,22,2,14,5.5,12,KKR,Eden Gardens,20-May-08
99,Vinay Kumar,2,11,1,6,5.5,12,PBKS,IS Bindra Stadium,12-May-08
100,Muttiah Muralitharan,4,22,1,8,5.5,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,27-May-08
101,Pragyan Ojha,4,22,1,10,5.5,24,CSK,Chidambaram,06-May-08
102,MF Maharoof,4,22,1,13,5.5,24,RR,Sawai Mansingh Stadium,11-May-08
103,Piyush Chawla,4,22,1,13,5.5,24,MI,Wankhede Stadium,21-May-08
104,Yuvraj Singh,2,11,1,5,5.5,12,DC,IS Bindra Stadium,27-Apr-08
105,Glenn McGrath,4,22,0,15,5.5,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-08
106,Anil Kumble,4,22,0,10,5.5,0,RR,M. Chinnaswamy Stadium,26-Apr-08
107,Glenn McGrath,4,22,0,8,5.5,0,KKR,Eden Gardens,13-May-08
108,Praveen Kumar,2.4,15,0,6,5.62,0,PBKS,IS Bindra Stadium,12-May-08
109,Balachandra Akhil,3,17,2,6,5.66,9,MI,Wankhede Stadium,20-Apr-08
110,Paidikalva Vijaykumar,3,17,1,11,5.66,18,CSK,Chidambaram,06-May-08
111,Makhaya Ntini,3,17,0,9,5.66,0,RR,Sawai Mansingh Stadium,04-May-08
112,Ashish Nehra,3,17,0,11,5.66,0,KKR,Wankhede Stadium,16-May-08
113,Umar Gul,4,23,4,13,5.75,6,PBKS,Eden Gardens,25-May-08
114,Shane Warne,4,23,3,9,5.75,8,RCB,Sawai Mansingh Stadium,17-May-08
115,Praveen Kumar,4,23,3,11,5.75,8,DEC,M. Chinnaswamy Stadium,03-May-08
116,Shahid Afridi,4,23,2,9,5.75,12,MI,Rajiv Gandhi Intl. Cricket Stadium,18-May-08
117,Makhaya Ntini,4,23,2,14,5.75,12,PBKS,Wankhede Stadium,31-May-08
118,Shane Warne,4,23,1,14,5.75,24,RCB,M. Chinnaswamy Stadium,26-Apr-08
119,Ajit Agarkar,4,23,1,13,5.75,24,MI,Eden Gardens,29-Apr-08
120,Shahid Afridi,4,23,1,6,5.75,24,RCB,M. Chinnaswamy Stadium,03-May-08
121,Yo Mahesh,4,23,1,9,5.75,24,PBKS,IS Bindra Stadium,27-Apr-08
122,Irfan Pathan,4,23,1,9,5.75,24,RCB,IS Bindra Stadium,12-May-08
123,Glenn McGrath,4,23,0,8,5.75,0,CSK,Arun Jaitley Stadium,08-May-08
124,Pragyan Ojha,4,23,0,8,5.75,0,MI,Rajiv Gandhi Intl. Cricket Stadium,18-May-08
125,Shaun Pollock,4,23,0,9,5.75,0,RCB,M. Chinnaswamy Stadium,28-May-08
126,Sourav Ganguly,4,23,0,8,5.75,0,DC,Eden Gardens,13-May-08
127,Lakshmipathy Balaji,4,24,5,12,6,4.8,PBKS,Chidambaram,10-May-08
128,Dwayne Bravo,4,24,3,12,6,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,18-May-08
129,Zaheer Khan,4,24,2,9,6,12,DEC,M. Chinnaswamy Stadium,03-May-08
130,Yuvraj Singh,2,12,2,5,6,6,MI,Wankhede Stadium,21-May-08
131,Irfan Pathan,4,24,1,13,6,24,CSK,Wankhede Stadium,31-May-08
132,Abhishek Nayar,3,18,1,8,6,18,DEC,Rajiv Gandhi Intl. Cricket Stadium,18-May-08
133,Ajantha Mendis,4,24,1,9,6,24,PBKS,Eden Gardens,25-May-08
134,RP Singh,4,24,1,13,6,24,RR,Sawai Mansingh Stadium,09-May-08
135,Zaheer Khan,4,24,1,14,6,24,RR,M. Chinnaswamy Stadium,26-Apr-08
136,Makhaya Ntini,4,24,1,12,6,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,27-May-08
137,Muttiah Muralitharan,4,24,1,11,6,24,DEC,Chidambaram,06-May-08
138,Ashok Dinda,3,18,1,9,6,18,DEC,Eden Gardens,20-Apr-08
139,Paidikalva Vijaykumar,4,24,1,11,6,24,DC,Arun Jaitley Stadium,15-May-08
140,Praveen Kumar,4,24,0,7,6,0,DC,Arun Jaitley Stadium,30-Apr-08
141,Paidikalva Vijaykumar,3,18,0,8,6,0,RCB,M. Chinnaswamy Stadium,03-May-08
142,Venugopal Rao,4,24,0,10,6,0,KKR,Rajiv Gandhi Intl. Cricket Stadium,11-May-08
143,Ashish Nehra,3,18,0,10,6,0,RR,Sawai Mansingh Stadium,26-May-08
144,Munaf Patel,4,24,0,8,6,0,DC,Sawai Mansingh Stadium,11-May-08
145,Ishant Sharma,3,18,0,6,6,0,DC,Eden Gardens,13-May-08
146,Piyush Chawla,4,25,3,12,6.25,8,RCB,M. Chinnaswamy Stadium,05-May-08
147,Ashish Nehra,4,25,3,10,6.25,8,DC,DY Patil Stadium,04-May-08
148,Ajit Agarkar,4,25,3,15,6.25,8,RCB,M. Chinnaswamy Stadium,18-Apr-08
149,Albie Morkel,4,25,2,9,6.25,12,RR,DY Patil Stadium,01-Jun-08
150,Anil Kumble,3.1,5,5,13,1.57,3.8,RR,Newlands,18-Apr-09
151,Muttiah Muralitharan,4,8,2,16,2,12,PBKS,Kingsmead,20-May-09
152,Amit Singh,4,9,3,15,2.25,8,PBKS,Kingsmead,05-May-09
153,Harbhajan Singh,4,9,1,15,2.25,24,PBKS,Supersport Park,12-May-09
154,Praveen Kumar,3,7,2,15,2.33,9,RR,Newlands,18-Apr-09
155,Muttiah Muralitharan,4,11,3,16,2.75,8,RCB,St George's Park,20-Apr-09
156,Rohit Sharma,2,6,4,6,3,3,MI,Supersport Park,06-May-09
157,Anil Kumble,4,12,2,14,3,12,CSK,Kingsmead,14-May-09
158,Lasith Malinga,4,12,2,12,3,12,PBKS,Kingsmead,29-Apr-09
159,Murali Kartik,4,12,1,14,3,24,DEC,New Wanderers Stadium,16-May-09
160,Ashok Dinda,4,12,0,17,3,0,RR,Kingsmead,20-May-09
161,Dale Steyn,2,6,0,9,3,0,RR,Newlands,18-Apr-09
162,Dhawal Kulkarni,3,9,0,9,3,0,DC,Buffalo Park,08-May-09
163,Yuvraj Singh,4,13,3,15,3.25,8,DEC,New Wanderers Stadium,17-May-09
164,Albie Morkel,4,13,2,16,3.25,12,RCB,Kingsmead,14-May-09
165,Ravichandran Ashwin,4,13,2,11,3.25,12,PBKS,Kingsmead,20-May-09
166,Amit Mishra,4,14,3,15,3.5,8,KKR,New Wanderers Stadium,10-May-09
167,Pragyan Ojha,4,14,2,13,3.5,12,KKR,Newlands,19-Apr-09
168,Munaf Patel,4,14,2,19,3.5,12,KKR,Kingsmead,20-May-09
169,Tirumalasetti Suman,4,14,2,11,3.5,12,MI,Supersport Park,06-May-09
170,Munaf Patel,4,14,2,14,3.5,12,DC,Supersport Park,28-Apr-09
171,Jesse Ryder,4,14,2,14,3.5,12,RR,Newlands,18-Apr-09
172,Muttiah Muralitharan,3,11,2,11,3.66,9,DEC,Buffalo Park,04-May-09
173,Andrew Flintoff,3,11,1,10,3.66,18,RCB,St George's Park,20-Apr-09
174,Charl Langeveldt,4,15,3,16,3.75,8,RR,Kingsmead,20-May-09
175,Ravindra Jadeja,4,15,3,10,3.75,8,RCB,Supersport Park,07-May-09
176,Lasith Malinga,4,15,3,13,3.75,8,CSK,Newlands,18-Apr-09
177,Brett Lee,4,15,3,17,3.75,8,DC,OUTsurance Oval,15-May-09
178,Harbhajan Singh,4,15,2,10,3.75,12,RCB,St George's Park,10-May-09
179,Ishant Sharma,4,15,2,14,3.75,12,RCB,Kingsmead,29-Apr-09
180,Kamran Khan,4,15,2,14,3.75,12,PBKS,Newlands,26-Apr-09
181,JP Duminy,4,15,2,13,3.75,12,PBKS,Supersport Park,12-May-09
182,Ishant Sharma,4,15,2,14,3.75,12,RCB,Kingsmead,29-Apr-09
183,Ajit Agarkar,4,15,2,15,3.75,12,RR,Kingsmead,20-May-09
184,JP Duminy,4,15,1,11,3.75,24,DC,Buffalo Park,08-May-09
185,Andrew Symonds,4,15,1,10,3.75,24,RCB,Supersport Park,21-May-09
186,Muttiah Muralitharan,4,15,1,13,3.75,24,RCB,New Wanderers Stadium,23-May-09
187,Anil Kumble,4,16,4,12,4,6,DEC,New Wanderers Stadium,24-May-09
188,Rohit Sharma,3,12,3,6,4,6,RR,De Beers Diamond Oval,11-May-09
189,Anil Kumble,4,16,2,12,4,12,KKR,Kingsmead,29-Apr-09
190,RP Singh,4,16,1,11,4,24,RCB,New Wanderers Stadium,24-May-09
191,Venugopal Rao,2,8,1,4,4,12,PBKS,New Wanderers Stadium,17-May-09
192,Wilkin Mota,2,8,1,4,4,12,CSK,Kingsmead,20-May-09
193,Muttiah Muralitharan,4,16,1,15,4,24,KKR,Supersport Park,18-May-09
194,Brett Lee,4,16,0,14,4,0,CSK,Kingsmead,20-May-09
195,Ramesh Powar,2,8,0,6,4,0,KKR,St George's Park,03-May-09
196,Sudeep Tyagi,2,8,0,7,4,0,RR,Supersport Park,30-Apr-09
197,Piyush Chawla,2,8,0,6,4,0,KKR,Kingsmead,21-Apr-09
198,Suresh Raina,2,8,0,2,4,0,PBKS,Supersport Park,07-May-09
199,Irfan Pathan,3.2,14,0,10,4.2,0,MI,Supersport Park,12-May-09
200,Harbhajan Singh,4,17,4,12,4.25,6,DC,Supersport Park,21-May-09
201,Suresh Raina,4,17,2,11,4.25,12,PBKS,Kingsmead,20-May-09
202,RP Singh,4,17,2,13,4.25,12,RCB,Newlands,22-Apr-09
203,Muttiah Muralitharan,4,17,1,11,4.25,24,DEC,Kingsmead,27-Apr-09
204,Jacques Kallis,4,17,1,11,4.25,24,DC,New Wanderers Stadium,19-May-09
205,Abhishek Nayar,3,13,3,8,4.33,6,KKR,St George's Park,27-Apr-09
206,Lakshmipathy Balaji,3,13,1,6,4.33,18,RR,De Beers Diamond Oval,09-May-09
207,Ishant Sharma,3,13,0,13,4.33,0,DEC,Newlands,19-Apr-09
208,Ishant Sharma,3,13,0,13,4.33,0,DEC,Newlands,19-Apr-09
209,Kamran Khan,4,18,3,10,4.5,8,KKR,Newlands,23-Apr-09
210,Balachandra Akhil,4,18,2,8,4.5,12,DEC,Supersport Park,21-May-09
211,Suresh Raina,4,18,2,10,4.5,12,DEC,Kingsmead,27-Apr-09
212,RP Singh,4,18,2,15,4.5,12,RR,St George's Park,02-May-09
213,Shane Warne,4,18,2,14,4.5,12,RCB,Newlands,18-Apr-09
214,Jacques Kallis,4,18,2,12,4.5,12,CSK,Kingsmead,14-May-09
215,Sudeep Tyagi,2,9,1,9,4.5,12,DEC,Buffalo Park,04-May-09
216,Amit Mishra,4,18,0,14,4.5,0,KKR,Kingsmead,05-May-09
217,Yuvraj Singh,2,9,0,6,4.5,0,RR,Newlands,26-Apr-09
218,JP Duminy,2,9,0,3,4.5,0,CSK,St George's Park,16-May-09
219,Murali Kartik,4,18,0,8,4.5,0,DC,Kingsmead,05-May-09
220,Manpreet Gony,2,9,0,6,4.5,0,PBKS,Kingsmead,20-May-09
221,Kevin Pietersen,3,14,1,7,4.66,18,CSK,St George's Park,20-Apr-09
222,Zaheer Khan,3,14,1,10,4.66,18,KKR,St George's Park,27-Apr-09
223,Lasith Malinga,2.2,11,3,9,4.71,4.66,KKR,St George's Park,27-Apr-09
224,Amit Singh,4,19,4,14,4.75,6,RCB,Supersport Park,07-May-09
225,Amit Mishra,4,19,3,13,4.75,8,DEC,Supersport Park,22-May-09
226,Lakshmipathy Balaji,4,19,3,12,4.75,8,DC,Kingsmead,23-Apr-09
227,Lasith Malinga,4,19,3,16,4.75,8,DEC,Kingsmead,25-Apr-09
228,Siddharth Trivedi,4,19,2,10,4.75,12,MI,Kingsmead,14-May-09
229,Chaminda Vaas,4,19,2,14,4.75,12,RR,De Beers Diamond Oval,11-May-09
230,Ajantha Mendis,4,19,2,9,4.75,12,RR,Newlands,23-Apr-09
231,Irfan Pathan,4,19,2,14,4.75,12,RCB,Kingsmead,01-May-09
232,Yusuf Abdulla,4,19,2,15,4.75,12,MI,Kingsmead,29-Apr-09
233,Johan Botha,4,19,2,13,4.75,12,KKR,Kingsmead,20-May-09
234,RP Singh,4,19,2,13,4.75,12,MI,Supersport Park,06-May-09
235,Amit Mishra,4,19,1,9,4.75,24,RCB,St George's Park,26-Apr-09
236,Ramesh Powar,4,19,1,9,4.75,24,CSK,Kingsmead,20-May-09
237,Lasith Malinga,4,19,1,13,4.75,24,CSK,St George's Park,16-May-09
238,Anil Kumble,4,19,1,7,4.75,24,PBKS,Kingsmead,24-Apr-09
239,Zaheer Khan,4,19,1,8,4.75,24,PBKS,Kingsmead,29-Apr-09
240,Yusuf Pathan,4,19,1,15,4.75,24,DEC,St George's Park,02-May-09
241,Piyush Chawla,4,19,1,11,4.75,24,RCB,Kingsmead,24-Apr-09
242,Muttiah Muralitharan,4,19,0,12,4.75,0,MI,St George's Park,16-May-09
243,Vikram Singh,4,19,0,9,4.75,0,RR,Newlands,26-Apr-09
244,Dimitri Mascarenhas,4,20,3,15,5,8,RCB,Newlands,18-Apr-09
245,Shoaib Ahmed,4,20,2,14,5,12,DC,Supersport Park,30-Apr-09
246,Ryan Harris,4,20,2,12,5,12,KKR,New Wanderers Stadium,16-May-09
247,Shanthakumaran Sreesanth,4,20,2,14,5,12,DC,OUTsurance Oval,15-May-09
248,Irfan Pathan,4,20,2,10,5,12,MI,Kingsmead,29-Apr-09
249,Jacques Kallis,4,20,1,12,5,24,RR,Supersport Park,07-May-09
250,Andrew Symonds,2,10,1,8,5,12,PBKS,New Wanderers Stadium,17-May-09
251,Harbhajan Singh,3,15,1,7,5,18,CSK,Newlands,18-Apr-09
252,Siddharth Trivedi,4,20,1,13,5,24,PBKS,Kingsmead,05-May-09
253,Praveen Kumar,3,15,0,10,5,0,MI,New Wanderers Stadium,03-May-09
254,Amit Mishra,4,20,0,12,5,0,MI,Buffalo Park,08-May-09
255,Ramesh Powar,2,10,0,2,5,0,RR,Newlands,26-Apr-09
256,Murali Kartik,4,20,0,9,5,0,DC,New Wanderers Stadium,10-May-09
257,Harmeet Singh Bansal,3,15,0,7,5,0,DC,Supersport Park,22-May-09
258,Sudeep Tyagi,2,10,0,6,5,0,PBKS,Supersport Park,07-May-09
259,Shanthakumaran Sreesanth,2,10,0,8,5,0,DEC,New Wanderers Stadium,17-May-09
260,KP Appanna,2,10,0,4,5,0,PBKS,Kingsmead,01-May-09
261,Laxmi Ratan Shukla,4,20,0,13,5,0,RR,Kingsmead,20-May-09
262,Piyush Chawla,4,20,0,11,5,0,DEC,New Wanderers Stadium,17-May-09
263,Chris Gayle,4,20,0,7,5,0,RR,Newlands,23-Apr-09
264,Tyron Henderson,2,10,0,5,5,0,KKR,Kingsmead,20-May-09
265,Morne Morkel,4,20,0,12,5,0,RCB,Supersport Park,07-May-09
266,Pragyan Ojha,4,21,3,10,5.25,8,MI,Kingsmead,25-Apr-09
267,Yusuf Abdulla,4,21,3,14,5.25,8,RR,Newlands,26-Apr-09
268,Albie Morkel,4,21,2,10,5.25,12,RR,Supersport Park,30-Apr-09
269,Dhawal Kulkarni,4,21,1,13,5.25,24,DEC,Supersport Park,06-May-09
270,Harbhajan Singh,4,21,1,9,5.25,24,DC,Buffalo Park,08-May-09
271,Ajantha Mendis,4,21,1,9,5.25,24,RCB,Supersport Park,12-May-09
272,Chris Gayle,4,21,1,9,5.25,24,MI,Buffalo Park,01-May-09
273,Dwayne Bravo,3,16,1,9,5.33,18,DEC,Supersport Park,06-May-09
274,Piyush Chawla,3,16,0,10,5.33,0,DC,OUTsurance Oval,15-May-09
275,Amit Singh,3.3,19,1,11,5.42,21,KKR,Kingsmead,20-May-09
276,Shadab Jakati,4,22,4,10,5.5,6,DEC,Buffalo Park,04-May-09
277,Yuvraj Singh,4,22,3,13,5.5,8,RCB,Kingsmead,01-May-09
278,Ramesh Powar,2,11,2,7,5.5,6,DEC,New Wanderers Stadium,17-May-09
279,Muttiah Muralitharan,4,22,2,12,5.5,12,RR,De Beers Diamond Oval,09-May-09
280,Irfan Pathan,4,22,2,8,5.5,12,DC,OUTsurance Oval,15-May-09
281,Pragyan Ojha,2,11,2,4,5.5,6,CSK,Kingsmead,27-Apr-09
282,Piyush Chawla,4,22,2,10,5.5,12,RR,Newlands,26-Apr-09
283,Muttiah Muralitharan,4,22,1,10,5.5,24,DC,New Wanderers Stadium,02-May-09
284,Ravindra Jadeja,4,22,1,9,5.5,24,DEC,St George's Park,02-May-09
285,Suresh Raina,4,22,1,7,5.5,24,MI,St George's Park,16-May-09
286,Suresh Raina,2,11,1,5,5.5,12,RR,Supersport Park,30-Apr-09
287,RP Singh,4,22,1,14,5.5,24,RR,De Beers Diamond Oval,11-May-09
288,Anil Kumble,4,22,0,7,5.5,0,DC,St George's Park,26-Apr-09
289,Sachin Tendulkar,2,11,0,1,5.5,0,KKR,St George's Park,27-Apr-09
290,Karan Goel,2,11,0,4,5.5,0,MI,Kingsmead,29-Apr-09
291,Yusuf Pathan,3,17,2,9,5.66,9,CSK,Supersport Park,30-Apr-09
292,Roelof van der Merwe,3,17,1,7,5.66,18,MI,St George's Park,10-May-09
293,JP Duminy,3,17,0,7,5.66,0,RR,Kingsmead,14-May-09
294,Munaf Patel,3.5,22,2,13,5.73,11.5,MI,Kingsmead,14-May-09
295,Harmeet Singh Bansal,4,23,2,12,5.75,12,RCB,New Wanderers Stadium,24-May-09
296,Anil Kumble,4,23,2,12,5.75,12,DEC,Supersport Park,21-May-09
297,Ishant Sharma,4,23,2,11,5.75,12,KKR,New Wanderers Stadium,10-May-09
298,Ishant Sharma,4,23,2,11,5.75,12,DC,New Wanderers Stadium,10-May-09
299,Shanthakumaran Sreesanth,4,23,2,13,5.75,12,CSK,Kingsmead,20-May-09
300,Jacques Kallis,2,3,2,9,1.5,6,DEC,DY Patil Stadium,24-Apr-10
301,Yusuf Pathan,2,3,0,9,1.5,0,DEC,Vidarbha Cricket Association Stadium,05-Apr-10
302,Anil Kumble,3.5,9,3,13,2.34,7.66,RR,M. Chinnaswamy Stadium,18-Mar-10
303,Dirk Nannes,4,12,2,18,3,12,PBKS,IS Bindra Stadium,13-Mar-10
304,Albie Morkel,2,6,1,9,3,12,KKR,Eden Gardens,16-Mar-10
305,Doug Bollinger,4,13,4,17,3.25,6,DEC,DY Patil Stadium,22-Apr-10
306,Ravichandran Ashwin,4,13,2,18,3.25,12,DEC,Vidarbha Cricket Association Stadium,10-Apr-10
307,Amit Mishra,4,13,1,13,3.25,24,CSK,Chidambaram,15-Apr-10
308,Lasith Malinga,3.4,12,3,13,3.27,7.33,DEC,DY Patil Stadium,28-Mar-10
