,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
432,Rohit Sharma,13,5,260,0,2,DC,Barabati Stadium,21-Mar-10
433,Shane Watson,13,5,260,1,1,KKR,Eden Gardens,17-Apr-10
434,Cheteshwar Pujara,13,4,325,0,2,RCB,M. Chinnaswamy Stadium,10-Apr-10
435,Virat Kohli,13,5,260,1,1,DEC,M. Chinnaswamy Stadium,08-Apr-10
436,Sachin Tendulkar,13,6,216.66,0,1,CSK,Brabourne Stadium,25-Mar-10
437,Kieron Pollard,13,5,260,1,1,DC,Brabourne Stadium,13-Apr-10
438,Gautam Gambhir,13,5,260,3,0,PBKS,Arun Jaitley Stadium,11-Apr-10
439,Andrew Symonds,13,5,260,3,0,KKR,Eden Gardens,01-Apr-10
440,Ambati Rayudu,13,4,325,3,0,PBKS,IS Bindra Stadium,09-Apr-10
441,Ravi Bopara,13,4,325,3,0,RCB,M. Chinnaswamy Stadium,16-Mar-10
442,Shaun Marsh,13,3,433.33,0,2,CSK,HPCA Stadium,18-Apr-10
443,Irfan Pathan,13,4,325,1,1,DEC,Barabati Stadium,19-Mar-10
444,Yusuf Pathan,13,4,325,3,0,MI,Brabourne Stadium,13-Mar-10
445,Andrew Symonds,13,5,260,0,2,DC,Arun Jaitley Stadium,18-Apr-10
446,JP Duminy,13,4,325,3,0,DC,Brabourne Stadium,13-Apr-10
447,Saurabh Tiwary,13,5,260,3,0,KKR,Brabourne Stadium,22-Mar-10
448,Ryan Harris,13,4,325,1,1,CSK,DY Patil Stadium,22-Apr-10
449,Sanath Jayasuriya,13,6,216.66,3,0,RR,Brabourne Stadium,13-Mar-10
450,Chris Gayle,36,7,514.28,3,4,KTK,M. Chinnaswamy Stadium,08-May-11
451,Shaun Marsh,30,6,500,3,3,RCB,HPCA Stadium,17-May-11
452,Yuvraj Singh,24,5,480,1,3,DC,DY Patil Stadium,17-Apr-11
453,Shaun Marsh,24,5,480,1,3,DC,HPCA Stadium,15-May-11
454,Paul Valthaty,24,7,342.85,3,2,RR,IS Bindra Stadium,21-Apr-11
455,Rohit Sharma,23,5,460,1,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-11
456,Virender Sehwag,23,6,383.33,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,05-May-11
457,MS Dhoni,22,6,366.66,2,2,PBKS,IS Bindra Stadium,13-Apr-11
458,Paul Valthaty,22,6,366.66,4,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,16-Apr-11
459,Brad Hodge,21,5,420,2,2,KKR,Jawaharlal Nehru Stadium,05-May-11
460,Chris Gayle,21,5,420,2,2,PBKS,M. Chinnaswamy Stadium,06-May-11
461,Aiden Blizzard,20,6,333.33,5,0,DC,Wankhede Stadium,07-May-11
462,Virender Sehwag,20,6,333.33,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,05-May-11
463,Chris Gayle,20,6,333.33,2,2,PWI,M. Chinnaswamy Stadium,29-Apr-11
464,Adam Gilchrist,20,5,400,0,3,RCB,HPCA Stadium,17-May-11
465,Chris Gayle,20,6,333.33,3,1,MI,Chidambaram,27-May-11
466,Shaun Marsh,20,4,500,0,3,RR,IS Bindra Stadium,21-Apr-11
467,Brendon McCullum,20,5,400,2,2,DC,Arun Jaitley Stadium,02-May-11
468,Yuvraj Singh,20,4,500,2,2,PBKS,IS Bindra Stadium,08-May-11
469,Tillakaratne Dilshan,20,6,333.33,3,1,KTK,M. Chinnaswamy Stadium,08-May-11
470,Albie Morkel,19,6,316.66,0,3,DEC,Chidambaram,01-May-11
471,Virat Kohli,19,5,380,1,2,CSK,Wankhede Stadium,24-May-11
472,AB de Villiers,19,4,475,0,3,KTK,Jawaharlal Nehru Stadium,09-Apr-11
473,Shane Watson,18,6,300,0,3,KTK,Holkar Cricket Stadium,15-May-11
474,Chris Gayle,18,4,450,1,2,KKR,M. Chinnaswamy Stadium,14-May-11
475,Paul Valthaty,18,6,300,1,2,DC,HPCA Stadium,15-May-11
476,Johan Botha,18,5,360,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-11
477,Virender Sehwag,18,4,450,0,3,PBKS,Arun Jaitley Stadium,23-Apr-11
478,Yuvraj Singh,18,5,360,1,2,RCB,M. Chinnaswamy Stadium,29-Apr-11
479,Brendon McCullum,18,5,360,0,3,RR,Holkar Cricket Stadium,15-May-11
480,Sunny Sohal,18,5,360,3,1,CSK,Chidambaram,01-May-11
481,Gautam Gambhir,18,6,300,4,0,RR,Sawai Mansingh Stadium,15-Apr-11
482,Brad Hodge,17,4,425,1,2,CSK,Chidambaram,18-May-11
483,Paul Valthaty,17,6,283.33,3,0,CSK,IS Bindra Stadium,13-Apr-11
484,Dwaraka Ravi Teja,17,4,425,1,2,PBKS,HPCA Stadium,21-May-11
485,MS Dhoni,17,6,283.33,1,2,RCB,M. Chinnaswamy Stadium,22-May-11
486,MS Dhoni,17,5,340,2,1,RR,Sawai Mansingh Stadium,09-May-11
487,James Franklin,17,5,340,4,0,KKR,Eden Gardens,22-May-11
488,Ravindra Jadeja,17,4,425,1,2,MI,Wankhede Stadium,15-Apr-11
489,Sachin Tendulkar,17,5,340,1,2,KTK,Wankhede Stadium,15-Apr-11
490,David Warner,17,6,283.33,2,1,RR,Sawai Mansingh Stadium,12-Apr-11
491,Sachin Tendulkar,16,5,320,4,0,KKR,Wankhede Stadium,25-May-11
492,Chris Gayle,16,6,266.66,4,0,KKR,M. Chinnaswamy Stadium,14-May-11
493,Suresh Raina,16,4,400,1,2,KTK,Chidambaram,18-May-11
494,Adam Gilchrist,16,6,266.66,4,0,DC,Arun Jaitley Stadium,23-Apr-11
495,Suresh Raina,16,5,320,2,1,RCB,Chidambaram,16-Apr-11
496,Naman Ojha,16,6,266.66,1,2,PBKS,HPCA Stadium,15-May-11
497,MS Dhoni,16,5,320,0,2,DC,Chidambaram,12-May-11
498,Kieron Pollard,16,5,320,2,1,PWI,DY Patil Stadium,04-May-11
499,Luke Pomersbach,16,6,266.66,2,1,CSK,Wankhede Stadium,24-May-11
500,Virat Kohli,16,6,266.66,4,0,DC,Arun Jaitley Stadium,26-Apr-11
501,Mohnish Mishra,16,5,320,1,2,KTK,DY Patil Stadium,13-Apr-11
502,David Warner,16,5,320,1,2,PWI,DY Patil Stadium,17-Apr-11
503,Shane Watson,16,6,266.66,0,2,KTK,Sawai Mansingh Stadium,24-Apr-11
504,Subramaniam Badrinath,16,6,266.66,1,1,MI,Wankhede Stadium,22-Apr-11
505,Chris Gayle,16,5,320,2,1,KKR,Eden Gardens,22-Apr-11
506,Amit Mishra,16,4,400,4,0,MI,Wankhede Stadium,14-May-11
507,Ross Taylor,16,5,320,2,1,PWI,Sawai Mansingh Stadium,01-May-11
508,Andrew Symonds,16,6,266.66,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-11
509,Chris Gayle,16,5,320,1,2,PWI,M. Chinnaswamy Stadium,29-Apr-11
510,Shakib Al Hasan,15,6,250,3,0,MI,Wankhede Stadium,25-May-11
511,Suresh Raina,15,4,375,0,2,RCB,Wankhede Stadium,24-May-11
512,Subramaniam Badrinath,15,5,300,2,1,PWI,DY Patil Stadium,27-Apr-11
