,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
129,Ashish Nehra,4,35,1,24,CSK,Chidambaram,23-Apr-08
130,Yo Mahesh,4,35,1,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-08
131,Brett Lee,4,35,1,24,RR,Sawai Mansingh Stadium,21-Apr-08
132,Shanthakumaran Sreesanth,4,35,2,12,MI,Wankhede Stadium,21-May-08
133,Lakshmipathy Balaji,4,35,2,12,DC,Arun Jaitley Stadium,08-May-08
134,Albie Morkel,4,35,2,12,DC,Arun Jaitley Stadium,08-May-08
135,Albie Morkel,4,35,2,12,RR,Chidambaram,24-May-08
136,Shane Warne,4,35,2,12,CSK,Chidambaram,24-May-08
137,RP Singh,4,35,3,8,MI,Rajiv Gandhi Intl. Cricket Stadium,18-May-08
138,Piyush Chawla,4,35,3,8,RR,IS Bindra Stadium,28-May-08
139,James Hopes,3,35,0,0,KKR,IS Bindra Stadium,03-May-08
140,Shanthakumaran Sreesanth,3,35,0,0,CSK,IS Bindra Stadium,19-Apr-08
141,Palani Amarnath,3,35,0,0,DC,Arun Jaitley Stadium,08-May-08
142,Palani Amarnath,3,35,1,18,PBKS,Chidambaram,10-May-08
143,Joginder Sharma,3,35,1,18,DC,Chidambaram,02-May-08
144,David Hussey,3,35,1,18,DEC,Eden Gardens,20-Apr-08
145,Yo Mahesh,2.1,35,0,0,RR,Sawai Mansingh Stadium,11-May-08
146,Andrew Symonds,2,35,0,0,DC,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-08
147,Balachandra Akhil,4,34,0,0,CSK,M. Chinnaswamy Stadium,28-Apr-08
148,Shane Warne,4,34,0,0,CSK,DY Patil Stadium,01-Jun-08
149,Vikram Singh,4,34,0,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,01-May-08
150,Mashrafe Mortaza,4,58,0,0,DEC,New Wanderers Stadium,16-May-09
151,Chaminda Vaas,4,52,2,12,DC,Kingsmead,13-May-09
152,Jacques Kallis,4,51,1,24,PBKS,Kingsmead,24-Apr-09
153,Andrew Flintoff,4,50,0,0,DC,Kingsmead,23-Apr-09
154,RP Singh,4,47,1,24,RCB,Supersport Park,21-May-09
155,Praveen Kumar,4,45,0,0,DEC,Supersport Park,21-May-09
156,Ajit Agarkar,4,45,0,0,CSK,Supersport Park,18-May-09
157,Dhawal Kulkarni,4,45,1,24,CSK,St George's Park,16-May-09
158,Manpreet Gony,4,45,1,24,DC,Kingsmead,23-Apr-09
159,Ajit Agarkar,4,45,1,24,RCB,Supersport Park,12-May-09
160,Shanthakumaran Sreesanth,4,44,0,0,RR,Kingsmead,05-May-09
161,Harmeet Singh Bansal,4,44,0,0,RCB,Newlands,22-Apr-09
162,Andrew Flintoff,4,44,1,24,MI,Newlands,18-Apr-09
163,Yusuf Abdulla,3,44,0,0,RR,Kingsmead,05-May-09
164,Ishant Sharma,4,43,0,0,KKR,Kingsmead,05-May-09
165,Ishant Sharma,4,43,0,0,DC,Kingsmead,05-May-09
166,Praveen Kumar,4,43,0,0,DEC,New Wanderers Stadium,24-May-09
167,Amit Mishra,4,42,0,0,MI,Supersport Park,21-May-09
168,Irfan Pathan,4,42,0,0,DEC,De Beers Diamond Oval,09-May-09
169,Abhimanyu Mithun,4,42,0,0,MI,St George's Park,10-May-09
170,Ajit Agarkar,4,41,0,0,DEC,New Wanderers Stadium,16-May-09
171,Albie Morkel,4,41,1,24,DC,Kingsmead,23-Apr-09
172,Lakshmipathy Balaji,4,41,1,24,PBKS,Supersport Park,07-May-09
173,Lakshmipathy Balaji,3.3,41,1,21,DEC,Kingsmead,27-Apr-09
174,Ishant Sharma,4,40,0,0,RCB,Supersport Park,12-May-09
175,Jacques Kallis,4,40,0,0,KKR,Supersport Park,12-May-09
176,Ishant Sharma,4,40,0,0,RCB,Supersport Park,12-May-09
177,Irfan Pathan,4,40,1,24,RR,Kingsmead,05-May-09
178,Harmeet Singh Bansal,3.5,40,0,0,KKR,New Wanderers Stadium,16-May-09
179,Lakshmipathy Balaji,3,40,0,0,KKR,Supersport Park,18-May-09
180,Anil Kumble,4,39,0,0,DEC,Newlands,22-Apr-09
181,Ajantha Mendis,4,39,0,0,MI,St George's Park,27-Apr-09
182,Ryan Harris,4,39,0,0,CSK,Buffalo Park,04-May-09
183,Munaf Patel,4,39,2,12,DC,OUTsurance Oval,17-May-09
184,Amit Mishra,3,39,0,0,DEC,Kingsmead,13-May-09
185,Albie Morkel,3,39,0,0,KKR,Supersport Park,18-May-09
186,Ajantha Mendis,4,38,0,0,CSK,Supersport Park,18-May-09
187,Lasith Malinga,4,38,1,24,DC,Supersport Park,21-May-09
188,Irfan Pathan,4,38,1,24,CSK,Supersport Park,07-May-09
