,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
553,Shaun Tait,3,36,0,0,KTK,Holkar Cricket Stadium,15-May-11
554,Shadab Jakati,3,36,1,18,RCB,Chidambaram,16-Apr-11
555,Albie Morkel,3,36,1,18,DC,Chidambaram,12-May-11
556,Zaheer Khan,4,35,0,0,PBKS,M. Chinnaswamy Stadium,06-May-11
557,Chris Gayle,4,35,0,0,PBKS,HPCA Stadium,17-May-11
558,Ryan Harris,4,35,1,24,DEC,HPCA Stadium,21-May-11
559,Abhimanyu Mithun,4,35,1,24,CSK,M. Chinnaswamy Stadium,22-May-11
560,Bhargav Bhatt,4,35,1,24,PWI,IS Bindra Stadium,08-May-11
561,Munaf Patel,4,35,1,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-11
562,Sreenath Aravind,4,35,1,24,PWI,M. Chinnaswamy Stadium,29-Apr-11
563,Pragyan Ojha,4,35,2,12,PWI,DY Patil Stadium,16-May-11
564,James Franklin,4,35,2,12,KKR,Eden Gardens,22-May-11
565,Wayne Parnell,4,35,3,8,KTK,DY Patil Stadium,13-Apr-11
566,Amit Singh,4,35,3,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-11
567,Bhargav Bhatt,3,35,0,0,CSK,IS Bindra Stadium,13-Apr-11
568,Manpreet Gony,2,35,0,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16-Apr-11
569,Shane Warne,4,34,0,0,CSK,Sawai Mansingh Stadium,09-May-11
570,Doug Bollinger,4,34,0,0,RCB,M. Chinnaswamy Stadium,22-May-11
571,Siddharth Trivedi,4,34,0,0,KKR,Sawai Mansingh Stadium,15-Apr-11
572,Suraj Randiv,4,34,0,0,DEC,Chidambaram,01-May-11
573,Daniel Vettori,4,34,0,0,CSK,Chidambaram,28-May-11
574,Ajit Agarkar,4,34,1,24,KKR,Arun Jaitley Stadium,28-Apr-11
575,Ryan Harris,4,34,1,24,RR,IS Bindra Stadium,21-Apr-11
576,RP Singh,4,34,1,24,CSK,Chidambaram,18-May-11
577,Shalabh Srivastava,4,34,1,24,KTK,Holkar Cricket Stadium,13-May-11
578,Paul Valthaty,4,34,1,24,DC,HPCA Stadium,15-May-11
579,Chris Gayle,4,34,2,12,CSK,Chidambaram,28-May-11
580,Albie Morkel,4,34,2,12,RCB,Chidambaram,16-Apr-11
581,Iqbal Abdulla,4,34,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,03-May-11
582,Sreenath Aravind,4,34,3,8,RR,Sawai Mansingh Stadium,11-May-11
583,Ashok Dinda,3.3,34,1,21,RR,Sawai Mansingh Stadium,12-Apr-11
584,Jesse Ryder,3.2,34,1,20,DC,DY Patil Stadium,17-Apr-11
585,Amit Mishra,3,34,0,0,CSK,Chidambaram,01-May-11
586,Joginder Sharma,3,34,0,0,MI,Wankhede Stadium,22-Apr-11
587,Ryan Ninan,3,34,1,18,DEC,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-11
588,Jacques Kallis,3,34,2,9,CSK,Chidambaram,08-Apr-11
589,Harbhajan Singh,4,33,0,0,KTK,Wankhede Stadium,15-Apr-11
590,Dale Steyn,4,33,1,24,KKR,Eden Gardens,11-Apr-11
591,Tim Southee,4,33,1,24,PWI,DY Patil Stadium,27-Apr-11
592,Zaheer Khan,4,33,1,24,PWI,M. Chinnaswamy Stadium,29-Apr-11
593,Brett Lee,4,33,1,24,KTK,Eden Gardens,20-Apr-11
594,Tim Southee,4,33,1,24,PBKS,IS Bindra Stadium,13-Apr-11
595,Ashok Dinda,4,33,1,24,DEC,Arun Jaitley Stadium,19-Apr-11
596,Suraj Randiv,4,33,1,24,KKR,Chidambaram,08-Apr-11
597,Ravichandran Ashwin,4,33,1,24,RCB,Wankhede Stadium,24-May-11
598,Zaheer Khan,4,33,1,24,CSK,Chidambaram,16-Apr-11
599,Lakshmipathy Balaji,4,33,1,24,CSK,Eden Gardens,07-May-11
600,Varun Aaron,4,63,2,12,CSK,Chidambaram,25-May-12
601,Amit Singh,4,55,0,0,DEC,Sawai Mansingh Stadium,17-Apr-12
602,Manpreet Gony,4,54,0,0,CSK,ACA-VDCA Stadium,07-Apr-12
603,Ashish Nehra,4,54,1,24,RCB,M. Chinnaswamy Stadium,17-Apr-12
604,Munaf Patel,4,54,1,24,RCB,M. Chinnaswamy Stadium,14-May-12
605,Vinay Kumar,4,53,1,24,CSK,Chidambaram,12-Apr-12
606,Vinay Kumar,4,51,0,0,RR,M. Chinnaswamy Stadium,15-Apr-12
607,Andre Russell,4,51,1,24,PBKS,HPCA Stadium,19-May-12
608,Morne Morkel,4,50,3,8,PWI,Arun Jaitley Stadium,21-Apr-12
609,Dan Christian,4,49,1,24,MI,ACA-VDCA Stadium,09-Apr-12
610,Dwayne Bravo,3.4,49,1,22,KKR,Chidambaram,27-May-12
611,Varun Aaron,4,48,0,0,KKR,Maharashtra Cricket Association's International Stadium,22-May-12
612,Parvinder Awana,4,48,0,0,RCB,M. Chinnaswamy Stadium,02-May-12
613,Zaheer Khan,4,48,1,24,KKR,Eden Gardens,28-Apr-12
614,Sreenath Aravind,3,48,0,0,RR,M. Chinnaswamy Stadium,15-Apr-12
615,Irfan Pathan,4,47,0,0,RCB,M. Chinnaswamy Stadium,07-Apr-12
616,TP Sudhindra,4,47,0,0,PBKS,IS Bindra Stadium,13-May-12
617,Sunny Gupta,3,47,0,0,CSK,Chidambaram,25-May-12
618,Ravichandran Ashwin,4,46,0,0,RCB,Chidambaram,12-Apr-12
619,Dale Steyn,4,46,0,0,PWI,Barabati Stadium,01-May-12
620,Alfonso Thomas,4,46,0,0,RCB,Maharashtra Cricket Association's International Stadium,11-May-12
621,Irfan Pathan,4,46,0,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
622,Harmeet Singh Bansal,4,46,0,0,RCB,IS Bindra Stadium,20-Apr-12
623,Munaf Patel,4,46,0,0,CSK,Wankhede Stadium,06-May-12
624,TP Sudhindra,4,46,1,24,CSK,ACA-VDCA Stadium,07-Apr-12
625,Harshal Patel,4,46,1,24,KKR,M. Chinnaswamy Stadium,10-Apr-12
626,Piyush Chawla,4,46,1,24,MI,IS Bindra Stadium,25-Apr-12
627,Irfan Pathan,4,46,2,12,MI,Arun Jaitley Stadium,27-Apr-12
628,Dhawal Kulkarni,4,46,3,8,CSK,M. Chinnaswamy Stadium,23-May-12
629,Amit Singh,4,45,0,0,CSK,Chidambaram,21-Apr-12
630,Ben Hilfenhaus,4,45,1,24,MI,M. Chinnaswamy Stadium,23-May-12
631,Anand Rajan,4,45,1,24,RR,Sawai Mansingh Stadium,17-Apr-12
632,Veer Pratap Singh,4,45,1,24,PBKS,Rajiv Gandhi Intl. Cricket Stadium,08-May-12
633,Irfan Pathan,4,44,0,0,RCB,Arun Jaitley Stadium,17-May-12
634,Shahbaz Nadeem,4,44,0,0,PWI,Arun Jaitley Stadium,21-Apr-12
635,Amit Mishra,4,44,0,0,DC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
636,Siddharth Trivedi,4,44,0,0,RCB,Sawai Mansingh Stadium,23-Apr-12
637,Brett Lee,4,44,0,0,MI,Eden Gardens,12-May-12
638,Harshal Patel,4,44,1,24,PBKS,IS Bindra Stadium,20-Apr-12
639,Muttiah Muralitharan,4,44,1,24,DC,Arun Jaitley Stadium,17-May-12
640,Kieron Pollard,4,44,4,6,RR,Wankhede Stadium,11-Apr-12
641,Anand Rajan,3.5,44,1,23,RCB,M. Chinnaswamy Stadium,06-May-12
642,Dale Steyn,3.4,44,0,0,RR,Sawai Mansingh Stadium,17-Apr-12
643,Harbhajan Singh,4,43,0,0,RR,Wankhede Stadium,11-Apr-12
644,Dan Christian,4,43,1,24,RR,Sawai Mansingh Stadium,17-Apr-12
645,Kevon Cooper,4,43,1,24,MI,Wankhede Stadium,11-Apr-12
646,Ashish Nehra,4,43,1,24,CSK,Maharashtra Cricket Association's International Stadium,14-Apr-12
647,Amit Singh,3.5,43,2,11.5,RCB,M. Chinnaswamy Stadium,15-Apr-12
648,TP Sudhindra,3.4,43,0,0,DC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
649,Praveen Kumar,4,42,0,0,RR,Sawai Mansingh Stadium,06-Apr-12
650,Brett Lee,4,42,0,0,CSK,Chidambaram,27-May-12
651,Harbhajan Singh,4,42,0,0,DC,Arun Jaitley Stadium,27-Apr-12
652,Umesh Yadav,4,42,0,0,RCB,Arun Jaitley Stadium,17-May-12
653,Pradeep Sangwan,4,42,1,24,DC,Arun Jaitley Stadium,07-May-12
654,Ajit Agarkar,3,42,0,0,DEC,Arun Jaitley Stadium,19-Apr-12
655,Munaf Patel,4,41,0,0,PBKS,Wankhede Stadium,22-Apr-12
656,Andre Russell,4,41,0,0,RCB,Arun Jaitley Stadium,17-May-12
657,Lasith Malinga,4,41,0,0,CSK,M. Chinnaswamy Stadium,23-May-12
658,Rajat Bhatia,4,41,0,0,MI,Eden Gardens,12-May-12
659,Munaf Patel,4,41,0,0,PBKS,IS Bindra Stadium,25-Apr-12
660,RP Singh,4,41,0,0,DC,Arun Jaitley Stadium,27-Apr-12
661,Ankeet Chavan,4,41,1,24,MI,Wankhede Stadium,11-Apr-12
662,Ravichandran Ashwin,4,41,1,24,KKR,Chidambaram,27-May-12
663,Parvinder Awana,4,41,1,24,DEC,IS Bindra Stadium,13-May-12
664,Ashish Nehra,4,41,1,24,DEC,Barabati Stadium,01-May-12
665,James Faulkner,4,41,2,12,RR,Sawai Mansingh Stadium,06-Apr-12
666,Amit Singh,4,41,2,12,DC,Arun Jaitley Stadium,29-Apr-12
667,Rajat Bhatia,3,41,1,18,RCB,Eden Gardens,28-Apr-12
668,Shaun Tait,4,40,0,0,MI,Sawai Mansingh Stadium,20-May-12
669,Umesh Yadav,4,40,0,0,PWI,Maharashtra Cricket Association's International Stadium,24-Apr-12
670,Bhuvneshwar Kumar,4,40,0,0,RCB,Maharashtra Cricket Association's International Stadium,11-May-12
671,Jacques Kallis,4,40,0,0,MI,Eden Gardens,12-May-12
672,Vinay Kumar,4,40,1,24,PBKS,IS Bindra Stadium,20-Apr-12
673,Praveen Kumar,4,40,1,24,CSK,Chidambaram,28-Apr-12
674,Manpreet Gony,4,40,1,24,PBKS,IS Bindra Stadium,13-May-12
675,Shadab Jakati,4,40,2,12,DC,Chidambaram,25-May-12
676,Parvinder Awana,3,40,0,0,DC,HPCA Stadium,19-May-12
677,Bipul Sharma,2.4,40,0,0,PWI,Maharashtra Cricket Association's International Stadium,08-Apr-12
678,Pragyan Ojha,4,39,0,0,DEC,ACA-VDCA Stadium,09-Apr-12
679,Azhar Mahmood,4,39,0,0,MI,Wankhede Stadium,22-Apr-12
680,Andre Russell,4,39,0,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
681,Shahbaz Nadeem,4,39,0,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
682,Murali Kartik,4,39,0,0,RR,Sawai Mansingh Stadium,13-May-12
683,Ravindra Jadeja,4,39,1,24,KKR,Eden Gardens,14-May-12
684,Rahul Sharma,4,39,1,24,DEC,Maharashtra Cricket Association's International Stadium,26-Apr-12
685,Brett Lee,4,39,1,24,DC,Arun Jaitley Stadium,07-May-12
686,Marlon Samuels,4,39,1,24,DEC,Maharashtra Cricket Association's International Stadium,26-Apr-12
687,Dwayne Bravo,4,39,2,12,MI,Wankhede Stadium,06-May-12
688,Azhar Mahmood,4,39,2,12,DEC,IS Bindra Stadium,13-May-12
689,Brad Hogg,4,39,2,12,RCB,Sawai Mansingh Stadium,23-Apr-12
690,Ashish Reddy,4,39,2,12,PBKS,Rajiv Gandhi Intl. Cricket Stadium,08-May-12
691,Marlon Samuels,4,39,3,8,CSK,Chidambaram,19-Apr-12
692,Parvinder Awana,4,39,3,8,MI,IS Bindra Stadium,25-Apr-12
693,Sourav Ganguly,3,39,0,0,DEC,Barabati Stadium,01-May-12
694,Chris Gayle,2.4,39,0,0,MI,M. Chinnaswamy Stadium,14-May-12
695,Shadab Jakati,4,38,0,0,KKR,Chidambaram,27-May-12
696,Nuwan Kulasekara,4,38,0,0,PWI,Maharashtra Cricket Association's International Stadium,14-Apr-12
697,Manpreet Gony,4,38,0,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,20-May-12
698,Syed Mohammad,4,38,0,0,MI,Wankhede Stadium,09-May-12
699,Varun Aaron,4,38,1,24,RCB,Arun Jaitley Stadium,17-May-12
700,Albie Morkel,4,38,1,24,KKR,Chidambaram,27-May-12
701,Piyush Chawla,4,38,2,12,RR,IS Bindra Stadium,05-May-12
702,Zaheer Khan,4,38,3,8,DC,Arun Jaitley Stadium,17-May-12
703,Dwayne Bravo,3,38,0,0,RR,Sawai Mansingh Stadium,10-May-12
704,Wayne Parnell,4,37,0,0,KKR,Eden Gardens,05-May-12
705,Vinay Kumar,4,37,0,0,RR,Sawai Mansingh Stadium,23-Apr-12
706,Sunil Narine,4,37,0,0,CSK,Chidambaram,27-May-12
707,Siddharth Trivedi,4,37,0,0,MI,Sawai Mansingh Stadium,20-May-12
708,Morne Morkel,4,37,0,0,KKR,Maharashtra Cricket Association's International Stadium,22-May-12
709,Azhar Mahmood,4,37,0,0,RR,IS Bindra Stadium,05-May-12
710,Umesh Yadav,4,37,1,24,KKR,Maharashtra Cricket Association's International Stadium,22-May-12
711,Juan Theron,4,37,2,12,PWI,Maharashtra Cricket Association's International Stadium,26-Apr-12
712,Albie Morkel,4,37,2,12,RCB,Chidambaram,12-Apr-12
713,Robin Peterson,4,37,3,8,DC,Arun Jaitley Stadium,27-Apr-12
714,Pankaj Singh,3,37,0,0,DEC,Sawai Mansingh Stadium,17-Apr-12
715,Bhuvneshwar Kumar,3,37,0,0,CSK,Chidambaram,19-Apr-12
716,Marchant de Lange,3,37,0,0,CSK,Eden Gardens,14-May-12
717,Pawan Negi,3,37,0,0,RCB,Arun Jaitley Stadium,17-May-12
718,Johan Botha,4,36,0,0,PBKS,Sawai Mansingh Stadium,06-Apr-12
719,Vinay Kumar,4,36,1,24,MI,M. Chinnaswamy Stadium,14-May-12
720,Harshal Patel,4,36,1,24,PWI,Maharashtra Cricket Association's International Stadium,11-May-12
721,Shakib Al Hasan,4,36,1,24,DC,Maharashtra Cricket Association's International Stadium,22-May-12
722,Zaheer Khan,4,36,1,24,DC,M. Chinnaswamy Stadium,07-Apr-12
723,Clint McKay,4,36,1,24,PBKS,IS Bindra Stadium,25-Apr-12
724,Ashish Reddy,4,36,1,24,RCB,M. Chinnaswamy Stadium,06-May-12
725,Umesh Yadav,4,36,2,12,MI,Arun Jaitley Stadium,27-Apr-12
726,Praveen Kumar,4,36,2,12,MI,Wankhede Stadium,22-Apr-12
727,Marchant de Lange,3,36,0,0,DC,Eden Gardens,05-Apr-12
728,Virat Kohli,2,36,0,0,CSK,Chidambaram,12-Apr-12
729,Ashish Nehra,4,35,0,0,KKR,Maharashtra Cricket Association's International Stadium,19-May-12
730,Umesh Yadav,4,35,0,0,RR,Arun Jaitley Stadium,29-Apr-12
731,Dwayne Bravo,4,35,0,0,DEC,Chidambaram,04-May-12
732,Kevon Cooper,4,35,0,0,RCB,Sawai Mansingh Stadium,23-Apr-12
733,Veer Pratap Singh,4,35,0,0,KKR,Barabati Stadium,22-Apr-12
734,Jacques Kallis,4,35,0,0,RR,Sawai Mansingh Stadium,08-Apr-12
735,Muttiah Muralitharan,4,35,0,0,RR,M. Chinnaswamy Stadium,15-Apr-12
736,Praveen Kumar,4,35,0,0,RCB,IS Bindra Stadium,20-Apr-12
737,Morne Morkel,4,35,1,24,KKR,Arun Jaitley Stadium,07-May-12
738,Angelo Mathews,4,35,1,24,RCB,M. Chinnaswamy Stadium,17-Apr-12
739,Dan Christian,4,35,1,24,CSK,Chidambaram,04-May-12
740,Dan Christian,4,35,1,24,DC,Arun Jaitley Stadium,19-Apr-12
741,Ravichandran Ashwin,4,35,1,24,PWI,Chidambaram,19-Apr-12
742,Vinay Kumar,4,35,2,12,DC,Arun Jaitley Stadium,17-May-12
743,Shahbaz Nadeem,4,35,2,12,MI,Arun Jaitley Stadium,27-Apr-12
744,Shaun Tait,3.4,35,0,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18-May-12
745,Harshal Patel,3,35,0,0,KKR,Eden Gardens,28-Apr-12
746,Piyush Chawla,3,35,1,18,RCB,M. Chinnaswamy Stadium,02-May-12
747,Veer Pratap Singh,3,35,2,9,CSK,Chidambaram,04-May-12
748,Raju Bhatkal,2,35,0,0,CSK,Chidambaram,12-Apr-12
749,Rahul Sharma,2,35,0,0,RCB,M. Chinnaswamy Stadium,17-Apr-12
750,Ishant Sharma,4,66,0,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,08-May-13
751,Umesh Yadav,4,65,0,0,RCB,Arun Jaitley Stadium,10-May-13
752,Ashok Dinda,4,63,0,0,MI,Wankhede Stadium,13-Apr-13
753,Michael Neser,4,62,0,0,RCB,IS Bindra Stadium,06-May-13
754,Ryan McLaren,4,60,2,12,MI,Wankhede Stadium,07-May-13
755,Mitchell Marsh,3,56,1,18,RCB,M. Chinnaswamy Stadium,23-Apr-13
756,Thisara Perera,3.3,55,0,0,MI,Wankhede Stadium,13-May-13
757,Umesh Yadav,4,52,1,24,PWI,Maharashtra Cricket Association's International Stadium,19-May-13
758,Ashok Dinda,4,52,2,12,RCB,Maharashtra Cricket Association's International Stadium,02-May-13
759,Jacques Kallis,4,50,0,0,CSK,Chidambaram,28-Apr-13
760,Dirk Nannes,4,50,0,0,KKR,Chidambaram,28-Apr-13
761,Sachithra Senanayake,4,50,1,24,MI,Eden Gardens,24-Apr-13
762,Kevon Cooper,4,49,0,0,CSK,Chidambaram,22-Apr-13
763,Mitchell Johnson,4,49,2,12,DC,Wankhede Stadium,09-Apr-13
764,Ashish Nehra,4,49,2,12,MI,Wankhede Stadium,09-Apr-13
765,RP Singh,4,48,0,0,DC,M. Chinnaswamy Stadium,16-Apr-13
766,Jacques Kallis,4,48,1,24,PWI,JSCA Stadium,15-May-13
767,Vinay Kumar,4,48,1,24,PBKS,IS Bindra Stadium,06-May-13
768,Ashok Dinda,4,48,2,12,RCB,M. Chinnaswamy Stadium,23-Apr-13
769,Manpreet Gony,4,47,0,0,RCB,M. Chinnaswamy Stadium,14-May-13
770,Ben Laughlin,4,46,0,0,MI,Wankhede Stadium,05-May-13
771,Lasith Malinga,4,45,0,0,CSK,Arun Jaitley Stadium,21-May-13
772,Lakshmipathy Balaji,4,45,0,0,CSK,Chidambaram,28-Apr-13
773,Dale Steyn,4,45,1,24,CSK,Chidambaram,25-Apr-13
774,Thisara Perera,4,45,3,8,CSK,Rajiv Gandhi Intl. Cricket Stadium,08-May-13
775,Ravindra Jadeja,3,45,0,0,RR,Chidambaram,22-Apr-13
776,Ali Murtaza,2,45,0,0,RCB,M. Chinnaswamy Stadium,23-Apr-13
777,Thisara Perera,4,44,0,0,KKR,Eden Gardens,14-Apr-13
778,Muttiah Muralitharan,4,44,1,24,PBKS,M. Chinnaswamy Stadium,14-May-13
779,Lakshmipathy Balaji,4,44,1,24,PBKS,Eden Gardens,26-Apr-13
780,Moises Henriques,4,44,1,24,PWI,Maharashtra Cricket Association's International Stadium,02-May-13
781,Dwayne Bravo,4,44,2,12,MI,Chidambaram,06-Apr-13
782,Piyush Chawla,4,44,2,12,DC,HPCA Stadium,16-May-13
783,Dhawal Kulkarni,4,44,2,12,PBKS,Wankhede Stadium,29-Apr-13
784,Mitchell Johnson,4,43,1,24,SRH,Wankhede Stadium,13-May-13
785,Vinay Kumar,4,43,1,24,SRH,M. Chinnaswamy Stadium,09-Apr-13
786,Syed Mohammad,4,43,1,24,MI,Wankhede Stadium,27-Apr-13
787,Lasith Malinga,4,43,1,24,RR,Eden Gardens,24-May-13
788,Manpreet Gony,4,43,1,24,MI,Wankhede Stadium,29-Apr-13
789,Vinay Kumar,4,43,1,24,DC,Arun Jaitley Stadium,10-May-13
790,Morne Morkel,4,43,1,24,MI,Wankhede Stadium,09-Apr-13
791,Amit Mishra,4,42,0,0,RCB,M. Chinnaswamy Stadium,09-Apr-13
792,Dirk Nannes,4,42,0,0,PWI,Chidambaram,15-Apr-13
793,Dhawal Kulkarni,4,42,0,0,SRH,Wankhede Stadium,13-May-13
794,Dan Christian,4,42,0,0,MI,M. Chinnaswamy Stadium,04-Apr-13
795,James Faulkner,4,42,0,0,RCB,Sawai Mansingh Stadium,29-Apr-13
796,Morne Morkel,4,42,1,24,CSK,Arun Jaitley Stadium,18-Apr-13
797,Kevon Cooper,4,42,1,24,SRH,Sawai Mansingh Stadium,27-Apr-13
798,Azhar Mahmood,4,42,2,12,PWI,IS Bindra Stadium,21-Apr-13
799,Dwayne Bravo,4,42,4,6,MI,Eden Gardens,26-May-13
800,Amit Mishra,4,41,0,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,08-May-13
801,Mitchell Johnson,4,41,0,0,RR,Sawai Mansingh Stadium,17-Apr-13
802,Ashok Dinda,4,41,0,0,CSK,Maharashtra Cricket Association's International Stadium,30-Apr-13
803,Lakshmipathy Balaji,4,41,1,24,PWI,JSCA Stadium,15-May-13
804,Bhuvneshwar Kumar,4,41,1,24,RR,Maharashtra Cricket Association's International Stadium,11-Apr-13
805,Manpreet Gony,4,41,2,12,RCB,IS Bindra Stadium,06-May-13
806,RP Singh,3.5,41,0,0,CSK,Chidambaram,13-Apr-13
807,Wayne Parnell,4,40,0,0,KKR,Maharashtra Cricket Association's International Stadium,09-May-13
808,Mitchell Johnson,4,40,0,0,CSK,Arun Jaitley Stadium,21-May-13
809,Munaf Patel,4,40,0,0,RCB,M. Chinnaswamy Stadium,04-Apr-13
810,Morne Morkel,4,40,0,0,RR,Sawai Mansingh Stadium,07-May-13
811,Azhar Mahmood,4,40,0,0,DC,HPCA Stadium,16-May-13
812,Kieron Pollard,4,40,1,24,CSK,Chidambaram,06-Apr-13
813,RP Singh,4,40,1,24,MI,Wankhede Stadium,27-Apr-13
814,Brett Lee,4,40,2,12,DC,Eden Gardens,03-Apr-13
815,Chris Morris,4,40,3,8,RCB,Chidambaram,13-Apr-13
816,Siddarth Kaul,4,39,0,0,PBKS,HPCA Stadium,16-May-13
817,Kevon Cooper,4,39,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-May-13
818,Irfan Pathan,4,39,0,0,RCB,M. Chinnaswamy Stadium,16-Apr-13
819,Parvinder Awana,4,39,0,0,RR,IS Bindra Stadium,09-May-13
820,Jason Holder,4,39,0,0,DC,Chidambaram,14-May-13
821,Ajit Chandila,4,39,0,0,RCB,Sawai Mansingh Stadium,29-Apr-13
822,Lasith Malinga,4,39,1,24,PBKS,Wankhede Stadium,29-Apr-13
823,Kevon Cooper,4,39,1,24,PWI,Sawai Mansingh Stadium,05-May-13
824,Harmeet Singh Bansal,4,39,1,24,SRH,IS Bindra Stadium,11-May-13
825,Lakshmipathy Balaji,4,39,1,24,PBKS,IS Bindra Stadium,16-Apr-13
826,Parvinder Awana,4,39,2,12,KKR,IS Bindra Stadium,16-Apr-13
827,Sandeep Sharma,4,39,2,12,MI,HPCA Stadium,18-May-13
828,Lasith Malinga,4,39,3,8,PBKS,HPCA Stadium,18-May-13
829,Parvinder Awana,4,39,3,8,RCB,M. Chinnaswamy Stadium,14-May-13
830,Vinay Kumar,3.5,39,1,23,RR,Sawai Mansingh Stadium,29-Apr-13
831,Shaun Tait,3,39,0,0,DC,Sawai Mansingh Stadium,07-May-13
832,Praveen Kumar,4,38,0,0,CSK,Chidambaram,02-May-13
833,Rahul Sharma,4,38,0,0,RR,Sawai Mansingh Stadium,05-May-13
834,Umesh Yadav,4,38,0,0,PBKS,HPCA Stadium,16-May-13
835,Kane Richardson,4,38,0,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,28-Apr-13
836,James Faulkner,4,38,1,24,DC,Sawai Mansingh Stadium,07-May-13
837,Pravin Tambe,4,38,1,24,MI,Wankhede Stadium,15-May-13
838,Bhuvneshwar Kumar,4,38,1,24,RR,Sawai Mansingh Stadium,05-May-13
839,Ajantha Mendis,4,38,1,24,PBKS,IS Bindra Stadium,21-Apr-13
840,Parvinder Awana,4,38,1,24,PWI,IS Bindra Stadium,21-Apr-13
841,Vinay Kumar,4,38,1,24,MI,Wankhede Stadium,27-Apr-13
842,Ashish Nehra,4,38,2,12,PBKS,HPCA Stadium,16-May-13
843,RP Singh,3,38,0,0,PBKS,IS Bindra Stadium,06-May-13
844,Jasprit Bumrah,3,38,0,0,DC,Arun Jaitley Stadium,21-Apr-13
845,Shanthakumaran Sreesanth,2.4,38,0,0,PWI,Maharashtra Cricket Association's International Stadium,11-Apr-13
846,Ashish Nehra,4,37,0,0,CSK,Chidambaram,14-May-13
847,Ashok Dinda,4,37,0,0,PBKS,IS Bindra Stadium,21-Apr-13
848,Siddarth Kaul,4,37,0,0,CSK,Chidambaram,14-May-13
849,Thisara Perera,4,37,0,0,MI,Rajiv Gandhi Intl. Cricket Stadium,01-May-13
850,Pragyan Ojha,4,37,0,0,SRH,Wankhede Stadium,13-May-13
851,Irfan Pathan,4,37,1,24,MI,Wankhede Stadium,09-Apr-13
852,James Faulkner,4,37,1,24,PBKS,IS Bindra Stadium,09-May-13
853,Abhimanyu Mithun,4,37,1,24,KKR,JSCA Stadium,12-May-13
854,Dale Steyn,4,37,1,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,07-Apr-13
855,Dwayne Bravo,4,37,1,24,KKR,Chidambaram,28-Apr-13
856,Ashish Nehra,4,37,1,24,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01-May-13
857,Jaydev Unadkat,4,37,2,12,PWI,M. Chinnaswamy Stadium,23-Apr-13
858,Dwayne Bravo,4,37,2,12,SRH,Chidambaram,25-Apr-13
859,Ajit Agarkar,3,37,0,0,MI,Arun Jaitley Stadium,21-Apr-13
860,Rahul Sharma,4,36,0,0,RCB,Maharashtra Cricket Association's International Stadium,02-May-13
861,Sandeep Sharma,4,36,0,0,RCB,M. Chinnaswamy Stadium,14-May-13
862,Praveen Kumar,4,36,0,0,PWI,IS Bindra Stadium,21-Apr-13
863,Morne Morkel,4,36,0,0,PWI,Shaheed Veer Narayan Singh International Cricket Stadium,28-Apr-13
864,Morne Morkel,4,36,0,0,PWI,Maharashtra Cricket Association's International Stadium,19-May-13
865,Albie Morkel,4,36,0,0,KKR,Eden Gardens,20-Apr-13
866,Munaf Patel,4,36,0,0,DC,Arun Jaitley Stadium,21-Apr-13
867,Kevon Cooper,4,36,0,0,SRH,Arun Jaitley Stadium,22-May-13
868,Pragyan Ojha,4,36,0,0,RR,Eden Gardens,24-May-13
869,Siddarth Kaul,4,36,1,24,RCB,Arun Jaitley Stadium,10-May-13
870,Pragyan Ojha,4,36,1,24,RR,Wankhede Stadium,15-May-13
871,Vinay Kumar,4,36,1,24,CSK,Chidambaram,13-Apr-13
872,Chris Morris,4,36,1,24,RR,Sawai Mansingh Stadium,12-May-13
873,James Faulkner,4,36,1,24,MI,Eden Gardens,24-May-13
874,Dwayne Bravo,4,36,2,12,RR,Chidambaram,22-Apr-13
875,Vinay Kumar,4,36,2,12,KKR,M. Chinnaswamy Stadium,11-Apr-13
876,Umesh Yadav,4,36,2,12,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01-May-13
877,Azhar Mahmood,3.5,36,1,23,SRH,Rajiv Gandhi Intl. Cricket Stadium,19-Apr-13
878,Amit Mishra,3,36,0,0,MI,Wankhede Stadium,13-May-13
879,Wayne Parnell,3,36,1,18,DC,Maharashtra Cricket Association's International Stadium,19-May-13
880,Iqbal Abdulla,4,35,0,0,MI,Eden Gardens,24-Apr-13
