,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1353,Ruturaj Gaikwad,88,41,9,4,MI,Dubai International Stadium,19-Sep-21
1354,Sanju Samson,82,41,7,3,SRH,Dubai International Stadium,27-Sep-21
1355,Kane Williamson,51,41,5,1,RR,Dubai International Stadium,27-Sep-21
1356,Kane Williamson,66,42,8,0,DC,Chidambaram,25-Apr-21
1357,Ruturaj Gaikwad,101,43,9,5,RR,Zayed Cricket Stadium,02-Oct-21
1358,KL Rahul,67,43,4,2,KKR,Dubai International Stadium,01-Oct-21
1359,Shubman Gill,57,44,10,0,SRH,Dubai International Stadium,03-Oct-21
1360,KL Rahul,61,45,7,2,DC,Wankhede Stadium,18-Apr-21
1361,Faf du Plessis,76,46,8,2,PBKS,Dubai International Stadium,07-Oct-21
1362,Rishabh Pant,58,46,6,0,RCB,Narendra Modi Stadium,27-Apr-21
1363,Jonny Bairstow,63,48,3,3,PBKS,Chidambaram,21-Apr-21
1364,KL Rahul,60,50,3,3,MI,Chidambaram,23-Apr-21
1365,David Warner,57,50,3,2,CSK,Arun Jaitley Stadium,28-Apr-21
