,Player,Runs,BF,4s,6s,Against,Venue,Match Date
844,Aaron Finch,72,22,5,6,RCB,M. Chinnaswamy Stadium,27-Apr-17
845,Rahul Tripathi,93,23,9,7,KKR,Eden Gardens,03-May-17
846,Chris Gayle,77,23,5,7,GL,Saurashtra Cricket Association Stadium,18-Apr-17
847,Yuvraj Singh,62,23,7,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,05-Apr-17
848,Jos Buttler,77,24,7,5,PBKS,Holkar Cricket Stadium,20-Apr-17
849,Sanju Samson,61,24,0,7,GL,Arun Jaitley Stadium,04-May-17
850,Robin Uthappa,59,24,5,4,DC,Eden Gardens,28-Apr-17
851,Kieron Pollard,50,24,1,5,PBKS,Wankhede Stadium,11-May-17
852,Robin Uthappa,53,25,4,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,30-Apr-17
853,David Warner,51,25,4,4,PBKS,IS Bindra Stadium,28-Apr-17
854,Robin Uthappa,87,26,7,6,RPS,Maharashtra Cricket Association's International Stadium,26-Apr-17
855,Kedar Jadhav,69,26,5,5,DC,M. Chinnaswamy Stadium,08-Apr-17
856,Moises Henriques,55,26,6,2,RPS,Maharashtra Cricket Association's International Stadium,22-Apr-17
857,Kane Williamson,54,26,4,2,PBKS,IS Bindra Stadium,28-Apr-17
858,Rishabh Pant,97,27,6,9,GL,Arun Jaitley Stadium,04-May-17
859,Robin Uthappa,68,27,5,4,SRH,Eden Gardens,15-Apr-17
860,Ishan Kishan,61,27,5,4,SRH,Green Park,13-May-17
861,Ajinkya Rahane,60,27,6,3,MI,Maharashtra Cricket Association's International Stadium,06-Apr-17
862,Lendl Simmons,59,27,5,4,PBKS,Wankhede Stadium,11-May-17
863,Martin Guptill,50,27,6,3,DC,IS Bindra Stadium,30-Apr-17
864,Dwayne Smith,74,28,8,4,PBKS,IS Bindra Stadium,07-May-17
865,Dinesh Karthik,65,28,5,5,DC,Arun Jaitley Stadium,04-May-17
866,Nitish Rana,50,28,5,3,KKR,Wankhede Stadium,09-Apr-17
867,Chris Lynn,84,29,8,3,PBKS,IS Bindra Stadium,09-May-17
868,Kieron Pollard,63,29,5,4,DC,Arun Jaitley Stadium,06-May-17
869,Nitish Rana,62,29,0,7,PBKS,Holkar Cricket Stadium,20-Apr-17
870,MS Dhoni,61,29,5,3,SRH,Maharashtra Cricket Association's International Stadium,22-Apr-17
871,Brendon McCullum,72,30,2,7,RCB,Saurashtra Cricket Association Stadium,18-Apr-17
872,Hashim Amla,65,30,9,2,GL,Saurashtra Cricket Association Stadium,23-Apr-17
873,Ben Stokes,50,30,2,3,PBKS,Holkar Cricket Stadium,08-Apr-17
874,Wriddhiman Saha,93,31,11,3,MI,Wankhede Stadium,11-May-17
875,Shikhar Dhawan,77,31,9,1,PBKS,IS Bindra Stadium,28-Apr-17
876,David Warner,76,31,6,4,GL,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-17
877,Dwayne Smith,54,31,7,2,SRH,Green Park,13-May-17
878,Shreyas Iyer,50,31,5,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,19-Apr-17
879,Suresh Raina,84,32,9,4,KKR,Eden Gardens,21-Apr-17
880,Suresh Raina,77,32,5,4,DC,Arun Jaitley Stadium,04-May-17
881,Parthiv Patel,70,32,9,1,GL,Saurashtra Cricket Association Stadium,29-Apr-17
882,Aaron Finch,69,32,6,4,DC,Green Park,10-May-17
883,Ambati Rayudu,63,32,6,3,KKR,Eden Gardens,13-May-17
884,Sanju Samson,60,32,4,3,KKR,Eden Gardens,28-Apr-17
885,Rahul Tripathi,59,32,6,3,SRH,Maharashtra Cricket Association's International Stadium,22-Apr-17
886,Hashim Amla,58,32,4,3,RCB,Holkar Cricket Stadium,10-Apr-17
887,Nitish Rana,53,32,4,2,GL,Wankhede Stadium,16-Apr-17
888,Shreyas Iyer,96,33,15,2,GL,Green Park,10-May-17
889,Kane Williamson,89,33,6,5,DC,Rajiv Gandhi Intl. Cricket Stadium,19-Apr-17
890,Gautam Gambhir,76,33,12,0,GL,Saurashtra Cricket Association Stadium,07-Apr-17
891,Rohit Sharma,58,33,6,3,RPS,Wankhede Stadium,24-Apr-17
892,Rishabh Pant,57,33,3,4,RCB,M. Chinnaswamy Stadium,08-Apr-17
893,Hashim Amla,104,34,8,6,MI,Holkar Cricket Stadium,20-Apr-17
894,AB de Villiers,89,34,3,9,PBKS,Holkar Cricket Stadium,10-Apr-17
895,Gautam Gambhir,72,34,11,0,PBKS,Eden Gardens,13-Apr-17
896,Yuvraj Singh,70,34,11,1,DC,Arun Jaitley Stadium,02-May-17
897,Rohit Sharma,67,34,6,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,08-May-17
898,Yusuf Pathan,59,34,6,2,DC,Arun Jaitley Stadium,17-Apr-17
899,Rohit Sharma,56,34,6,1,RCB,Wankhede Stadium,01-May-17
900,Moises Henriques,52,34,3,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,05-Apr-17
901,Hashim Amla,104,35,8,5,GL,IS Bindra Stadium,07-May-17
902,Manan Vohra,95,35,9,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-17
903,Robin Uthappa,72,35,8,2,GL,Eden Gardens,21-Apr-17
904,Vijay Shankar,63,35,9,0,GL,Green Park,13-May-17
905,Gautam Gambhir,62,35,6,1,RPS,Maharashtra Cricket Association's International Stadium,26-Apr-17
906,Dinesh Karthik,58,35,6,0,PBKS,Saurashtra Cricket Association Stadium,23-Apr-17
907,Steve Smith,51,35,4,1,KKR,Maharashtra Cricket Association's International Stadium,26-Apr-17
908,Shaun Marsh,84,36,14,2,SRH,IS Bindra Stadium,28-Apr-17
909,Brendon McCullum,64,36,6,3,MI,Wankhede Stadium,16-Apr-17
910,Shikhar Dhawan,62,36,4,2,MI,Rajiv Gandhi Intl. Cricket Stadium,08-May-17
911,Sam Billings,55,36,9,0,PBKS,Arun Jaitley Stadium,15-Apr-17
912,Steve Smith,84,37,7,3,MI,Maharashtra Cricket Association's International Stadium,06-Apr-17
913,Manish Pandey,81,37,5,5,MI,Wankhede Stadium,09-Apr-17
914,Manish Pandey,69,37,4,3,DC,Arun Jaitley Stadium,17-Apr-17
915,Lendl Simmons,66,37,5,4,DC,Arun Jaitley Stadium,06-May-17
916,Karun Nair,64,37,9,0,RPS,Arun Jaitley Stadium,12-May-17
917,Shaun Marsh,58,37,6,0,GL,IS Bindra Stadium,07-May-17
918,Parthiv Patel,52,37,3,3,RPS,Wankhede Stadium,16-May-17
919,Ben Stokes,103,38,7,6,GL,Maharashtra Cricket Association's International Stadium,01-May-17
920,Moises Henriques,52,38,6,0,GL,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-17
921,Gautam Gambhir,71,39,11,0,DC,Eden Gardens,28-Apr-17
922,Virat Kohli,62,39,5,2,MI,M. Chinnaswamy Stadium,14-Apr-17
923,Virat Kohli,58,39,3,3,DC,Arun Jaitley Stadium,14-May-17
924,Ajinkya Rahane,56,39,5,1,MI,Wankhede Stadium,16-May-17
925,Shikhar Dhawan,70,40,7,1,DC,Rajiv Gandhi Intl. Cricket Stadium,19-Apr-17
926,Manoj Tiwary,60,40,5,3,DC,Arun Jaitley Stadium,12-May-17
927,Chris Morris,52,40,5,1,MI,Wankhede Stadium,22-Apr-17
928,Sanju Samson,102,41,8,5,RPS,Maharashtra Cricket Association's International Stadium,11-Apr-17
929,Travis Head,75,41,3,5,KKR,M. Chinnaswamy Stadium,07-May-17
930,Kieron Pollard,70,41,3,5,RCB,M. Chinnaswamy Stadium,14-Apr-17
931,David Warner,69,41,9,0,GL,Green Park,13-May-17
932,Suresh Raina,68,41,7,0,KKR,Saurashtra Cricket Association Stadium,07-Apr-17
933,Mandeep Singh,52,41,4,1,KKR,M. Chinnaswamy Stadium,07-May-17
934,Virat Kohli,55,42,4,1,RPS,Maharashtra Cricket Association's International Stadium,29-Apr-17
935,Saurabh Tiwary,52,42,9,0,KKR,Eden Gardens,13-May-17
936,Virat Kohli,64,43,7,1,GL,Saurashtra Cricket Association Stadium,18-Apr-17
937,David Warner,70,45,7,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-17
938,Manoj Tiwary,58,45,4,2,MI,Wankhede Stadium,16-May-17
939,Steve Smith,51,49,2,2,MI,Rajiv Gandhi Intl. Cricket Stadium,21-May-17
940,KL Rahul,51,14,6,4,DC,IS Bindra Stadium,08-Apr-18
941,Ishan Kishan,62,17,5,6,KKR,Eden Gardens,09-May-18
942,Sunil Narine,50,17,4,5,RCB,Eden Gardens,08-Apr-18
943,Jos Buttler,67,18,4,7,DC,Arun Jaitley Stadium,02-May-18
944,Sam Billings,56,21,2,5,KKR,Chidambaram,10-Apr-18
945,KL Rahul,66,22,2,7,KKR,Holkar Cricket Stadium,12-May-18
946,Chris Gayle,63,22,7,4,CSK,IS Bindra Stadium,15-Apr-18
947,MS Dhoni,51,22,2,5,DC,Maharashtra Cricket Association's International Stadium,30-Apr-18
948,Kieron Pollard,50,22,5,3,PBKS,Wankhede Stadium,16-May-18
949,Dinesh Karthik,50,22,5,3,PBKS,Holkar Cricket Stadium,12-May-18
950,Rishabh Pant,69,23,7,5,RR,Arun Jaitley Stadium,02-May-18
951,AB de Villiers,68,23,2,8,CSK,M. Chinnaswamy Stadium,25-Apr-18
952,AB de Villiers,90,24,10,5,DC,M. Chinnaswamy Stadium,21-Apr-18
953,KL Rahul,60,24,9,2,KKR,Eden Gardens,21-Apr-18
954,Shane Watson,78,25,4,7,DC,Maharashtra Cricket Association's International Stadium,30-Apr-18
955,Dwayne Bravo,68,25,3,7,MI,Wankhede Stadium,07-Apr-18
956,Moeen Ali,65,25,2,6,SRH,M. Chinnaswamy Stadium,17-May-18
957,Prithvi Shaw,65,25,6,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,05-May-18
958,Karun Nair,54,25,3,5,CSK,Maharashtra Cricket Association's International Stadium,20-May-18
959,Jos Buttler,95,26,11,2,CSK,Sawai Mansingh Stadium,11-May-18
960,Andre Russell,88,26,1,11,CSK,Chidambaram,10-Apr-18
961,Sunil Narine,75,26,9,4,PBKS,Holkar Cricket Stadium,12-May-18
962,Virat Kohli,70,26,7,3,DC,Arun Jaitley Stadium,12-May-18
963,Virat Kohli,57,26,7,2,RR,M. Chinnaswamy Stadium,15-Apr-18
964,Jason Roy,91,27,6,6,MI,Wankhede Stadium,14-Apr-18
965,Jos Buttler,82,27,9,1,PBKS,Sawai Mansingh Stadium,08-May-18
966,Ambati Rayudu,79,27,9,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-18
967,Rishabh Pant,61,27,5,4,RCB,Arun Jaitley Stadium,12-May-18
968,Shane Watson,106,28,9,6,RR,Maharashtra Cricket Association's International Stadium,20-Apr-18
969,Kane Williamson,81,28,7,5,RCB,M. Chinnaswamy Stadium,17-May-18
970,AB de Villiers,72,28,4,6,DC,Arun Jaitley Stadium,12-May-18
971,Chris Gayle,62,28,5,6,KKR,Eden Gardens,21-Apr-18
972,Vijay Shankar,54,28,1,5,CSK,Maharashtra Cricket Association's International Stadium,30-Apr-18
973,Ambati Rayudu,50,28,4,4,DC,Arun Jaitley Stadium,18-May-18
974,Shreyas Iyer,93,29,3,10,KKR,Arun Jaitley Stadium,27-Apr-18
975,Suryakumar Yadav,72,29,6,3,RR,Sawai Mansingh Stadium,22-Apr-18
976,MS Dhoni,70,29,1,7,RCB,M. Chinnaswamy Stadium,25-Apr-18
977,Suryakumar Yadav,53,29,7,1,DC,Wankhede Stadium,14-Apr-18
978,Shreyas Iyer,52,29,4,3,RCB,M. Chinnaswamy Stadium,21-Apr-18
979,Shikhar Dhawan,92,30,9,4,DC,Arun Jaitley Stadium,10-May-18
980,Chris Lynn,74,30,6,4,PBKS,Eden Gardens,21-Apr-18
981,Manish Pandey,62,30,7,2,RCB,M. Chinnaswamy Stadium,17-May-18
982,Nitish Rana,59,30,5,4,DC,Eden Gardens,16-Apr-18
983,Ambati Rayudu,100,31,7,7,SRH,Maharashtra Cricket Association's International Stadium,13-May-18
984,Suryakumar Yadav,59,31,7,2,KKR,Wankhede Stadium,06-May-18
985,Shane Watson,57,31,5,3,SRH,Maharashtra Cricket Association's International Stadium,13-May-18
986,Rohit Sharma,56,31,6,2,CSK,Maharashtra Cricket Association's International Stadium,28-Apr-18
987,AB de Villiers,53,31,7,0,RR,Sawai Mansingh Stadium,19-May-18
988,Karun Nair,50,31,5,2,DC,IS Bindra Stadium,08-Apr-18
989,Rohit Sharma,94,32,10,5,RCB,Wankhede Stadium,17-Apr-18
990,AB de Villiers,69,32,12,1,SRH,M. Chinnaswamy Stadium,17-May-18
991,Evin Lewis,65,32,6,5,RCB,Wankhede Stadium,17-Apr-18
992,Kane Williamson,63,32,7,2,RR,Sawai Mansingh Stadium,29-Apr-18
993,Shubman Gill,57,32,6,2,CSK,Eden Gardens,03-May-18
994,Robin Uthappa,54,32,6,3,MI,Wankhede Stadium,06-May-18
995,Suresh Raina,52,32,6,1,RR,Sawai Mansingh Stadium,11-May-18
996,Shane Watson,117,33,11,8,SRH,Wankhede Stadium,27-May-18
997,Shikhar Dhawan,78,33,13,1,RR,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-18
998,Sanju Samson,92,34,2,10,RCB,M. Chinnaswamy Stadium,15-Apr-18
999,Rishabh Pant,85,34,6,7,RCB,M. Chinnaswamy Stadium,21-Apr-18
1000,MS Dhoni,79,34,6,5,PBKS,IS Bindra Stadium,15-Apr-18
1001,Rishabh Pant,79,34,7,4,CSK,Maharashtra Cricket Association's International Stadium,30-Apr-18
1002,Rishabh Pant,64,34,4,4,MI,Arun Jaitley Stadium,20-May-18
1003,Suryakumar Yadav,57,34,6,3,PBKS,Holkar Cricket Stadium,04-May-18
1004,Shreyas Iyer,50,34,3,3,RR,Arun Jaitley Stadium,02-May-18
1005,Jos Buttler,94,35,9,5,MI,Wankhede Stadium,13-May-18
1006,Kane Williamson,84,35,6,5,CSK,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-18
1007,Suresh Raina,75,35,6,4,MI,Maharashtra Cricket Association's International Stadium,28-Apr-18
1008,Ishan Kishan,58,35,4,3,RR,Sawai Mansingh Stadium,22-Apr-18
