POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
29,Subramaniam Badrinath,16,11,5,192,64,32,130,147.69,0,2,21,8
30,Matthew Hayden,4,4,1,189,81,63,131,144.27,0,2,24,6
31,Brendon McCullum,4,4,1,188,158*,62.66,92,204.34,1,0,13,15
32,Sachin Tendulkar,7,7,1,188,65,31.33,177,106.21,0,1,26,2
33,Mahela Jayawardena,13,12,5,179,45*,25.57,131,136.64,0,0,15,7
34,Dwayne Bravo,9,7,1,178,64*,29.66,134,132.83,0,1,19,5
35,Mohammad Kaif,16,14,3,176,34*,16,171,102.92,0,0,14,6
36,Michael Hussey,4,3,1,168,116*,84,100,168,1,0,12,11
37,Herschelle Gibbs,9,9,0,167,47,18.55,153,109.15,0,0,17,8
38,Virat Kohli,13,12,1,165,38,15,157,105.09,0,0,18,4
39,Laxmi Ratan Shukla,13,12,4,163,42,20.37,122,133.6,0,0,17,5
40,Andrew Symonds,4,3,1,161,117*,80.5,105,153.33,1,0,15,9
41,Wriddhiman Saha,12,10,5,159,59*,31.8,119,133.61,0,1,12,7
42,VVS Laxman,6,6,1,155,52,31,132,117.42,0,1,22,1
43,Luke Pomersbach,5,5,4,152,79*,152,99,153.53,0,1,13,9
44,Ross Taylor,4,4,0,149,53,37.25,81,183.95,0,1,13,10
45,Shaun Pollock,13,8,0,147,33,18.37,111,132.43,0,0,12,8
46,Vidyut Sivaramakrishnan,9,8,0,145,54,18.12,109,133.02,0,1,21,3
47,Dinesh Karthik,13,8,2,145,56*,24.16,107,135.51,0,1,13,4
48,Ravindra Jadeja,14,9,2,135,36*,19.28,103,131.06,0,0,11,6
49,Irfan Pathan,14,10,4,131,40,21.83,116,112.93,0,0,9,6
50,Kamran Akmal,6,6,1,128,53*,25.6,78,164.1,0,1,13,8
51,MF Maharoof,10,8,2,125,39,20.83,79,158.22,0,0,10,7
52,Misbah-ul-Haq,8,8,1,117,47*,16.71,81,144.44,0,0,10,6
53,Wasim Jaffer,6,6,0,115,50,19.16,104,110.57,0,1,12,3
54,Cameron White,8,8,1,114,31*,16.28,102,111.76,0,0,8,4
55,Scott Styris,8,8,2,112,36*,18.66,123,91.05,0,0,9,2
56,Praveen Kumar,13,12,2,112,34,11.2,98,114.28,0,0,10,6
57,Dwaraka Ravi Teja,7,6,0,109,40,18.16,82,132.92,0,0,10,5
58,Manoj Tiwary,9,7,3,104,39,26,85,122.35,0,0,16,0
59,Tillakaratne Dilshan,7,7,1,104,33,17.33,79,131.64,0,0,14,3
60,Debabrata Das,6,6,0,103,31,17.16,94,109.57,0,0,9,5
61,Niraj Patel,5,4,2,103,57,51.5,81,127.16,0,1,13,1
62,Simon Katich,2,2,1,96,75,96,69,139.13,0,1,11,2
63,AB de Villiers,6,6,1,95,26*,19,98,96.93,0,0,5,1
64,Piyush Chawla,15,7,3,90,24*,22.5,59,152.54,0,0,10,3
65,Shreevats Goswami,4,3,0,82,52,27.33,85,96.47,0,1,9,1
66,Shahid Afridi,10,9,1,81,33,10.12,46,176.08,0,0,7,6
67,Karan Goel,7,6,0,76,26,12.66,78,97.43,0,0,7,4
68,Ramnaresh Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,6,1
69,Shane Warne,15,7,2,70,22*,14,59,118.64,0,0,7,2
70,Ajit Agarkar,9,6,1,54,20,10.8,46,117.39,0,0,5,2
71,Shoaib Malik,7,5,1,52,24,13,47,110.63,0,0,5,0
72,Arjun Yadav,8,6,1,49,16,9.8,39,125.64,0,0,5,2
73,Sanjay Bangar,11,7,1,47,17*,7.83,49,95.91,0,0,1,3
74,Balachandra Akhil,7,7,4,46,27*,15.33,31,148.38,0,0,4,3
75,Dwayne Smith,4,3,0,45,20,15,40,112.5,0,0,5,1
76,Aakash Chopra,5,5,0,42,24,8.4,52,80.76,0,0,5,0
77,LPC Silva,3,3,1,40,23*,20,26,153.84,0,0,5,1
78,Ricky Ponting,4,4,0,39,20,9.75,53,73.58,0,0,2,1
79,Umar Gul,6,4,1,39,24,13,19,205.26,0,0,1,5
80,Dominic Thornely,6,4,2,39,30,19.5,53,73.58,0,0,2,2
81,Amit Mishra,6,3,0,37,31,12.33,42,88.09,0,0,3,0
82,Sohail Tanvir,11,5,2,36,13,12,29,124.13,0,0,3,1
83,Manpreet Gony,16,5,4,35,15*,35,23,152.17,0,0,2,3
84,Luke Ronchi,4,4,0,34,13,8.5,32,106.25,0,0,6,1
85,Mahesh Rawat,11,7,3,34,23*,8.5,39,87.17,0,0,3,1
86,Rajat Bhatia,9,3,1,34,17,17,28,121.42,0,0,2,2
87,Zaheer Khan,11,8,4,34,17*,8.5,43,79.06,0,0,4,0
88,Pinal Shah,5,4,0,34,19,8.5,35,97.14,0,0,4,0
89,Dinesh Salunkhe,6,3,1,33,26*,16.5,24,137.5,0,0,5,0
90,Tatenda Taibu,3,3,0,31,15,10.33,26,119.23,0,0,3,0
91,Harbhajan Singh,3,3,1,30,28,15,17,176.47,0,0,1,3
92,Murali Kartik,6,3,0,30,17,10,27,111.11,0,0,3,0
93,Ramesh Powar,5,1,1,28,28*,0,21,133.33,0,0,4,1
94,RP Singh,14,9,5,27,10,6.75,24,112.5,0,0,2,1
95,Saurabh Tiwary,3,2,0,26,17,13,20,130,0,0,3,1
96,Wilkin Mota,4,2,1,26,25,26,27,96.29,0,0,2,0
97,Shivnarine Chanderpaul,3,3,0,25,16,8.33,31,80.64,0,0,4,0
98,Vinay Kumar,8,4,1,25,23,8.33,22,113.63,0,0,2,1
99,Musavir Khote,4,3,1,24,9,12,22,109.09,0,0,2,1
100,Jagadeesh Arunkumar,3,3,0,23,22,7.66,23,100,0,0,5,0
101,Chaminda Vaas,5,4,1,21,12*,7,18,116.66,0,0,0,1
102,Bharat Chipli,3,3,0,20,10,6.66,28,71.42,0,0,3,0
103,Mohammad Hafeez,8,3,1,20,13,10,22,90.9,0,0,2,1
104,Darren Lehmann,2,2,0,18,17,9,18,100,0,0,3,0
105,Siddharth Chitnis,3,2,0,18,15,9,10,180,0,0,1,1
106,Jacob Oram,4,3,2,18,13,18,12,150,0,0,1,1
107,Brett Lee,4,3,2,17,16*,17,13,130.76,0,0,2,1
108,Chamara Kapugedera,5,3,0,16,8,5.33,23,69.56,0,0,0,0
109,Joginder Sharma,8,3,1,16,16,8,11,145.45,0,0,1,1
110,Yo Mahesh,11,5,3,15,6*,7.5,27,55.55,0,0,0,0
111,Devraj Patil,2,2,0,13,9,6.5,13,100,0,0,1,0
112,Anil Kumble,10,5,3,13,8,6.5,17,76.47,0,0,1,0
113,Brad Hodge,3,3,0,12,10,4,17,70.58,0,0,2,0
114,Ishant Sharma,13,6,5,11,4*,11,11,100,0,0,1,0
115,Nuwan Zoysa,3,2,1,11,10*,11,9,122.22,0,0,1,0
116,Makhaya Ntini,9,2,1,11,11,11,18,61.11,0,0,2,0
117,Taruwar Kohli,2,2,0,10,7,5,15,66.66,0,0,0,1
118,Dimitri Mascarenhas,1,1,0,9,9,9,8,112.5,0,0,0,1
119,Ashley Noffke,1,1,0,9,9,9,10,90,0,0,1,0
120,Tanmay Srivastava,5,2,1,8,7,8,10,80,0,0,0,0
121,Rohan Raje,6,3,3,8,6*,0,9,88.88,0,0,1,0
122,Sunil Joshi,4,2,0,6,3,3,14,42.85,0,0,0,0
123,Pankaj Singh,5,2,2,5,4*,0,8,62.5,0,0,0,0
124,Siddharth Trivedi,15,3,2,5,3*,5,12,41.66,0,0,0,0
125,Sunny Sohal,2,2,0,4,4,2,8,50,0,0,0,0
126,Ajinkya Rahane,2,2,0,4,4,2,17,23.52,0,0,1,0
127,Vikram Singh,13,2,0,4,4,2,3,133.33,0,0,1,0
128,Glenn McGrath,14,3,2,4,4*,4,5,80,0,0,1,0
129,Younis Khan,1,1,0,3,3,3,7,42.85,0,0,0,0
130,Doddapaneni Kalyankrishna,3,1,0,3,3,3,8,37.5,0,0,0,0
131,Mohammad Asif,8,2,0,3,3,1.5,6,50,0,0,0,0
132,Ashish Nehra,14,4,3,3,2*,3,13,23.07,0,0,0,0
133,Manish Pandey,3,2,0,3,3,1.5,9,33.33,0,0,0,0
134,Ashok Dinda,13,3,2,2,1*,2,4,50,0,0,0,0
135,Pragyan Ojha,13,4,2,2,1*,1,4,50,0,0,0,0
136,Pradeep Sangwan,7,2,0,2,2,1,5,40,0,0,0,0
137,Shoaib Akhtar,3,1,0,2,2,2,7,28.57,0,0,0,0
138,Halhadar Das,1,1,0,2,2,2,5,40,0,0,0,0
139,Vikrant Yeligati,2,1,0,2,2,2,2,100,0,0,0,0
140,Dilhara Fernando,5,1,1,2,2*,0,1,200,0,0,0,0
141,Dhawal Kulkarni,10,1,1,2,2*,0,16,12.5,0,0,0,0
142,Dale Steyn,10,2,1,2,1*,2,5,40,0,0,0,0
143,Paidikalva Vijaykumar,9,2,2,1,1*,0,1,100,0,0,0,0
144,Srikkanth Anirudha,1,1,0,1,1,1,7,14.28,0,0,0,0
145,PM Sarvesh Kumar,2,1,1,1,1*,0,2,50,0,0,0,0
146,Iqbal Abdulla,1,1,1,1,1*,0,2,50,0,0,0,0
147,Munaf Patel,15,2,2,0,0*,0,1,0,0,0,0,0
148,Abdur Razzak,1,1,1,0,0*,0,2,0,0,0,0,0
149,Lakshmipathy Balaji,9,1,0,0,0*,0,4,0,0,0,0,0
150,Abhinav Mukund,2,1,0,0,0*,0,1,0,0,0,0,0
