POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
59,Manish Pandey,50,34,5,2,RCB,Eden Gardens,16 May 2016
60,David Warner,93,35,11,3,GL,Arun Jaitley Stadium,27 May 2016
61,Murali Vijay,89,36,12,1,RCB,IS Bindra Stadium,09 May 2016
62,Virat Kohli,79,36,7,3,DC,M. Chinnaswamy Stadium,17 April 2016
63,Rohit Sharma,68,36,8,2,KKR,Wankhede Stadium,28 April 2016
64,Murali Vijay,59,36,4,3,RPS,ACA-VDCA Stadium,21 May 2016
65,Murali Vijay,55,36,6,0,GL,Saurashtra Cricket Association Stadium,01 May 2016
66,Karun Nair,54,36,6,1,RCB,M. Chinnaswamy Stadium,17 April 2016
67,Virat Kohli,75,37,5,3,KKR,Eden Gardens,16 May 2016
68,Ajinkya Rahane,60,37,8,0,RCB,Maharashtra Cricket Association's International Stadium,22 April 2016
69,Saurabh Tiwary,52,37,9,0,RCB,M. Chinnaswamy Stadium,07 May 2016
70,Kane Williamson,50,37,7,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
71,Rohit Sharma,85,38,8,3,RPS,Maharashtra Cricket Association's International Stadium,01 May 2016
72,Rohit Sharma,84,38,10,2,KKR,Eden Gardens,13 April 2016
73,Robin Uthappa,70,38,6,2,PBKS,Eden Gardens,04 May 2016
74,Ajinkya Rahane,63,38,7,0,DC,Arun Jaitley Stadium,05 May 2016
75,Rohit Sharma,62,38,4,3,RCB,Wankhede Stadium,20 April 2016
76,Quinton de Kock,59,38,9,1,PBKS,Arun Jaitley Stadium,15 April 2016
77,Wriddhiman Saha,56,38,6,1,MI,ACA-VDCA Stadium,13 May 2016
78,David Warner,52,38,5,1,PBKS,IS Bindra Stadium,15 May 2016
79,Virat Kohli,109,39,5,8,GL,M. Chinnaswamy Stadium,14 May 2016
80,Karun Nair,68,39,9,1,KKR,Arun Jaitley Stadium,30 April 2016
81,Gautam Gambhir,64,39,4,1,MI,Eden Gardens,13 April 2016
82,Suryakumar Yadav,60,39,6,2,RPS,Maharashtra Cricket Association's International Stadium,24 April 2016
83,Gautam Gambhir,59,39,6,1,MI,Wankhede Stadium,28 April 2016
84,Saurabh Tiwary,57,39,4,2,MI,Maharashtra Cricket Association's International Stadium,01 May 2016
85,Dinesh Karthik,50,39,3,0,RCB,Saurashtra Cricket Association Stadium,24 April 2016
86,Virat Kohli,100,40,11,1,GL,Saurashtra Cricket Association Stadium,24 April 2016
87,Virat Kohli,75,40,7,3,SRH,M. Chinnaswamy Stadium,12 April 2016
88,David Warner,73,40,8,1,DC,Shaheed Veer Narayan Singh International Cricket Stadium,20 May 2016
89,Sanju Samson,60,40,4,2,MI,Arun Jaitley Stadium,23 April 2016
90,Shaun Marsh,56,40,5,1,KKR,IS Bindra Stadium,19 April 2016
91,Virat Kohli,54,40,6,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016
92,Shikhar Dhawan,53,40,5,0,GL,Saurashtra Cricket Association Stadium,21 April 2016
93,Gautam Gambhir,90,41,13,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,16 April 2016
94,Parthiv Patel,81,41,10,2,PBKS,IS Bindra Stadium,25 April 2016
95,Shakib Al Hasan,66,41,4,4,GL,Eden Gardens,08 May 2016
96,Rohit Sharma,65,41,7,1,DC,Arun Jaitley Stadium,23 April 2016
97,Eoin Morgan,51,41,3,2,KKR,Rajiv Gandhi Intl. Cricket Stadium,16 April 2016
98,David Warner,90,42,7,4,MI,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
99,Karun Nair,83,42,8,3,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,20 May 2016
100,KL Rahul,68,42,3,4,MI,M. Chinnaswamy Stadium,11 May 2016
101,Ajinkya Rahane,67,42,4,3,KKR,Maharashtra Cricket Association's International Stadium,24 April 2016
102,Faf du Plessis,67,42,8,0,PBKS,IS Bindra Stadium,17 April 2016
103,Gautam Gambhir,54,42,6,1,PBKS,Eden Gardens,04 May 2016
104,Dinesh Karthik,53,42,5,0,DC,Saurashtra Cricket Association Stadium,03 May 2016
105,Virat Kohli,52,42,4,0,KKR,M. Chinnaswamy Stadium,02 May 2016
106,Marcus Stoinis,52,42,3,2,DC,IS Bindra Stadium,07 May 2016
107,Aaron Finch,51,42,3,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016
108,Shikhar Dhawan,82,43,10,1,MI,ACA-VDCA Stadium,08 May 2016
109,Robin Uthappa,72,43,6,2,DC,Arun Jaitley Stadium,30 April 2016
110,Quinton de Kock,60,43,5,1,RCB,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016
111,Ambati Rayudu,54,43,3,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
112,Ajinkya Rahane,53,43,5,0,GL,Maharashtra Cricket Association's International Stadium,29 April 2016
113,Aaron Finch,67,46,7,1,MI,Wankhede Stadium,16 April 2016
114,Virat Kohli,80,47,7,2,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016
115,Shikhar Dhawan,56,48,2,1,RPS,Rajiv Gandhi Intl. Cricket Stadium,26 April 2016
116,Murali Vijay,54,48,5,1,MI,ACA-VDCA Stadium,13 May 2016
117,Murali Vijay,53,48,5,2,RPS,IS Bindra Stadium,17 April 2016
