POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
66,Gautam Gambhir,69,39,5,2,DC,Arun Jaitley Stadium,07 May 2014
67,Lendl Simmons,68,39,5,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
68,Robin Uthappa,65,39,5,3,RR,Narendra Modi Stadium,05 May 2014
69,Manoj Tiwary,61,39,5,2,RR,Narendra Modi Stadium,15 May 2014
70,MS Dhoni,57,39,2,4,SRH,JSCA Stadium,22 May 2014
71,Murali Vijay,52,39,7,1,SRH,Dubai International Stadium,25 April 2014
72,Shikhar Dhawan,50,39,7,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
73,Virat Kohli,73,40,2,5,CSK,M. Chinnaswamy Stadium,24 May 2014
74,Shikhar Dhawan,64,40,4,2,CSK,JSCA Stadium,22 May 2014
75,David Warner,58,40,3,3,DC,Dubai International Stadium,25 April 2014
76,Rohit Sharma,50,40,3,2,CSK,Dubai International Stadium,25 April 2014
77,Karun Nair,73,41,8,2,DC,Arun Jaitley Stadium,03 May 2014
78,Aaron Finch,68,41,7,2,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
79,David Warner,65,41,1,4,MI,Dubai International Stadium,30 April 2014
80,David Warner,59,41,3,4,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
81,Manan Vohra,67,42,6,2,KKR,M. Chinnaswamy Stadium,01 June 2014
82,Manish Pandey,64,42,6,2,MI,Zayed Cricket Stadium,16 April 2014
83,Parthiv Patel,57,42,7,0,MI,Dubai International Stadium,19 April 2014
84,Suresh Raina,65,43,3,5,KKR,Eden Gardens,20 May 2014
85,Lendl Simmons,62,43,6,2,RR,Narendra Modi Stadium,19 May 2014
86,David Warner,61,43,4,3,RCB,M. Chinnaswamy Stadium,04 May 2014
87,Wriddhiman Saha,59,43,4,3,MI,Wankhede Stadium,03 May 2014
88,Faf du Plessis,54,43,3,3,RCB,M. Chinnaswamy Stadium,24 May 2014
89,Rohit Sharma,51,43,4,2,KKR,Barabati Stadium,14 May 2014
90,Ajinkya Rahane,72,44,6,1,KKR,Zayed Cricket Stadium,29 April 2014
91,JP Duminy,67,44,4,3,RCB,Sharjah Cricket Stadium,17 April 2014
92,Ajinkya Rahane,64,45,8,1,DC,Narendra Modi Stadium,15 May 2014
93,Ajinkya Rahane,59,46,6,0,SRH,Zayed Cricket Stadium,18 April 2014
94,Dwayne Smith,57,49,5,3,MI,Wankhede Stadium,10 May 2014
