POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
41,Chris Lynn,74,30,6,4,PBKS,Eden Gardens,21 April 2018
42,Manish Pandey,62,30,7,2,RCB,M. Chinnaswamy Stadium,17 May 2018
43,Nitish Rana,59,30,5,4,DC,Eden Gardens,16 April 2018
44,Ambati Rayudu,100,31,7,7,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
45,Suryakumar Yadav,59,31,7,2,KKR,Wankhede Stadium,06 May 2018
46,Shane Watson,57,31,5,3,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
47,Rohit Sharma,56,31,6,2,CSK,Maharashtra Cricket Association's International Stadium,28 April 2018
48,AB de Villiers,53,31,7,0,RR,Sawai Mansingh Stadium,19 May 2018
49,Karun Nair,50,31,5,2,DC,IS Bindra Stadium,08 April 2018
50,Rohit Sharma,94,32,10,5,RCB,Wankhede Stadium,17 April 2018
51,AB de Villiers,69,32,12,1,SRH,M. Chinnaswamy Stadium,17 May 2018
52,Evin Lewis,65,32,6,5,RCB,Wankhede Stadium,17 April 2018
53,Kane Williamson,63,32,7,2,RR,Sawai Mansingh Stadium,29 April 2018
54,Shubman Gill,57,32,6,2,CSK,Eden Gardens,03 May 2018
55,Robin Uthappa,54,32,6,3,MI,Wankhede Stadium,06 May 2018
56,Suresh Raina,52,32,6,1,RR,Sawai Mansingh Stadium,11 May 2018
57,Shane Watson,117,33,11,8,SRH,Wankhede Stadium,27 May 2018
58,Shikhar Dhawan,78,33,13,1,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2018
59,Sanju Samson,92,34,2,10,RCB,M. Chinnaswamy Stadium,15 April 2018
60,Rishabh Pant,85,34,6,7,RCB,M. Chinnaswamy Stadium,21 April 2018
61,MS Dhoni,79,34,6,5,PBKS,IS Bindra Stadium,15 April 2018
62,Rishabh Pant,79,34,7,4,CSK,Maharashtra Cricket Association's International Stadium,30 April 2018
63,Rishabh Pant,64,34,4,4,MI,Arun Jaitley Stadium,20 May 2018
64,Suryakumar Yadav,57,34,6,3,PBKS,Holkar Cricket Stadium,04 May 2018
65,Shreyas Iyer,50,34,3,3,RR,Arun Jaitley Stadium,02 May 2018
66,Jos Buttler,94,35,9,5,MI,Wankhede Stadium,13 May 2018
67,Kane Williamson,84,35,6,5,CSK,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
68,Suresh Raina,75,35,6,4,MI,Maharashtra Cricket Association's International Stadium,28 April 2018
69,Ishan Kishan,58,35,4,3,RR,Sawai Mansingh Stadium,22 April 2018
70,Kane Williamson,56,35,5,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,07 May 2018
71,Quinton de Kock,53,35,1,4,CSK,M. Chinnaswamy Stadium,25 April 2018
72,Dinesh Karthik,52,35,4,2,RR,Eden Gardens,23 May 2018
73,Rishabh Pant,128,36,15,7,SRH,Arun Jaitley Stadium,10 May 2018
74,KL Rahul,94,36,10,3,MI,Wankhede Stadium,16 May 2018
75,AB de Villiers,57,36,2,4,PBKS,M. Chinnaswamy Stadium,13 April 2018
76,Gautam Gambhir,55,36,5,1,PBKS,IS Bindra Stadium,08 April 2018
77,Chris Lynn,55,36,4,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 May 2018
78,Sanju Samson,52,36,4,0,MI,Sawai Mansingh Stadium,22 April 2018
79,Virat Kohli,68,37,5,3,KKR,M. Chinnaswamy Stadium,29 April 2018
80,Faf du Plessis,67,37,5,4,SRH,Wankhede Stadium,22 May 2018
81,Evin Lewis,60,37,4,4,RR,Wankhede Stadium,13 May 2018
82,Manish Pandey,57,37,3,1,PBKS,IS Bindra Stadium,19 April 2018
83,Parthiv Patel,53,37,5,2,CSK,Maharashtra Cricket Association's International Stadium,05 May 2018
84,Jos Buttler,51,37,7,0,PBKS,Holkar Cricket Stadium,06 May 2018
85,Kane Williamson,51,37,5,2,CSK,Maharashtra Cricket Association's International Stadium,13 May 2018
86,Sanju Samson,50,37,4,2,KKR,Eden Gardens,23 May 2018
87,Kane Williamson,83,38,8,2,DC,Arun Jaitley Stadium,10 May 2018
88,Rahul Tripathi,80,38,5,3,RCB,Sawai Mansingh Stadium,19 May 2018
89,Shikhar Dhawan,79,38,10,3,CSK,Maharashtra Cricket Association's International Stadium,13 May 2018
90,Prithvi Shaw,62,38,7,2,KKR,Arun Jaitley Stadium,27 April 2018
91,Chris Gayle,50,38,6,2,MI,Holkar Cricket Stadium,04 May 2018
92,Shikhar Dhawan,50,38,5,1,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2018
93,Chris Gayle,104,39,1,11,SRH,IS Bindra Stadium,19 April 2018
94,Kane Williamson,54,39,3,2,PBKS,IS Bindra Stadium,19 April 2018
95,Suresh Raina,54,39,5,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
96,Ambati Rayudu,82,40,3,8,RCB,M. Chinnaswamy Stadium,25 April 2018
97,Virat Kohli,92,41,7,4,MI,Wankhede Stadium,17 April 2018
98,Shreyas Iyer,57,41,5,1,PBKS,Arun Jaitley Stadium,23 April 2018
99,Hardik Pandya,50,41,5,1,RCB,M. Chinnaswamy Stadium,01 May 2018
100,Ajinkya Rahane,65,42,5,1,SRH,Sawai Mansingh Stadium,29 April 2018
101,Chris Lynn,62,42,7,1,RCB,M. Chinnaswamy Stadium,29 April 2018
102,Kane Williamson,50,43,4,1,KKR,Eden Gardens,14 April 2018
103,KL Rahul,84,44,7,3,RR,Holkar Cricket Stadium,06 May 2018
104,Suresh Raina,61,45,4,2,PBKS,Maharashtra Cricket Association's International Stadium,20 May 2018
105,KL Rahul,95,48,11,2,RR,Sawai Mansingh Stadium,08 May 2018
106,Manish Pandey,54,48,3,1,PBKS,Rajiv Gandhi Intl. Cricket Stadium,26 April 2018
